author,story,text
Grimms,11_little_brother_and_little_sister,"Little brother took his little sister by the hand and said, ""Since our mother died we have had no happiness; our step-mother beats us every day, and if we come near her she kicks us away with her foot."
Grimms,11_little_brother_and_little_sister,"Our meals are the hard crusts of bread that are left over; and the little dog under the table is better off, for she often throws it a nice bit."
Grimms,11_little_brother_and_little_sister,May Heaven pity us.
Grimms,11_little_brother_and_little_sister,If our mother only knew!
Grimms,11_little_brother_and_little_sister,"Come, we will go forth together into the wide world."""
Grimms,11_little_brother_and_little_sister,"They walked the whole day over meadows, fields, and stony places; and when it rained the little sister said, ""Heaven and our hearts are weeping together."""
Grimms,11_little_brother_and_little_sister,"In the evening they came to a large forest, and they were so weary with sorrow and hunger and the long walk, that they lay down in a hollow tree and fell asleep."
Grimms,11_little_brother_and_little_sister,"The next day when they awoke, the sun was already high in the sky, and shone down hot into the tree."
Grimms,11_little_brother_and_little_sister,"Then the brother said, ""Sister, I am thirsty; if I knew of a little brook I would go and just take a drink; I think I hear one running."""
Grimms,11_little_brother_and_little_sister,"The brother got up and took the little sister by the hand, and they set off to find the brook."
Grimms,11_little_brother_and_little_sister,"But the wicked step-mother was a witch, and had seen how the two children had gone away, and had crept after them privily, as witches do creep, and had bewitched all the brooks in the forest."
Grimms,11_little_brother_and_little_sister,"Now when they found a little brook leaping brightly over the stones, the brother was going to drink out of it, but the sister heard how it said as it ran, ""Who drinks of me will be a tiger; who drinks of me will be a tiger."""
Grimms,11_little_brother_and_little_sister,"Then the sister cried, ""Pray, dear brother, do not drink, or you will become a wild beast, and tear me to pieces."""
Grimms,11_little_brother_and_little_sister,"The brother did not drink, although he was so thirsty, but said, ""I will wait for the next spring."""
Grimms,11_little_brother_and_little_sister,"When they came to the next brook the sister heard this also say, ""Who drinks of me will be a wolf; who drinks of me will be a wolf."""
Grimms,11_little_brother_and_little_sister,"Then the sister cried out, ""Pray, dear brother, do not drink, or you will become a wolf, and devour me."""
Grimms,11_little_brother_and_little_sister,"The brother did not drink, and said, ""I will wait until we come to the next spring, but then I must drink, say what you like; for my thirst is too great."""
Grimms,11_little_brother_and_little_sister,"And when they came to the third brook the sister heard how it said as it ran, ""Who drinks of me will be a roebuck; who drinks of me will be a roebuck."""
Grimms,11_little_brother_and_little_sister,"The sister said, ""Oh, I pray you, dear brother, do not drink, or you will become a roebuck, and run away from me."""
Grimms,11_little_brother_and_little_sister,"But the brother had knelt down at once by the brook, and had bent down and drunk some of the water, and as soon as the first drops touched his lips he lay there a young roebuck."
Grimms,11_little_brother_and_little_sister,"And now the sister wept over her poor bewitched brother, and the little roe wept also, and sat sorrowfully near to her."
Grimms,11_little_brother_and_little_sister,"But at last the girl said, ""Be quiet, dear little roe, I will never, never leave you."""
Grimms,11_little_brother_and_little_sister,"Then she untied her golden garter and put it round the roebuck""s neck, and she plucked rushes and wove them into a soft cord."
Grimms,11_little_brother_and_little_sister,"With this she tied the little beast and led it on, and she walked deeper and deeper into the forest."
Grimms,11_little_brother_and_little_sister,"And when they had gone a very long way they came at last to a little house, and the girl looked in; and as it was empty, she thought, ""We can stay here and live."""
