author,story,text
Grimms,13_the_three_little_men_in_the_wood,"There was once a man whose wife died, and a woman whose husband died, and the man had a daughter, and the woman also had a daughter."
Grimms,13_the_three_little_men_in_the_wood,"The girls were acquainted with each other, and went out walking together, and afterwards came to the woman in her house."
Grimms,13_the_three_little_men_in_the_wood,"Then said she to the man""s daughter, ""Listen, tell thy father that I would like to marry him, and then thou shalt wash thyself in milk every morning, and drink wine, but my own daughter shall wash herself in water and drink water."""
Grimms,13_the_three_little_men_in_the_wood,"The girl went home, and told her father what the woman had said."
Grimms,13_the_three_little_men_in_the_wood,"The man said, ""What shall I do?"
Grimms,13_the_three_little_men_in_the_wood,"Marriage is a joy and also a torment."""
Grimms,13_the_three_little_men_in_the_wood,"At length as he could come to no decision, he pulled off his boot, and said, ""Take this boot, it has a hole in the sole of it."
Grimms,13_the_three_little_men_in_the_wood,"Go with it up to the loft, hang it on the big nail, and then pour water into it."
Grimms,13_the_three_little_men_in_the_wood,"If it hold the water, then I will again take a wife, but if it run through, I will not."""
Grimms,13_the_three_little_men_in_the_wood,"The girl did as she was ordered, but the water drew the hole together, and the boot became full to the top."
Grimms,13_the_three_little_men_in_the_wood,She informed her father how it had turned out.
Grimms,13_the_three_little_men_in_the_wood,"Then he himself went up, and when he saw that she was right, he went to the widow and wooed her, and the wedding was celebrated."
Grimms,13_the_three_little_men_in_the_wood,"The next morning, when the two girls got up, there stood before the man""s daughter milk for her to wash in and wine for her to drink, but before the woman""s daughter stood water to wash herself with and water for drinking."
Grimms,13_the_three_little_men_in_the_wood,"On the second morning, stood water for washing and water for drinking before the man""s daughter as well as before the woman""s daughter."
Grimms,13_the_three_little_men_in_the_wood,"And on the third morning stood water for washing and water for drinking before the man""s daughter, and milk for washing and wine for drinking, before the woman""s daughter, and so it continued."
Grimms,13_the_three_little_men_in_the_wood,"The woman became bitterly unkind to her step-daughter, and day by day did her best to treat her still worse."
Grimms,13_the_three_little_men_in_the_wood,"She was also envious because her step-daughter was beautiful and lovable, and her own daughter ugly and repulsive."
Grimms,13_the_three_little_men_in_the_wood,"Once, in winter, when everything was frozen as hard as a stone, and hill and vale lay covered with snow, the woman made a frock of paper, called her step-daughter, and said, ""Here, put on this dress and go out into the wood, and fetch me a little basketful of strawberries,---I have a fancy for some."""
Grimms,13_the_three_little_men_in_the_wood,"""Good heavens!"" said the girl, ""no strawberries grow in winter!"
Grimms,13_the_three_little_men_in_the_wood,"The ground is frozen, and besides the snow has covered everything."
Grimms,13_the_three_little_men_in_the_wood,And why am I to go in this paper frock?
Grimms,13_the_three_little_men_in_the_wood,"It is so cold outside that one""s very breath freezes!"
Grimms,13_the_three_little_men_in_the_wood,"The wind will blow through the frock, and the thorns will tear it off my body."""
Grimms,13_the_three_little_men_in_the_wood,"""Wilt thou contradict me again?"" said the stepmother, ""See that thou goest, and do not show thy face again until thou hast the basketful of strawberries!"""
Grimms,13_the_three_little_men_in_the_wood,"Then she gave her a little piece of hard bread, and said, ""This will last thee the day,"" and thought, ""Thou wilt die of cold and hunger outside, and wilt never be seen again by me."""
Grimms,13_the_three_little_men_in_the_wood,"Then the maiden was obedient, and put on the paper frock, and went out with the basket."
Grimms,13_the_three_little_men_in_the_wood,"Far and wide there was nothing but snow, and not a green blade to be seen."
Grimms,13_the_three_little_men_in_the_wood,When she got into the wood she saw a small house out of which peeped three dwarfs.
Grimms,13_the_three_little_men_in_the_wood,"She wished them good day, and knocked modestly at the door."
Grimms,13_the_three_little_men_in_the_wood,"They cried, ""Come in,"" and she entered the room and seated herself on the bench by the stove, where she began to warm herself and eat her breakfast."
Grimms,13_the_three_little_men_in_the_wood,"The elves said, ""Give us, too, some of it."""
Grimms,13_the_three_little_men_in_the_wood,"""Willingly,"" she said, and divided her bit of bread in two and gave them the half."
Grimms,13_the_three_little_men_in_the_wood,"They asked, ""What dost thou here in the forest in the winter time, in thy thin dress?"""
Grimms,13_the_three_little_men_in_the_wood,"""Ah,"" she answered, ""I am to look for a basketful of strawberries, and am not to go home until I can take them with me."""
Grimms,13_the_three_little_men_in_the_wood,"When she had eaten her bread, they gave her a broom and said, ""Sweep away the snow at the back door with it."""
Grimms,13_the_three_little_men_in_the_wood,"But when she was outside, the three little men said to each other, ""What shall we give her as she is so good, and has shared her bread with us?"""
Grimms,13_the_three_little_men_in_the_wood,"Then said the first, ""My gift is, that she shall every day grow more beautiful."""
Grimms,13_the_three_little_men_in_the_wood,"The second said, ""My gift is, that gold pieces shall fall out of her mouth every time she speaks."""
Grimms,13_the_three_little_men_in_the_wood,"The third said, ""My gift is, that a king shall come and take her to wife."""
Grimms,13_the_three_little_men_in_the_wood,"The girl, however, did as the little men had bidden her, swept away the snow behind the little house with the broom, and what did she find but real ripe strawberries, which came up quite dark-red out of the snow!"
Grimms,13_the_three_little_men_in_the_wood,"In her joy she hastily gathered her basket full, thanked the little men, shook hands with each of them, and ran home to take her step-mother what she had longed for so much."
Grimms,13_the_three_little_men_in_the_wood,"When she went in and said good-evening, a piece of gold at once fell from her mouth."
Grimms,13_the_three_little_men_in_the_wood,"Thereupon she related what had happened to her in the wood, but with every word she spoke, gold pieces fell from her mouth, until very soon the whole room was covered with them."
Grimms,13_the_three_little_men_in_the_wood,"""Now look at her arrogance,"" cried the step-sister, ""to throw about gold in that way!"" but she was secretly envious of it, and wanted to go into the forest also to seek strawberries."
Grimms,13_the_three_little_men_in_the_wood,"The mother said, ""No, my dear little daughter, it is too cold, thou mightest die of cold."""
Grimms,13_the_three_little_men_in_the_wood,"However, as her daughter let her have no peace, the mother at last yielded, made her a magnificent dress of fur, which she was obliged to put on, and gave her bread-and-butter and cake with her."
Grimms,13_the_three_little_men_in_the_wood,The girl went into the forest and straight up to the little house.
Grimms,13_the_three_little_men_in_the_wood,"The three little elves peeped out again, but she did not greet them, and without looking round at them and without speaking to them, she went awkwardly into the room, seated herself by the stove, and began to eat her bread-and-butter and cake."
Grimms,13_the_three_little_men_in_the_wood,"""Give us some of it,"" cried the little men; but she replied, ""There is not enough for myself, so how can I give it away to other people?"""
Grimms,13_the_three_little_men_in_the_wood,"When she had done eating, they said, ""There is a broom for thee, sweep all clean for us outside by the back-door."""
Grimms,13_the_three_little_men_in_the_wood,"""Humph!"
Grimms,13_the_three_little_men_in_the_wood,"Sweep for yourselves,"" she answered, ""I am not your servant."""
Grimms,13_the_three_little_men_in_the_wood,"When she saw that they were not going to give her anything, she went out by the door."
Grimms,13_the_three_little_men_in_the_wood,"Then the little men said to each other, ""What shall we give her as she is so naughty, and has a wicked envious heart, that will never let her do a good turn to any one?"""
Grimms,13_the_three_little_men_in_the_wood,"The first said, ""I grant that she may grow uglier every day."""
Grimms,13_the_three_little_men_in_the_wood,"The second said, ""I grant that at every word she says, a toad shall spring out of her mouth."""
Grimms,13_the_three_little_men_in_the_wood,"The third said, ""I grant that she may die a miserable death."""
Grimms,13_the_three_little_men_in_the_wood,"The maiden looked for strawberries outside, but as she found none, she went angrily home."
Grimms,13_the_three_little_men_in_the_wood,"And when she opened her mouth, and was about to tell her mother what had happened to her in the wood, with every word she said, a toad sprang out of her mouth, so that every one was seized with horror of her."
Grimms,13_the_three_little_men_in_the_wood,"Then the step-mother was still more enraged, and thought of nothing but how to do every possible injury to the man""s daughter, whose beauty, however, grew daily greater."
Grimms,13_the_three_little_men_in_the_wood,"At length she took a cauldron, set it on the fire, and boiled yarn in it."
Grimms,13_the_three_little_men_in_the_wood,"When it was boiled, she flung it on the poor girl""s shoulder, and gave her an axe in order that she might go on the frozen river, cut a hole in the ice, and rinse the yarn."
Grimms,13_the_three_little_men_in_the_wood,"She was obedient, went thither and cut a hole in the ice; and while she was in the midst of her cutting, a splendid carriage came driving up, in which sat the King."
Grimms,13_the_three_little_men_in_the_wood,"The carriage stopped, and the King asked,""My child, who are thou, and what art thou doing here?"""
Grimms,13_the_three_little_men_in_the_wood,"""I am a poor girl, and I am rinsing yarn."""
Grimms,13_the_three_little_men_in_the_wood,"Then the King felt compassion, and when he saw that she was so very beautiful, he said to her, ""Wilt thou go away with me?"""
Grimms,13_the_three_little_men_in_the_wood,"""Ah, yes, with all my heart,"" she answered, for she was glad to get away from the mother and sister."
Grimms,13_the_three_little_men_in_the_wood,"So she got into the carriage and drove away with the King, and when they arrived at his palace, the wedding was celebrated with great pomp, as the little men had granted to the maiden."
Grimms,13_the_three_little_men_in_the_wood,"When a year was over, the young Queen bore a son, and as the step-mother had heard of her great good-fortune, she came with her daughter to the palace and pretended that she wanted to pay her a visit."
Grimms,13_the_three_little_men_in_the_wood,"Once, however, when the King had gone out, and no one else was present, the wicked woman seized the Queen by the head, and her daughter seized her by the feet, and they lifted her out of the bed, and threw her out of the window into the stream which flowed by."
Grimms,13_the_three_little_men_in_the_wood,"Then the ugly daughter laid herself in the bed, and the old woman covered her up over her head."
Grimms,13_the_three_little_men_in_the_wood,"When the King came home again and wanted to speak to his wife, the old woman cried, ""Hush, hush, that can""t be now, she is lying in a violent perspiration; you must let her rest to-day."""
Grimms,13_the_three_little_men_in_the_wood,"The King suspected no evil, and did not come back again till next morning; and as he talked with his wife and she answered him, with every word a toad leaped out, whereas formerly a piece of gold had fallen out."
Grimms,13_the_three_little_men_in_the_wood,"Then he asked what that could be, but the old woman said that she had got that from the violent perspiration, and would soon lose it again."
Grimms,13_the_three_little_men_in_the_wood,"During the night, however, the scullion saw a duck come swimming up the gutter, and it said,"
Grimms,13_the_three_little_men_in_the_wood,"""King, what art thou doing now?"
Grimms,13_the_three_little_men_in_the_wood,"Sleepest thou, or wakest thou?"""
Grimms,13_the_three_little_men_in_the_wood,"And as he returned no answer, it said,"
Grimms,13_the_three_little_men_in_the_wood,"""And my guests, What may they do?"""
Grimms,13_the_three_little_men_in_the_wood,"The scullion said,"
Grimms,13_the_three_little_men_in_the_wood,"""They are sleeping soundly, too."""
Grimms,13_the_three_little_men_in_the_wood,"Then it asked again,"
Grimms,13_the_three_little_men_in_the_wood,"""What does little baby mine?"""
Grimms,13_the_three_little_men_in_the_wood,"He answered,"
Grimms,13_the_three_little_men_in_the_wood,"""Sleepeth in her cradle fine."""
Grimms,13_the_three_little_men_in_the_wood,"Then she went upstairs in the form of the Queen, nursed the baby, shook up its little bed, covered it over, and then swam away again down the gutter in the shape of a duck."
Grimms,13_the_three_little_men_in_the_wood,"She came thus for two nights; on the third, she said to the scullion, ""Go and tell the King to take his sword and swing it three times over me on the threshold."""
Grimms,13_the_three_little_men_in_the_wood,"Then the scullion ran and told this to the King, who came with his sword and swung it thrice over the spirit, and at the third time, his wife stood before him strong, living, and healthy as she had been before."
Grimms,13_the_three_little_men_in_the_wood,"Thereupon the King was full of great joy, but he kept the Queen hidden in a chamber until the Sunday, when the baby was to be christened."
