author,story,text
Grimms,3_our_ladys_child,"Hard by a great forest dwelt a wood-cutter with his wife, who had an only child, a little girl three years old."
Grimms,3_our_ladys_child,"They were so poor, however, that they no longer had daily bread, and did not know how to get food for her."
Grimms,3_our_ladys_child,"One morning the wood-cutter went out sorrowfully to his work in the forest, and while he was cutting wood, suddenly there stood before him a tall and beautiful woman with a crown of shining stars on her head, who said to him, ""I am the Virgin Mary, mother of the child Jesus."
Grimms,3_our_ladys_child,"Thou art poor and needy, bring thy child to me, I will take her with me and be her mother, and care for her."""
Grimms,3_our_ladys_child,"The wood-cutter obeyed, brought his child, and gave her to the Virgin Mary, who took her up to heaven with her."
Grimms,3_our_ladys_child,"There the child fared well, ate sugar-cakes, and drank sweet milk, and her clothes were of gold, and the little angels played with her."
Grimms,3_our_ladys_child,"And when she was fourteen years of age, the Virgin Mary called her one day and said, ""Dear child, I am about to make a long journey, so take into thy keeping the keys of the thirteen doors of heaven."
Grimms,3_our_ladys_child,"Twelve of these thou mayest open, and behold the glory which is within them, but the thirteenth, to which this little key belongs, is forbidden thee."
Grimms,3_our_ladys_child,"Beware of opening it, or thou wilt bring misery on thyself."""
Grimms,3_our_ladys_child,"The girl promised to be obedient, and when the Virgin Mary was gone, she began to examine the dwellings of the kingdom of heaven."
Grimms,3_our_ladys_child,"Each day she opened one of them, until she had made the round of the twelve."
Grimms,3_our_ladys_child,"In each of them sat one of the Apostles in the midst of a great light, and she rejoiced in all the magnificence and splendour, and the little angels who always accompanied her rejoiced with her."
Grimms,3_our_ladys_child,"Then the forbidden door alone remained, and she felt a great desire to know what could be hidden behind it, and said to the angels, ""I will not quite open it, and I will not go inside it, but I will unlock it so that we can just see a little through the opening."""
Grimms,3_our_ladys_child,"""Oh no,"" said the little angels, ""that would be a sin."
Grimms,3_our_ladys_child,"The Virgin Mary has forbidden it, and it might easily cause thy unhappiness."""
Grimms,3_our_ladys_child,"Then she was silent, but the desire in her heart was not stilled, but gnawed there and tormented her, and let her have no rest."
Grimms,3_our_ladys_child,"And once when the angels had all gone out, she thought, ""Now I am quite alone, and I could peep in."
Grimms,3_our_ladys_child,"If I do it, no one will ever know."""
Grimms,3_our_ladys_child,"She sought out the key, and when she had got it in her hand, she put it in the lock, and when she had put it in, she turned it round as well."
Grimms,3_our_ladys_child,"Then the door sprang open, and she saw there the Trinity sitting in fire and splendour."
Grimms,3_our_ladys_child,"She stayed there awhile, and looked at everything in amazement; then she touched the light a little with her finger, and her finger became quite golden."
Grimms,3_our_ladys_child,Immediately a great fear fell on her.
Grimms,3_our_ladys_child,"She shut the door violently, and ran away."
Grimms,3_our_ladys_child,"Her terror too would not quit her, let her do what she might, and her heart beat continually and would not be still; the gold too stayed on her finger, and would not go away, let her rub it and wash it never so much."
Grimms,3_our_ladys_child,It was not long before the Virgin Mary came back from her journey.
Grimms,3_our_ladys_child,"She called the girl before her, and asked to have the keys of heaven back."
Grimms,3_our_ladys_child,"When the maiden gave her the bunch, the Virgin looked into her eyes and said, ""Hast thou not opened the thirteenth door also?"""
Grimms,3_our_ladys_child,"""No,"" she replied."
Grimms,3_our_ladys_child,"Then she laid her hand on the girl""s heart, and felt how it beat and beat, and saw right well that she had disobeyed her order and had opened the door."
Grimms,3_our_ladys_child,"Then she said once again, ""Art thou certain that thou hast not done it?"""
Grimms,3_our_ladys_child,"""Yes,"" said the girl, for the second time."
Grimms,3_our_ladys_child,"Then she perceived the finger which had become golden from touching the fire of heaven, and saw well that the child had sinned, and said for the third time ""Hast thou not done it?"""
Grimms,3_our_ladys_child,"""No,"" said the girl for the third time."
Grimms,3_our_ladys_child,"Then said the Virgin Mary, ""Thou hast not obeyed me, and besides that thou hast lied, thou art no longer worthy to be in heaven."""
Grimms,3_our_ladys_child,"Then the girl fell into a deep sleep, and when she awoke she lay on the earth below, and in the midst of a wilderness."
Grimms,3_our_ladys_child,"She wanted to cry out, but she could bring forth no sound."
Grimms,3_our_ladys_child,"She sprang up and wanted to run away, but whithersoever she turned herself, she was continually held back by thick hedges of thorns through which she could not break."
Grimms,3_our_ladys_child,"In the desert, in which she was imprisoned, there stood an old hollow tree, and this had to be her dwelling-place."
Grimms,3_our_ladys_child,"Into this she crept when night came, and here she slept."
Grimms,3_our_ladys_child,"Here, too, she found a shelter from storm and rain, but it was a miserable life, and bitterly did she weep when she remembered how happy she had been in heaven, and how the angels had played with her."
Grimms,3_our_ladys_child,"Roots and wild berries were her only food, and for these she sought as far as she could go."
Grimms,3_our_ladys_child,"In the autumn she picked up the fallen nuts and leaves, and carried them into the hole."
Grimms,3_our_ladys_child,"The nuts were her food in winter, and when snow and ice came, she crept amongst the leaves like a poor little animal that she might not freeze."
Grimms,3_our_ladys_child,"Before long her clothes were all torn, and one bit of them after another fell off her."
Grimms,3_our_ladys_child,"As soon, however, as the sun shone warm again, she went out and sat in front of the tree, and her long hair covered her on all sides like a mantle."
Grimms,3_our_ladys_child,"Thus she sat year after year, and felt the pain and the misery of the world."
Grimms,3_our_ladys_child,"One day, when the trees were once more clothed in fresh green, the King of the country was hunting in the forest, and followed a roe, and as it had fled into the thicket which shut in this part of the forest, he got off his horse, tore the bushes asunder, and cut himself a path with his sword."
Grimms,3_our_ladys_child,"When he had at last forced his way through, he saw a wonderfully beautiful maiden sitting under the tree; and she sat there and was entirely covered with her golden hair down to her very feet."
Grimms,3_our_ladys_child,"He stood still and looked at her full of surprise, then he spoke to her and said, ""Who art thou?"
Grimms,3_our_ladys_child,"Why art thou sitting here in the wilderness?"""
Grimms,3_our_ladys_child,"But she gave no answer, for she could not open her mouth."
Grimms,3_our_ladys_child,"The King continued, ""Wilt thou go with me to my castle?"""
Grimms,3_our_ladys_child,Then she just nodded her head a little.
Grimms,3_our_ladys_child,"The King took her in his arms, carried her to his horse, and rode home with her, and when he reached the royal castle he caused her to be dressed in beautiful garments, and gave her all things in abundance."
Grimms,3_our_ladys_child,"Although she could not speak, she was still so beautiful and charming that he began to love her with all his heart, and it was not long before he married her."
Grimms,3_our_ladys_child,"After a year or so had passed, the Queen brought a son into the world."
