author,story,text
Grimms,87_the_poor_man_and_the_rich_man,"In olden times, when the Lord himself still used to walk about on this earth amongst men, it once happened that he was tired and overtaken by the darkness before he could reach an inn."
Grimms,87_the_poor_man_and_the_rich_man,"Now there stood on the road before him two houses facing each other; the one large and beautiful, the other small and poor."
Grimms,87_the_poor_man_and_the_rich_man,"The large one belonged to a rich man, and the small one to a poor man."
Grimms,87_the_poor_man_and_the_rich_man,"Then the Lord thought, ""I shall be no burden to the rich man, I will stay the night with him."""
Grimms,87_the_poor_man_and_the_rich_man,"When the rich man heard some one knocking at his door, he opened the window and asked the stranger what he wanted."
Grimms,87_the_poor_man_and_the_rich_man,"The Lord answered, ""I only ask for a night""s lodging."""
Grimms,87_the_poor_man_and_the_rich_man,"Then the rich man looked at the traveler from head to foot, and as the Lord was wearing common clothes, and did not look like one who had much money in his pocket, he shook his head, and said, ""No, I cannot take you in, my rooms are full of herbs and seeds; and if I were to lodge everyone who knocked at my door, I might very soon go begging myself."
Grimms,87_the_poor_man_and_the_rich_man,"Go somewhere else for a lodging,"" and with this he shut down the window and left the Lord standing there."
Grimms,87_the_poor_man_and_the_rich_man,"So the Lord turned his back on the rich man, and went across to the small house and knocked."
Grimms,87_the_poor_man_and_the_rich_man,He had hardly done so when the poor man opened the little door and bade the traveler come in.
Grimms,87_the_poor_man_and_the_rich_man,"""Pass the night with me, it is already dark,"" said he; ""you cannot go any further to-night."""
Grimms,87_the_poor_man_and_the_rich_man,"This pleased the Lord, and he went in."
Grimms,87_the_poor_man_and_the_rich_man,"The poor man""s wife shook hands with him, and welcomed him, and said he was to make himself at home and put up with what they had got; they had not much to offer him, but what they had they would give him with all their hearts."
Grimms,87_the_poor_man_and_the_rich_man,"Then she put the potatoes on the fire, and while they were boiling, she milked the goat, that they might have a little milk with them."
Grimms,87_the_poor_man_and_the_rich_man,"When the cloth was laid, the Lord sat down with the man and his wife, and he enjoyed their coarse food, for there were happy faces at the table."
Grimms,87_the_poor_man_and_the_rich_man,"When they had had supper and it was bed-time, the woman called her husband apart and said, ""Hark you, dear husband, let us make up a bed of straw for ourselves to-night, and then the poor traveler can sleep in our bed and have a good rest, for he has been walking the whole day through, and that makes one weary."""
Grimms,87_the_poor_man_and_the_rich_man,"""With all my heart,"" he answered, ""I will go and offer it to him;"" and he went to the stranger and invited him, if he had no objection, to sleep in their bed and rest his limbs properly."
Grimms,87_the_poor_man_and_the_rich_man,"But the Lord was unwilling to take their bed from the two old folks; however, they would not be satisfied, until at length he did it and lay down in their bed, while they themselves lay on some straw on the ground."
Grimms,87_the_poor_man_and_the_rich_man,"Next morning they got up before daybreak, and made as good a breakfast as they could for the guest."
Grimms,87_the_poor_man_and_the_rich_man,"When the sun shone in through the little window, and the Lord had got up, he again ate with them, and then prepared to set out on his journey."
Grimms,87_the_poor_man_and_the_rich_man,"But as he was standing at the door he turned round and said, ""As you are so kind and good, you may wish three things for yourselves and I will grant them."""
Grimms,87_the_poor_man_and_the_rich_man,"Then the man said, ""What else should I wish for but eternal happiness, and that we two, as long as we live, may be healthy and have every day our daily bread; for the third wish, I do not know what to have."""
Grimms,87_the_poor_man_and_the_rich_man,"And the Lord said to him, ""Will you wish for a new house instead of this old one?"""
Grimms,87_the_poor_man_and_the_rich_man,"""Oh, yes,"" said the man; ""if I can have that, too, I should like it very much."""
Grimms,87_the_poor_man_and_the_rich_man,"And the Lord fulfilled his wish, and changed their old house into a new one, again gave them his blessing, and went on."
Grimms,87_the_poor_man_and_the_rich_man,"The sun was high when the rich man got up and leaned out of his window and saw, on the opposite side of the way, a new clean-looking house with red tiles and bright windows where the old hut used to be."
Grimms,87_the_poor_man_and_the_rich_man,"He was very much astonished, and called his wife and said to her, ""Tell me, what can have happened?"
Grimms,87_the_poor_man_and_the_rich_man,"Last night there was a miserable little hut standing there, and to-day there is a beautiful new house."
Grimms,87_the_poor_man_and_the_rich_man,"Run over and see how that has come to pass."""
Grimms,87_the_poor_man_and_the_rich_man,"So his wife went and asked the poor man, and he said to her, ""Yesterday evening a traveler came here and asked for a night""s lodging, and this morning when he took leave of us he granted us three wishes---eternal happiness, health during this life and our daily bread as well, and besides this, a beautiful new house instead of our old hut."""
