author,story,text
Grimms,ashputtel,"The wife of a rich man fell sick; and when she felt that her end drew nigh, she called her only daughter to her bed-side, and said, ""Always be a good girl, and I will look down from heaven and watch over you."""
Grimms,ashputtel,"Soon afterwards she shut her eyes and died, and was buried in the garden; and the little girl went every day to her grave and wept, and was always good and kind to all about her."
Grimms,ashputtel,"And the snow fell and spread a beautiful white covering over the grave; but by the time the spring came, and the sun had melted it away again, her father had married another wife."
Grimms,ashputtel,"This new wife had two daughters of her own, that she brought home with her; they were fair in face but foul at heart, and it was now a sorry time for the poor little girl."
Grimms,ashputtel,"""What does the good-for-nothing want in the parlour?"" said they; ""they who would eat bread should first earn it; away with the kitchen-maid!"""
Grimms,ashputtel,"Then they took away her fine clothes, and gave her an old grey frock to put on, and laughed at her, and turned her into the kitchen."
Grimms,ashputtel,"There she was forced to do hard work; to rise early before daylight, to bring the water, to make the fire, to cook and to wash."
Grimms,ashputtel,"Besides that, the sisters plagued her in all sorts of ways, and laughed at her."
Grimms,ashputtel,"In the evening when she was tired, she had no bed to lie down on, but was made to lie by the hearth among the ashes; and as this, of course, made her always dusty and dirty, they called her Ashputtel."
Grimms,ashputtel,"It happened once that the father was going to the fair, and asked his wife""s daughters what he should bring them."
Grimms,ashputtel,"""Fine clothes,"" said the first; ""Pearls and diamonds,"" cried the second."
Grimms,ashputtel,"""Now, child,"" said he to his own daughter, ""what will you have?"""
Grimms,ashputtel,"""The first twig, dear father, that brushes against your hat when you turn your face to come homewards,"" said she."
Grimms,ashputtel,"Then he bought for the first two the fine clothes and pearls and diamonds they had asked for: and on his way home, as he rode through a green copse, a hazel twig brushed against him, and almost pushed off his hat: so he broke it off and brought it away; and when he got home he gave it to his daughter."
Grimms,ashputtel,"Then she took it, and went to her mother""s grave and planted it there; and cried so much that it was watered with her tears; and there it grew and became a fine tree."
Grimms,ashputtel,"Three times every day she went to it and cried; and soon a little bird came and built its nest upon the tree, and talked with her, and watched over her, and brought her whatever she wished for."
Grimms,ashputtel,"Now it happened that the king of that land held a feast, which was to last three days; and out of those who came to it his son was to choose a bride for himself."
Grimms,ashputtel,"Ashputtel""s two sisters were asked to come; so they called her up, and said, ""Now, comb our hair, brush our shoes, and tie our sashes for us, for we are going to dance at the king""s feast."""
Grimms,ashputtel,"Then she did as she was told; but when all was done she could not help crying, for she thought to herself, she should so have liked to have gone with them to the ball; and at last she begged her mother very hard to let her go."
Grimms,ashputtel,"""You, Ashputtel!"" said she; ""you who have nothing to wear, no clothes at all, and who cannot even dance--you want to go to the ball?"
Grimms,ashputtel,"And when she kept on begging, she said at last, to get rid of her, ""I will throw this dishful of peas into the ash-heap, and if in two hours"" time you have picked them all out, you shall go to the feast too."""
Grimms,ashputtel,"Then she threw the peas down among the ashes, but the little maiden ran out at the back door into the garden, and cried out:"
Grimms,ashputtel,"""Hither, hither, through the sky, Turtle-doves and linnets, fly!"
Grimms,ashputtel,"Blackbird, thrush, and chaffinch gay, Hither, hither, haste away!"
Grimms,ashputtel,"One and all come help me, quick!"
Grimms,ashputtel,"Haste ye, haste ye!--pick, pick, pick!"""
Grimms,ashputtel,"Then first came two white doves, flying in at the kitchen window; next came two turtle-doves; and after them came all the little birds under heaven, chirping and fluttering in: and they flew down into the ashes."
Grimms,ashputtel,"And the little doves stooped their heads down and set to work, pick, pick, pick; and then the others began to pick, pick, pick: and among them all they soon picked out all the good grain, and put it into a dish but left the ashes."
Grimms,ashputtel,"Long before the end of the hour the work was quite done, and all flew out again at the windows."
Grimms,ashputtel,"Then Ashputtel brought the dish to her mother, overjoyed at the thought that now she should go to the ball."
Grimms,ashputtel,"But the mother said, ""No, no! you slut, you have no clothes, and cannot dance; you shall not go."""
Grimms,ashputtel,"And when Ashputtel begged very hard to go, she said, ""If you can in one hour""s time pick two of those dishes of peas out of the ashes, you shall go too."""
Grimms,ashputtel,And thus she thought she should at least get rid of her.
Grimms,ashputtel,So she shook two dishes of peas into the ashes.
Grimms,ashputtel,"But the little maiden went out into the garden at the back of the house, and cried out as before:"
Grimms,ashputtel,"""Hither, hither, through the sky, Turtle-doves and linnets, fly!"
Grimms,ashputtel,"Blackbird, thrush, and chaffinch gay, Hither, hither, haste away!"
Grimms,ashputtel,"One and all come help me, quick!"
Grimms,ashputtel,"Haste ye, haste ye!--pick, pick, pick!"""
Grimms,ashputtel,"Then first came two white doves in at the kitchen window; next came two turtle-doves; and after them came all the little birds under heaven, chirping and hopping about."
Grimms,ashputtel,"And they flew down into the ashes; and the little doves put their heads down and set to work, pick, pick, pick; and then the others began pick, pick, pick; and they put all the good grain into the dishes, and left all the ashes."
Grimms,ashputtel,"Before half an hour""s time all was done, and out they flew again."
Grimms,ashputtel,"And then Ashputtel took the dishes to her mother, rejoicing to think that she should now go to the ball."
