author,story,text
HCAndersen,bishop_b,"OUR scene is laid in Northern Jutland, in the so-called ""wild moor."""
HCAndersen,bishop_b,"We hear what is called the ""Wester-wow-wow""- the peculiar roar of the North Sea as it breaks against the western coast of Jutland."
HCAndersen,bishop_b,It rolls and thunders with a sound that penetrates for miles into the land; and we are quite near the roaring.
HCAndersen,bishop_b,"Before us rises a great mound of sand- a mountain we have long seen, and towards which we are wending our way, driving slowly along through the deep sand."
HCAndersen,bishop_b,On this mountain of sand is a lofty old building- the convent of Borglum.
HCAndersen,bishop_b,In one of its wings (the larger one) there is still a church.
HCAndersen,bishop_b,"And at this convent we now arrive in the late evening hour; but the weather is clear in the bright June night around us, and the eye can range far, far over field and moor to the Bay of Aalborg, over heath and meadow, and far across the deep blue sea."
HCAndersen,bishop_b,"Now we are there, and roll past between barns and other farm buildings; and at the left of the gate we turn aside to the Old Castle Farm, where the lime trees stand in lines along the walls, and, sheltered from the wind and weather, grow so luxuriantly that their twigs and leaves almost conceal the windows."
HCAndersen,bishop_b,"We mount the winding staircase of stone, and march through the long passages under the heavy roof-beams."
HCAndersen,bishop_b,"The wind moans very strangely here, both within and without."
HCAndersen,bishop_b,"It is hardly known how, but the people say- yes, people say a great many things when they are frightened or want to frighten others- they say that the old dead choir-men glide silently past us into the church, where mass is sung."
HCAndersen,bishop_b,"They can be heard in the rushing of the storm, and their singing brings up strange thoughts in the hearers- thoughts of the old times into which we are carried back."
HCAndersen,bishop_b,"On the coast a ship is stranded; and the bishop's warriors are there, and spare not those whom the sea has spared."
HCAndersen,bishop_b,The sea washes away the blood that has flowed from the cloven skulls.
HCAndersen,bishop_b,"The stranded goods belong to the bishop, and there is a store of goods here."
HCAndersen,bishop_b,"The sea casts up tubs and barrels filled with costly wine for the convent cellar, and in the convent is already good store of beer and mead."
HCAndersen,bishop_b,"There is plenty in the kitchen- dead game and poultry, hams and sausages; and fat fish swim in the ponds without."
HCAndersen,bishop_b,The Bishop of Borglum is a mighty lord.
HCAndersen,bishop_b,"He has great possessions, but still he longs for more- everything must bow before the mighty Olaf Glob."
HCAndersen,bishop_b,"His rich cousin at Thyland is dead, and his widow is to have the rich inheritance."
HCAndersen,bishop_b,But how comes it that one relation is always harder towards another than even strangers would be?
