author,story,text
Grimms,cat-skin,"There was once a king, whose queen had hair of the purest gold, and was so beautiful that her match was not to be met with on the whole face of the earth."
Grimms,cat-skin,"But this beautiful queen fell ill, and when she felt that her end drew near she called the king to her and said, ""Promise me that you will never marry again, unless you meet with a wife who is as beautiful as I am, and who has golden hair like mine."""
Grimms,cat-skin,"Then when the king in his grief promised all she asked, she shut her eyes and died."
Grimms,cat-skin,"But the king was not to be comforted, and for a long time never thought of taking another wife."
Grimms,cat-skin,"At last, however, his wise men said, ""this will not do; the king must marry again, that we may have a queen."""
Grimms,cat-skin,"So messengers were sent far and wide, to seek for a bride as beautiful as the late queen."
Grimms,cat-skin,"But there was no princess in the world so beautiful; and if there had been, still there was not one to be found who had golden hair."
Grimms,cat-skin,"So the messengers came home, and had had all their trouble for nothing."
Grimms,cat-skin,"Now the king had a daughter, who was just as beautiful as her mother, and had the same golden hair."
Grimms,cat-skin,"And when she was grown up, the king looked at her and saw that she was just like this late queen: then he said to his courtiers, ""May I not marry my daughter?"
Grimms,cat-skin,"She is the very image of my dead wife: unless I have her, I shall not find any bride upon the whole earth, and you say there must be a queen."""
Grimms,cat-skin,"When the courtiers heard this they were shocked, and said, ""Heaven forbid that a father should marry his daughter!"
Grimms,cat-skin,"Out of so great a sin no good can come."""
Grimms,cat-skin,"And his daughter was also shocked, but hoped the king would soon give up such thoughts; so she said to him, ""Before I marry anyone I must have three dresses: one must be of gold, like the sun; another must be of shining silver, like the moon; and a third must be dazzling as the stars: besides this, I want a mantle of a thousand different kinds of fur put together, to which every beast in the kingdom must give a part of his skin."""
Grimms,cat-skin,And thus she though he would think of the matter no more.
Grimms,cat-skin,"But the king made the most skilful workmen in his kingdom weave the three dresses: one golden, like the sun; another silvery, like the moon; and a third sparkling, like the stars: and his hunters were told to hunt out all the beasts in his kingdom, and to take the finest fur out of their skins: and thus a mantle of a thousand furs was made."
Grimms,cat-skin,"When all were ready, the king sent them to her; but she got up in the night when all were asleep, and took three of her trinkets, a golden ring, a golden necklace, and a golden brooch, and packed the three dresses--of the sun, the moon, and the stars--up in a nutshell, and wrapped herself up in the mantle made of all sorts of fur, and besmeared her face and hands with soot."
Grimms,cat-skin,"Then she threw herself upon Heaven for help in her need, and went away, and journeyed on the whole night, till at last she came to a large wood."
Grimms,cat-skin,"As she was very tired, she sat herself down in the hollow of a tree and soon fell asleep: and there she slept on till it was midday."
Grimms,cat-skin,"Now as the king to whom the wood belonged was hunting in it, his dogs came to the tree, and began to snuff about, and run round and round, and bark."
Grimms,cat-skin,"""Look sharp!"" said the king to the huntsmen, ""and see what sort of game lies there."""
Grimms,cat-skin,"And the huntsmen went up to the tree, and when they came back again said, ""In the hollow tree there lies a most wonderful beast, such as we never saw before; its skin seems to be of a thousand kinds of fur, but there it lies fast asleep."""
Grimms,cat-skin,"""See,"" said the king, ""if you can catch it alive, and we will take it with us."""
Grimms,cat-skin,"So the huntsmen took it up, and the maiden awoke and was greatly frightened, and said, ""I am a poor child that has neither father nor mother left; have pity on me and take me with you."""
Grimms,cat-skin,"Then they said, ""Yes, Miss Cat-skin, you will do for the kitchen; you can sweep up the ashes, and do things of that sort."""
Grimms,cat-skin,"So they put her into the coach, and took her home to the king""s palace."
Grimms,cat-skin,"Then they showed her a little corner under the staircase, where no light of day ever peeped in, and said, ""Cat-skin, you may lie and sleep there."""
Grimms,cat-skin,"And she was sent into the kitchen, and made to fetch wood and water, to blow the fire, pluck the poultry, pick the herbs, sift the ashes, and do all the dirty work."
Grimms,cat-skin,Thus Cat-skin lived for a long time very sorrowfully.
Grimms,cat-skin,"""Ah! pretty princess!"" thought she, ""what will now become of thee?"""
Grimms,cat-skin,"But it happened one day that a feast was to be held in the king""s castle, so she said to the cook, ""May I go up a little while and see what is going on?"
Grimms,cat-skin,"I will take care and stand behind the door."""
