author,story,text
Grimms,clever_elsie,There was once a man who had a daughter who was called Clever Elsie.
Grimms,clever_elsie,"And when she had grown up her father said: ""We will get her married."""
Grimms,clever_elsie,"""Yes,"" said the mother, ""if only someone would come who would have her."""
Grimms,clever_elsie,"At length a man came from a distance and wooed her, who was called Hans; but he stipulated that Clever Elsie should be really smart."
Grimms,clever_elsie,"""Oh,"" said the father, ""she has plenty of good sense""; and the mother said: ""Oh, she can see the wind coming up the street, and hear the flies coughing."""
Grimms,clever_elsie,"""Well,"" said Hans, ""if she is not really smart, I won""t have her."""
Grimms,clever_elsie,"When they were sitting at dinner and had eaten, the mother said: ""Elsie, go into the cellar and fetch some beer."""
Grimms,clever_elsie,"Then Clever Elsie took the pitcher from the wall, went into the cellar, and tapped the lid briskly as she went, so that the time might not appear long."
Grimms,clever_elsie,"When she was below she fetched herself a chair, and set it before the barrel so that she had no need to stoop, and did not hurt her back or do herself any unexpected injury."
Grimms,clever_elsie,"Then she placed the can before her, and turned the tap, and while the beer was running she would not let her eyes be idle, but looked up at the wall, and after much peering here and there, saw a pick-axe exactly above her, which the masons had accidentally left there."
Grimms,clever_elsie,"Then Clever Elsie began to weep and said: ""If I get Hans, and we have a child, and he grows big, and we send him into the cellar here to draw beer, then the pick-axe will fall on his head and kill him."""
Grimms,clever_elsie,"Then she sat and wept and screamed with all the strength of her body, over the misfortune which lay before her."
Grimms,clever_elsie,"Those upstairs waited for the drink, but Clever Elsie still did not come."
Grimms,clever_elsie,"Then the woman said to the servant: ""Just go down into the cellar and see where Elsie is."""
Grimms,clever_elsie,"The maid went and found her sitting in front of the barrel, screaming loudly."
Grimms,clever_elsie,"""Elsie why do you weep?"" asked the maid."
Grimms,clever_elsie,"""Ah,"" she answered, ""have I not reason to weep?"
Grimms,clever_elsie,"If I get Hans, and we have a child, and he grows big, and has to draw beer here, the pick-axe will perhaps fall on his head, and kill him."""
Grimms,clever_elsie,"Then said the maid: ""What a clever Elsie we have!"" and sat down beside her and began loudly to weep over the misfortune."
Grimms,clever_elsie,"After a while, as the maid did not come back, and those upstairs were thirsty for the beer, the man said to the boy: ""Just go down into the cellar and see where Elsie and the girl are."""
Grimms,clever_elsie,"The boy went down, and there sat Clever Elsie and the girl both weeping together."
Grimms,clever_elsie,"Then he asked: ""Why are you weeping?"""
Grimms,clever_elsie,"""Ah,"" said Elsie, ""have I not reason to weep?"
Grimms,clever_elsie,"If I get Hans, and we have a child, and he grows big, and has to draw beer here, the pick-axe will fall on his head and kill him."""
Grimms,clever_elsie,"Then said the boy: ""What a clever Elsie we have!"" and sat down by her, and likewise began to howl loudly."
Grimms,clever_elsie,"Upstairs they waited for the boy, but as he still did not return, the man said to the woman: ""Just go down into the cellar and see where Elsie is!"""
Grimms,clever_elsie,"The woman went down, and found all three in the midst of their lamentations, and inquired what was the cause; then Elsie told her also that her future child was to be killed by the pick-axe, when it grew big and had to draw beer, and the pick-axe fell down."
Grimms,clever_elsie,"Then said the mother likewise: ""What a clever Elsie we have!"" and sat down and wept with them."
Grimms,clever_elsie,"The man upstairs waited a short time, but as his wife did not come back and his thirst grew ever greater, he said: ""I must go into the cellar myself and see where Elsie is."""
Grimms,clever_elsie,"But when he got into the cellar, and they were all sitting together crying, and he heard the reason, and that Elsie""s child was the cause, and the Elsie might perhaps bring one into the world some day, and that he might be killed by the pick-axe, if he should happen to be sitting beneath it, drawing beer just at the very time when it fell down, he cried: ""Oh, what a clever Elsie!"" and sat down, and likewise wept with them."
Grimms,clever_elsie,"The bridegroom stayed upstairs alone for along time; then as no one would come back he thought: ""They must be waiting for me below: I too must go there and see what they are about."""
Grimms,clever_elsie,"When he got down, the five of them were sitting screaming and lamenting quite piteously, each outdoing the other."
Grimms,clever_elsie,"""What misfortune has happened then?"" asked he."
Grimms,clever_elsie,"""Ah, dear Hans,"" said Elsie, ""if we marry each other and have a child, and he is big, and we perhaps send him here to draw something to drink, then the pick-axe which has been left up there might dash his brains out if it were to fall down, so have we not reason to weep?"""
Grimms,clever_elsie,"""Come,"" said Hans, ""more understanding than that is not needed for my household, as you are such a clever Elsie, I will have you,"" and seized her hand, took her upstairs with him, and married her."
Grimms,clever_elsie,"After Hans had had her some time, he said: ""Wife, I am going out to work and earn some money for us; go into the field and cut the corn that we may have some bread."""
Grimms,clever_elsie,"""Yes, dear Hans, I will do that."""
Grimms,clever_elsie,"After Hans had gone away, she cooked herself some good broth and took it into the field with her."
Grimms,clever_elsie,"When she came to the field she said to herself: ""What shall I do; shall I cut first, or shall I eat first?"
Grimms,clever_elsie,"Oh, I will eat first."""
