author,story,text
Grimms,clever_hans,"The mother of Hans said: ""Whither away, Hans?"""
Grimms,clever_hans,"Hans answered: ""To Gretel."""
Grimms,clever_hans,"""Behave well, Hans."""
Grimms,clever_hans,"""Oh, I""ll behave well."
Grimms,clever_hans,"Goodbye, mother."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,Hans comes to Gretel.
Grimms,clever_hans,"""Good day, Gretel."""
Grimms,clever_hans,"""Good day, Hans."
Grimms,clever_hans,"What do you bring that is good?"""
Grimms,clever_hans,"""I bring nothing, I want to have something given me."""
Grimms,clever_hans,"Gretel presents Hans with a needle, Hans says: ""Goodbye, Gretel."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,"Hans takes the needle, sticks it into a hay-cart, and follows the cart home."
Grimms,clever_hans,"""Good evening, mother."""
Grimms,clever_hans,"""Good evening, Hans."
Grimms,clever_hans,"Where have you been?"""
Grimms,clever_hans,"""With Gretel."""
Grimms,clever_hans,"""What did you take her?"""
Grimms,clever_hans,"""Took nothing; had something given me."""
Grimms,clever_hans,"""What did Gretel give you?"""
Grimms,clever_hans,"""Gave me a needle."""
Grimms,clever_hans,"""Where is the needle, Hans?"""
Grimms,clever_hans,"""Stuck in the hay-cart."""
Grimms,clever_hans,"""That was ill done, Hans."
Grimms,clever_hans,"You should have stuck the needle in your sleeve."""
Grimms,clever_hans,"""Never mind, I""ll do better next time."""
Grimms,clever_hans,"""Whither away, Hans?"""
Grimms,clever_hans,"""To Gretel, mother."""
Grimms,clever_hans,"""Behave well, Hans."""
Grimms,clever_hans,"""Oh, I""ll behave well."
Grimms,clever_hans,"Goodbye, mother."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,Hans comes to Gretel.
Grimms,clever_hans,"""Good day, Gretel."""
Grimms,clever_hans,"""Good day, Hans."
Grimms,clever_hans,"What do you bring that is good?"""
Grimms,clever_hans,"""I bring nothing."
Grimms,clever_hans,"I want to have something given to me."""
Grimms,clever_hans,Gretel presents Hans with a knife.
Grimms,clever_hans,"""Goodbye, Gretel."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,"Hans takes the knife, sticks it in his sleeve, and goes home."
Grimms,clever_hans,"""Good evening, mother."""
Grimms,clever_hans,"""Good evening, Hans."
Grimms,clever_hans,"Where have you been?"""
Grimms,clever_hans,"""With Gretel."""
Grimms,clever_hans,"What did you take her?"""
Grimms,clever_hans,"""Took her nothing, she gave me something."""
Grimms,clever_hans,"""What did Gretel give you?"""
Grimms,clever_hans,"""Gave me a knife."""
Grimms,clever_hans,"""Where is the knife, Hans?"""
Grimms,clever_hans,"""Stuck in my sleeve."""
Grimms,clever_hans,"""That""s ill done, Hans, you should have put the knife in your pocket."""
Grimms,clever_hans,"""Never mind, will do better next time."""
Grimms,clever_hans,"""Whither away, Hans?"""
Grimms,clever_hans,"""To Gretel, mother."""
Grimms,clever_hans,"""Behave well, Hans."""
Grimms,clever_hans,"""Oh, I""ll behave well."
Grimms,clever_hans,"Goodbye, mother."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,Hans comes to Gretel.
Grimms,clever_hans,"""Good day, Gretel."""
Grimms,clever_hans,"""Good day, Hans."
Grimms,clever_hans,"What good thing do you bring?"""
Grimms,clever_hans,"""I bring nothing, I want something given me."""
Grimms,clever_hans,Gretel presents Hans with a young goat.
Grimms,clever_hans,"""Goodbye, Gretel."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,"Hans takes the goat, ties its legs, and puts it in his pocket."
Grimms,clever_hans,When he gets home it is suffocated.
Grimms,clever_hans,"""Good evening, mother."""
Grimms,clever_hans,"""Good evening, Hans."
Grimms,clever_hans,"Where have you been?"""
Grimms,clever_hans,"""With Gretel."""
Grimms,clever_hans,"""What did you take her?"""
Grimms,clever_hans,"""Took nothing, she gave me something."""
Grimms,clever_hans,"""What did Gretel give you?"""
Grimms,clever_hans,"""She gave me a goat."""
Grimms,clever_hans,"""Where is the goat, Hans?"""
Grimms,clever_hans,"""Put it in my pocket."""
Grimms,clever_hans,"""That was ill done, Hans, you should have put a rope round the goat""s neck."""
Grimms,clever_hans,"""Never mind, will do better next time."""
Grimms,clever_hans,"""Whither away, Hans?"""
Grimms,clever_hans,"""To Gretel, mother."""
Grimms,clever_hans,"""Behave well, Hans."""
Grimms,clever_hans,"""Oh, I""ll behave well."
Grimms,clever_hans,"Goodbye, mother."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,Hans comes to Gretel.
Grimms,clever_hans,"""Good day, Gretel."""
Grimms,clever_hans,"""Good day, Hans."
Grimms,clever_hans,"What good thing do you bring?"""
Grimms,clever_hans,"""I bring nothing, I want something given me."""
Grimms,clever_hans,Gretel presents Hans with a piece of bacon.
Grimms,clever_hans,"""Goodbye, Gretel."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,"Hans takes the bacon, ties it to a rope, and drags it away behind him."
Grimms,clever_hans,The dogs come and devour the bacon.
Grimms,clever_hans,"When he gets home, he has the rope in his hand, and there is no longer anything hanging on to it."
Grimms,clever_hans,"""Good evening, mother."""
Grimms,clever_hans,"""Good evening, Hans."
Grimms,clever_hans,"Where have you been?"""
Grimms,clever_hans,"""With Gretel."""
Grimms,clever_hans,"""What did you take her?"""
Grimms,clever_hans,"""I took her nothing, she gave me something."""
Grimms,clever_hans,"""What did Gretel give you?"""
Grimms,clever_hans,"""Gave me a bit of bacon."""
Grimms,clever_hans,"""Where is the bacon, Hans?"""
Grimms,clever_hans,"""I tied it to a rope, brought it home, dogs took it."""
Grimms,clever_hans,"""That was ill done, Hans, you should have carried the bacon on your head."""
Grimms,clever_hans,"""Never mind, will do better next time."""
Grimms,clever_hans,"""Whither away, Hans?"""
Grimms,clever_hans,"""To Gretel, mother."""
Grimms,clever_hans,"""Behave well, Hans."""
Grimms,clever_hans,"""I""ll behave well."
Grimms,clever_hans,"Goodbye, mother."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,Hans comes to Gretel.
Grimms,clever_hans,"""Good day, Gretel."""
Grimms,clever_hans,"""Good day, Hans, What good thing do you bring?"""
Grimms,clever_hans,"""I bring nothing, but would have something given."""
Grimms,clever_hans,Gretel presents Hans with a calf.
Grimms,clever_hans,"""Goodbye, Gretel."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,"Hans takes the calf, puts it on his head, and the calf kicks his face."
Grimms,clever_hans,"""Good evening, mother."""
Grimms,clever_hans,"""Good evening, Hans."
Grimms,clever_hans,"Where have you been?"""
Grimms,clever_hans,"""With Gretel."""
Grimms,clever_hans,"""What did you take her?"""
Grimms,clever_hans,"""I took nothing, but had something given me."""
Grimms,clever_hans,"""What did Gretel give you?"""
Grimms,clever_hans,"""A calf."""
Grimms,clever_hans,"""Where have you the calf, Hans?"""
Grimms,clever_hans,"""I set it on my head and it kicked my face."""
Grimms,clever_hans,"""That was ill done, Hans, you should have led the calf, and put it in the stall."""
Grimms,clever_hans,"""Never mind, will do better next time."""
Grimms,clever_hans,"""Whither away, Hans?"""
Grimms,clever_hans,"""To Gretel, mother."""
Grimms,clever_hans,"""Behave well, Hans."""
Grimms,clever_hans,"""I""ll behave well."
Grimms,clever_hans,"Goodbye, mother."""
Grimms,clever_hans,"""Goodbye, Hans."""
Grimms,clever_hans,Hans comes to Gretel.
Grimms,clever_hans,"""Good day, Gretel."""
Grimms,clever_hans,"""Good day, Hans."
Grimms,clever_hans,"What good thing do you bring?"""
Grimms,clever_hans,"""I bring nothing, but would have something given."""
Grimms,clever_hans,"Gretel says to Hans: ""I will go with you."""
Grimms,clever_hans,"Hans takes Gretel, ties her to a rope, leads her to the rack, and binds her fast."
Grimms,clever_hans,Then Hans goes to his mother.
Grimms,clever_hans,"""Good evening, mother."""
Grimms,clever_hans,"""Good evening, Hans."
Grimms,clever_hans,"Where have you been?"""
Grimms,clever_hans,"""With Gretel."""
Grimms,clever_hans,"""What did you take her?"""
Grimms,clever_hans,"""I took her nothing."""
Grimms,clever_hans,"""What did Gretel give you?"""
