author,story,text
HCAndersen,daisy,Now listen!
HCAndersen,daisy,"In the country, close by the high road, stood a farmhouse; perhaps you have passed by and seen it yourself."
HCAndersen,daisy,"There was a little flower garden with painted wooden palings in front of it; close by was a ditch, on its fresh green bank grew a little daisy; the sun shone as warmly and brightly upon it as on the magnificent garden flowers, and therefore it thrived well."
HCAndersen,daisy,"One morning it had quite opened, and its little snow-white petals stood round the yellow centre, like the rays of the sun."
HCAndersen,daisy,"It did not mind that nobody saw it in the grass, and that it was a poor despised flower; on the contrary, it was quite happy, and turned towards the sun, looking upward and listening to the song of the lark high up in the air."
HCAndersen,daisy,"The little daisy was as happy as if the day had been a great holiday, but it was only Monday."
HCAndersen,daisy,"All the children were at school, and while they were sitting on the forms and learning their lessons, it sat on its thin green stalk and learnt from the sun and from its surroundings how kind God is, and it rejoiced that the song of the little lark expressed so sweetly and distinctly its own feelings."
HCAndersen,daisy,"With a sort of reverence the daisy looked up to the bird that could fly and sing, but it did not feel envious."
HCAndersen,daisy,"""I can see and hear,"" it thought; ""the sun shines upon me, and the forest kisses me."
HCAndersen,daisy,"How rich I am!"""
HCAndersen,daisy,"In the garden close by grew many large and magnificent flowers, and, strange to say, the less fragrance they had the haughtier and prouder they were."
HCAndersen,daisy,"The peonies puffed themselves up in order to be larger than the roses, but size is not everything!"
HCAndersen,daisy,"The tulips had the finest colours, and they knew it well, too, for they were standing bolt upright like candles, that one might see them the better."
HCAndersen,daisy,"In their pride they did not see the little daisy, which looked over to them and thought, ""How rich and beautiful they are!"
HCAndersen,daisy,I am sure the pretty bird will fly down and call upon them.
HCAndersen,daisy,"Thank God, that I stand so near and can at least see all the splendour."""
HCAndersen,daisy,"And while the daisy was still thinking, the lark came flying down, crying ""Tweet,"" but not to the peonies and tulips- no, into the grass to the poor daisy."
HCAndersen,daisy,Its joy was so great that it did not know what to think.
HCAndersen,daisy,"The little bird hopped round it and sang, ""How beautifully soft the grass is, and what a lovely little flower with its golden heart and silver dress is growing here."""
HCAndersen,daisy,"The yellow centre in the daisy did indeed look like gold, while the little petals shone as brightly as silver."
HCAndersen,daisy,How happy the daisy was!
HCAndersen,daisy,No one has the least idea.
HCAndersen,daisy,"The bird kissed it with its beak, sang to it, and then rose again up to the blue sky."
HCAndersen,daisy,It was certainly more than a quarter of an hour before the daisy recovered its senses.
HCAndersen,daisy,"Half ashamed, yet glad at heart, it looked over to the other flowers in the garden; surely they had witnessed its pleasure and the honour that had been done to it; they understood its joy."
HCAndersen,daisy,"But the tulips stood more stiffly than ever, their faces were pointed and red, because they were vexed."
HCAndersen,daisy,"The peonies were sulky; it was well that they could not speak, otherwise they would have given the daisy a good lecture."
HCAndersen,daisy,"The little flower could very well see that they were ill at ease, and pitied them sincerely."
HCAndersen,daisy,"Shortly after this a girl came into the garden, with a large sharp knife."
HCAndersen,daisy,"She went to the tulips and began cutting them off, one after another."
HCAndersen,daisy,"""Ugh!"" sighed the daisy, ""that is terrible; now they are done for."""
HCAndersen,daisy,The girl carried the tulips away.
HCAndersen,daisy,"The daisy was glad that it was outside, and only a small flower- it felt very grateful."
HCAndersen,daisy,"At sunset it folded its petals, and fell asleep, and dreamt all night of the sun and the little bird."
HCAndersen,daisy,"On the following morning, when the flower once more stretched forth its tender petals, like little arms, towards the air and light, the daisy recognised the bird's voice, but what it sang sounded so sad."
HCAndersen,daisy,"Indeed the poor bird had good reason to be sad, for it had been caught and put into a cage close by the open window."
HCAndersen,daisy,"It sang of the happy days when it could merrily fly about, of fresh green corn in the fields, and of the time when it could soar almost up to the clouds."
HCAndersen,daisy,The poor lark was most unhappy as a prisoner in a cage.
HCAndersen,daisy,"The little daisy would have liked so much to help it, but what could be done?"
HCAndersen,daisy,"Indeed, that was very difficult for such a small flower to find out."
HCAndersen,daisy,"It entirely forgot how beautiful everything around it was, how warmly the sun was shining, and how splendidly white its own petals were."
HCAndersen,daisy,"It could only think of the poor captive bird, for which it could do nothing."
HCAndersen,daisy,"Then two little boys came out of the garden; one of them had a large sharp knife, like that with which the girl had cut the tulips."
HCAndersen,daisy,"They came straight towards the little daisy, which could not understand what they wanted."
HCAndersen,daisy,"""Here is a fine piece of turf for the lark,"" said one of the boys, and began to cut out a square round the daisy, so that it remained in the centre of the grass."
