author,story,text
HCAndersen,elf_rose,"IN the midst of a garden grew a rose-tree, in full blossom, and in the prettiest of all the roses lived an elf."
HCAndersen,elf_rose,"He was such a little wee thing, that no human eye could see him."
HCAndersen,elf_rose,Behind each leaf of the rose he had a sleeping chamber.
HCAndersen,elf_rose,"He was as well formed and as beautiful as a little child could be, and had wings that reached from his shoulders to his feet."
HCAndersen,elf_rose,"Oh, what sweet fragrance there was in his chambers! and how clean and beautiful were the walls! for they were the blushing leaves of the rose."
HCAndersen,elf_rose,"During the whole day he enjoyed himself in the warm sunshine, flew from flower to flower, and danced on the wings of the flying butterflies."
HCAndersen,elf_rose,Then he took it into his head to measure how many steps he would have to go through the roads and cross-roads that are on the leaf of a linden-tree.
HCAndersen,elf_rose,"What we call the veins on a leaf, he took for roads; ay, and very long roads they were for him; for before he had half finished his task, the sun went down: he had commenced his work too late."
HCAndersen,elf_rose,"It became very cold, the dew fell, and the wind blew; so he thought the best thing he could do would be to return home."
HCAndersen,elf_rose,"He hurried himself as much as he could; but he found the roses all closed up, and he could not get in; not a single rose stood open."
HCAndersen,elf_rose,The poor little elf was very much frightened.
HCAndersen,elf_rose,"He had never before been out at night, but had always slumbered secretly behind the warm rose-leaves."
HCAndersen,elf_rose,"Oh, this would certainly be his death."
HCAndersen,elf_rose,"At the other end of the garden, he knew there was an arbor, overgrown with beautiful honey-suckles."
HCAndersen,elf_rose,"The blossoms looked like large painted horns; and he thought to himself, he would go and sleep in one of these till the morning."
HCAndersen,elf_rose,"He flew thither; but ""hush!"" two people were in the arbor,- a handsome young man and a beautiful lady."
HCAndersen,elf_rose,"They sat side by side, and wished that they might never be obliged to part."
HCAndersen,elf_rose,They loved each other much more than the best child can love its father and mother.
HCAndersen,elf_rose,"""But we must part,"" said the young man; ""your brother does not like our engagement, and therefore he sends me so far away on business, over mountains and seas."
HCAndersen,elf_rose,"Farewell, my sweet bride; for so you are to me."""
HCAndersen,elf_rose,"And then they kissed each other, and the girl wept, and gave him a rose; but before she did so, she pressed a kiss upon it so fervently that the flower opened."
HCAndersen,elf_rose,"Then the little elf flew in, and leaned his head on the delicate, fragrant walls."
HCAndersen,elf_rose,"Here he could plainly hear them say, ""Farewell, farewell;"" and he felt that the rose had been placed on the young man's breast."
HCAndersen,elf_rose,"Oh, how his heart did beat!"
HCAndersen,elf_rose,"The little elf could not go to sleep, it thumped so loudly."
HCAndersen,elf_rose,"The young man took it out as he walked through the dark wood alone, and kissed the flower so often and so violently, that the little elf was almost crushed."
HCAndersen,elf_rose,"He could feel through the leaf how hot the lips of the young man were, and the rose had opened, as if from the heat of the noonday sun."
HCAndersen,elf_rose,"There came another man, who looked gloomy and wicked."
HCAndersen,elf_rose,He was the wicked brother of the beautiful maiden.
HCAndersen,elf_rose,"He drew out a sharp knife, and while the other was kissing the rose, the wicked man stabbed him to death; then he cut off his head, and buried it with the body in the soft earth under the linden-tree."
HCAndersen,elf_rose,"""Now he is gone, and will soon be forgotten,"" thought the wicked brother; ""he will never come back again."
HCAndersen,elf_rose,He was going on a long journey over mountains and seas; it is easy for a man to lose his life in such a journey.
HCAndersen,elf_rose,"My sister will suppose he is dead; for he cannot come back, and she will not dare to question me about him."""
HCAndersen,elf_rose,"Then he scattered the dry leaves over the light earth with his foot, and went home through the darkness; but he went not alone, as he thought,- the little elf accompanied him."
HCAndersen,elf_rose,"He sat in a dry rolled-up linden-leaf, which had fallen from the tree on to the wicked man's head, as he was digging the grave."
HCAndersen,elf_rose,"The hat was on the head now, which made it very dark, and the little elf shuddered with fright and indignation at the wicked deed."
HCAndersen,elf_rose,"It was the dawn of morning before the wicked man reached home; he took off his hat, and went into his sister's room."
HCAndersen,elf_rose,"There lay the beautiful, blooming girl, dreaming of him whom she loved so, and who was now, she supposed, travelling far away over mountain and sea."
HCAndersen,elf_rose,"Her wicked brother stopped over her, and laughed hideously, as fiends only can laugh."
HCAndersen,elf_rose,"The dry leaf fell out of his hair upon the counterpane; but he did not notice it, and went to get a little sleep during the early morning hours."
HCAndersen,elf_rose,"But the elf slipped out of the withered leaf, placed himself by the ear of the sleeping girl, and told her, as in a dream, of the horrid murder; described the place where her brother had slain her lover, and buried his body; and told her of the linden-tree, in full blossom, that stood close by."
HCAndersen,elf_rose,"""That you may not think this is only a dream that I have told you,"" he said, ""you will find on your bed a withered leaf."""
HCAndersen,elf_rose,"Then she awoke, and found it there."
HCAndersen,elf_rose,"Oh, what bitter tears she shed! and she could not open her heart to any one for relief."
HCAndersen,elf_rose,"The window stood open the whole day, and the little elf could easily have reached the roses, or any of the flowers; but he could not find it in his heart to leave one so afflicted."
HCAndersen,elf_rose,In the window stood a bush bearing monthly roses.
HCAndersen,elf_rose,"He seated himself in one of the flowers, and gazed on the poor girl."
HCAndersen,elf_rose,"Her brother often came into the room, and would be quite cheerful, in spite of his base conduct; so she dare not say a word to him of her heart's grief."
HCAndersen,elf_rose,"As soon as night came on, she slipped out of the house, and went into the wood, to the spot where the linden-tree stood; and after removing the leaves from the earth, she turned it up, and there found him who had been murdered."
HCAndersen,elf_rose,"Oh, how she wept and prayed that she also might die!"
HCAndersen,elf_rose,"Gladly would she have taken the body home with her; but that was impossible; so she took up the poor head with the closed eyes, kissed the cold lips, and shook the mould out of the beautiful hair."
HCAndersen,elf_rose,"""I will keep this,"" said she; and as soon as she had covered the body again with the earth and leaves, she took the head and a little sprig of jasmine that bloomed in the wood, near the spot where he was buried, and carried them home with her."
HCAndersen,elf_rose,"As soon as she was in her room, she took the largest flower-pot she could find, and in this she placed the head of the dead man, covered it up with earth, and planted the twig of jasmine in it."
HCAndersen,elf_rose,"""Farewell, farewell,"" whispered the little elf."
HCAndersen,elf_rose,"He could not any longer endure to witness all this agony of grief, he therefore flew away to his own rose in the garden."
HCAndersen,elf_rose,But the rose was faded; only a few dry leaves still clung to the green hedge behind it.
HCAndersen,elf_rose,"""Alas! how soon all that is good and beautiful passes away,"" sighed the elf."
HCAndersen,elf_rose,"After a while he found another rose, which became his home, for among its delicate fragrant leaves he could dwell in safety."
HCAndersen,elf_rose,"Every morning he flew to the window of the poor girl, and always found her weeping by the flower pot."
HCAndersen,elf_rose,"The bitter tears fell upon the jasmine twig, and each day, as she became paler and paler, the sprig appeared to grow greener and fresher."
HCAndersen,elf_rose,"One shoot after another sprouted forth, and little white buds blossomed, which the poor girl fondly kissed."
HCAndersen,elf_rose,"But her wicked brother scolded her, and asked her if she was going mad."
HCAndersen,elf_rose,"He could not imagine why she was weeping over that flower-pot, and it annoyed him."
