author,story,text
HCAndersen,emperor,"MANY, many years ago lived an emperor, who thought so much of new clothes that he spent all his money in order to obtain them; his only ambition was to be always well dressed."
HCAndersen,emperor,"He did not care for his soldiers, and the theatre did not amuse him; the only thing, in fact, he thought anything of was to drive out and show a new suit of clothes."
HCAndersen,emperor,"He had a coat for every hour of the day; and as one would say of a king ""He is in his cabinet,"" so one could say of him, ""The emperor is in his dressing-room."""
HCAndersen,emperor,The great city where he resided was very gay; every day many strangers from all parts of the globe arrived.
HCAndersen,emperor,"One day two swindlers came to this city; they made people believe that they were weavers, and declared they could manufacture the finest cloth to be imagined."
HCAndersen,emperor,"Their colours and patterns, they said, were not only exceptionally beautiful, but the clothes made of their material possessed the wonderful quality of being invisible to any man who was unfit for his office or unpardonably stupid."
HCAndersen,emperor,"""That must be wonderful cloth,"" thought the emperor."
HCAndersen,emperor,"""If I were to be dressed in a suit made of this cloth I should be able to find out which men in my empire were unfit for their places, and I could distinguish the clever from the stupid."
HCAndersen,emperor,"I must have this cloth woven for me without delay."""
HCAndersen,emperor,"And he gave a large sum of money to the swindlers, in advance, that they should set to work without any loss of time."
HCAndersen,emperor,"They set up two looms, and pretended to be very hard at work, but they did nothing whatever on the looms."
HCAndersen,emperor,"They asked for the finest silk and the most precious gold-cloth; all they got they did away with, and worked at the empty looms till late at night."
HCAndersen,emperor,"""I should very much like to know how they are getting on with the cloth,"" thought the emperor."
HCAndersen,emperor,But he felt rather uneasy when he remembered that he who was not fit for his office could not see it.
HCAndersen,emperor,"Personally, he was of opinion that he had nothing to fear, yet he thought it advisable to send somebody else first to see how matters stood."
HCAndersen,emperor,"Everybody in the town knew what a remarkable quality the stuff possessed, and all were anxious to see how bad or stupid their neighbours were."
HCAndersen,emperor,"""I shall send my honest old minister to the weavers,"" thought the emperor."
HCAndersen,emperor,"""He can judge best how the stuff looks, for he is intelligent, and nobody understands his office better than he."""
HCAndersen,emperor,The good old minister went into the room where the swindlers sat before the empty looms.
HCAndersen,emperor,"""Heaven preserve us!"" he thought, and opened his eyes wide, ""I cannot see anything at all,"" but he did not say so."
HCAndersen,emperor,"Both swindlers requested him to come near, and asked him if he did not admire the exquisite pattern and the beautiful colours, pointing to the empty looms."
HCAndersen,emperor,"The poor old minister tried his very best, but he could see nothing, for there was nothing to be seen."
HCAndersen,emperor,"""Oh dear,"" he thought, ""can I be so stupid?"
HCAndersen,emperor,"I should never have thought so, and nobody must know it!"
HCAndersen,emperor,Is it possible that I am not fit for my office?
HCAndersen,emperor,"No, no, I cannot say that I was unable to see the cloth."""
HCAndersen,emperor,"""Now, have you got nothing to say?"" said one of the swindlers, while he pretended to be busily weaving."
HCAndersen,emperor,"""Oh, it is very pretty, exceedingly beautiful,"" replied the old minister looking through his glasses."
HCAndersen,emperor,"""What a beautiful pattern, what brilliant colours!"
HCAndersen,emperor,"I shall tell the emperor that I like the cloth very much."""
HCAndersen,emperor,"""We are pleased to hear that,"" said the two weavers, and described to him the colours and explained the curious pattern."
HCAndersen,emperor,"The old minister listened attentively, that he might relate to the emperor what they said; and so he did."
HCAndersen,emperor,"Now the swindlers asked for more money, silk and gold-cloth, which they required for weaving."
HCAndersen,emperor,"They kept everything for themselves, and not a thread came near the loom, but they continued, as hitherto, to work at the empty looms."
HCAndersen,emperor,"Soon afterwards the emperor sent another honest courtier to the weavers to see how they were getting on, and if the cloth was nearly finished."
HCAndersen,emperor,"Like the old minister, he looked and looked but could see nothing, as there was nothing to be seen."
HCAndersen,emperor,"""Is it not a beautiful piece of cloth?"" asked the two swindlers, showing and explaining the magnificent pattern, which, however, did not exist."
HCAndersen,emperor,"""I am not stupid,"" said the man."
HCAndersen,emperor,"""It is therefore my good appointment for which I am not fit."
HCAndersen,emperor,"It is very strange, but I must not let any one know it;"" and he praised the cloth, which he did not see, and expressed his joy at the beautiful colours and the fine pattern."
HCAndersen,emperor,"""It is very excellent,"" he said to the emperor."
HCAndersen,emperor,Everybody in the whole town talked about the precious cloth.
HCAndersen,emperor,"At last the emperor wished to see it himself, while it was still on the loom."
HCAndersen,emperor,"With a number of courtiers, including the two who had already been there, he went to the two clever swindlers, who now worked as hard as they could, but without using any thread."
HCAndersen,emperor,"""Is it not magnificent?"" said the two old statesmen who had been there before."
HCAndersen,emperor,"""Your Majesty must admire the colours and the pattern."""
HCAndersen,emperor,"And then they pointed to the empty looms, for they imagined the others could see the cloth."
HCAndersen,emperor,"""What is this?"" thought the emperor, ""I do not see anything at all."
HCAndersen,emperor,That is terrible!
HCAndersen,emperor,Am I stupid?
HCAndersen,emperor,Am I unfit to be emperor?
HCAndersen,emperor,"That would indeed be the most dreadful thing that could happen to me."""
HCAndersen,emperor,"""Really,"" he said, turning to the weavers, ""your cloth has our most gracious approval;"" and nodding contentedly he looked at the empty loom, for he did not like to say that he saw nothing."
HCAndersen,emperor,"All his attendants, who were with him, looked and looked, and although they could not see anything more than the others, they said, like the emperor, ""It is very beautiful."""
HCAndersen,emperor,And all advised him to wear the new magnificent clothes at a great procession which was soon to take place.
