author,story,text
HCAndersen,fir_tree,"FAR down in the forest, where the warm sun and the fresh air made a sweet resting-place, grew a pretty little fir-tree; and yet it was not happy, it wished so much to be tall like its companions- the pines and firs which grew around it."
HCAndersen,fir_tree,"The sun shone, and the soft air fluttered its leaves, and the little peasant children passed by, prattling merrily, but the fir-tree heeded them not."
HCAndersen,fir_tree,"Sometimes the children would bring a large basket of raspberries or strawberries, wreathed on a straw, and seat themselves near the fir-tree, and say, ""Is it not a pretty little tree?"" which made it feel more unhappy than before."
HCAndersen,fir_tree,And yet all this while the tree grew a notch or joint taller every year; for by the number of joints in the stem of a fir-tree we can discover its age.
HCAndersen,fir_tree,"Still, as it grew, it complained, ""Oh! how I wish I were as tall as the other trees, then I would spread out my branches on every side, and my top would over-look the wide world."
HCAndersen,fir_tree,"I should have the birds building their nests on my boughs, and when the wind blew, I should bow with stately dignity like my tall companions."""
HCAndersen,fir_tree,"The tree was so discontented, that it took no pleasure in the warm sunshine, the birds, or the rosy clouds that floated over it morning and evening."
HCAndersen,fir_tree,"Sometimes, in winter, when the snow lay white and glittering on the ground, a hare would come springing along, and jump right over the little tree; and then how mortified it would feel!"
HCAndersen,fir_tree,"Two winters passed, and when the third arrived, the tree had grown so tall that the hare was obliged to run round it."
HCAndersen,fir_tree,"Yet it remained unsatisfied, and would exclaim, ""Oh, if I could but keep on growing tall and old!"
HCAndersen,fir_tree,"There is nothing else worth caring for in the world!"""
HCAndersen,fir_tree,"In the autumn, as usual, the wood-cutters came and cut down several of the tallest trees, and the young fir-tree, which was now grown to its full height, shuddered as the noble trees fell to the earth with a crash."
HCAndersen,fir_tree,"After the branches were lopped off, the trunks looked so slender and bare, that they could scarcely be recognized."
HCAndersen,fir_tree,"Then they were placed upon wagons, and drawn by horses out of the forest."
HCAndersen,fir_tree,"""Where were they going?"
HCAndersen,fir_tree,"What would become of them?"""
HCAndersen,fir_tree,"The young fir-tree wished very much to know; so in the spring, when the swallows and the storks came, it asked, ""Do you know where those trees were taken?"
HCAndersen,fir_tree,"Did you meet them?"""
HCAndersen,fir_tree,"The swallows knew nothing, but the stork, after a little reflection, nodded his head, and said, ""Yes, I think I do."
HCAndersen,fir_tree,"I met several new ships when I flew from Egypt, and they had fine masts that smelt like fir."
HCAndersen,fir_tree,"I think these must have been the trees; I assure you they were stately, very stately."""
HCAndersen,fir_tree,"""Oh, how I wish I were tall enough to go on the sea,"" said the fir-tree."
HCAndersen,fir_tree,"""What is the sea, and what does it look like?"""
HCAndersen,fir_tree,"""It would take too much time to explain,"" said the stork, flying quickly away."
HCAndersen,fir_tree,"""Rejoice in thy youth,"" said the sunbeam; ""rejoice in thy fresh growth, and the young life that is in thee."""
HCAndersen,fir_tree,"And the wind kissed the tree, and the dew watered it with tears; but the fir-tree regarded them not."
HCAndersen,fir_tree,"Christmas-time drew near, and many young trees were cut down, some even smaller and younger than the fir-tree who enjoyed neither rest nor peace with longing to leave its forest home."
HCAndersen,fir_tree,"These young trees, which were chosen for their beauty, kept their branches, and were also laid on wagons and drawn by horses out of the forest."
HCAndersen,fir_tree,"""Where are they going?"" asked the fir-tree."
HCAndersen,fir_tree,"""They are not taller than I am: indeed, one is much less; and why are the branches not cut off?"
HCAndersen,fir_tree,"Where are they going?"""
HCAndersen,fir_tree,"""We know, we know,"" sang the sparrows; ""we have looked in at the windows of the houses in the town, and we know what is done with them."
HCAndersen,fir_tree,They are dressed up in the most splendid manner.
HCAndersen,fir_tree,"We have seen them standing in the middle of a warm room, and adorned with all sorts of beautiful things,- honey cakes, gilded apples, playthings, and many hundreds of wax tapers."""
HCAndersen,fir_tree,"""And then,"" asked the fir-tree, trembling through all its branches, ""and then what happens?"""
HCAndersen,fir_tree,"""We did not see any more,"" said the sparrows; ""but this was enough for us."""
HCAndersen,fir_tree,"""I wonder whether anything so brilliant will ever happen to me,"" thought the fir-tree."
HCAndersen,fir_tree,"""It would be much better than crossing the sea."
HCAndersen,fir_tree,I long for it almost with pain.
HCAndersen,fir_tree,Oh! when will Christmas be here?
HCAndersen,fir_tree,I am now as tall and well grown as those which were taken away last year.
HCAndersen,fir_tree,"Oh! that I were now laid on the wagon, or standing in the warm room, with all that brightness and splendor around me!"
HCAndersen,fir_tree,"Something better and more beautiful is to come after, or the trees would not be so decked out."
HCAndersen,fir_tree,"Yes, what follows will be grander and more splendid."
HCAndersen,fir_tree,What can it be?
HCAndersen,fir_tree,I am weary with longing.
HCAndersen,fir_tree,"I scarcely know how I feel."""
HCAndersen,fir_tree,"""Rejoice with us,"" said the air and the sunlight."
HCAndersen,fir_tree,"""Enjoy thine own bright life in the fresh air."""
HCAndersen,fir_tree,"But the tree would not rejoice, though it grew taller every day; and, winter and summer, its dark-green foliage might be seen in the forest, while passers by would say, ""What a beautiful tree!"""
HCAndersen,fir_tree,"A short time before Christmas, the discontented fir-tree was the first to fall."
HCAndersen,fir_tree,"As the axe cut through the stem, and divided the pith, the tree fell with a groan to the earth, conscious of pain and faintness, and forgetting all its anticipations of happiness, in sorrow at leaving its home in the forest."
HCAndersen,fir_tree,"It knew that it should never again see its dear old companions, the trees, nor the little bushes and many-colored flowers that had grown by its side; perhaps not even the birds."
HCAndersen,fir_tree,Neither was the journey at all pleasant.
HCAndersen,fir_tree,"The tree first recovered itself while being unpacked in the courtyard of a house, with several other trees; and it heard a man say, ""We only want one, and this is the prettiest."""
HCAndersen,fir_tree,"Then came two servants in grand livery, and carried the fir-tree into a large and beautiful apartment."
HCAndersen,fir_tree,"On the walls hung pictures, and near the great stove stood great china vases, with lions on the lids."
HCAndersen,fir_tree,"There were rocking chairs, silken sofas, large tables, covered with pictures, books, and playthings, worth a great deal of money,- at least, the children said so."
HCAndersen,fir_tree,"Then the fir-tree was placed in a large tub, full of sand; but green baize hung all around it, so that no one could see it was a tub, and it stood on a very handsome carpet."
HCAndersen,fir_tree,How the fir-tree trembled!
HCAndersen,fir_tree,"""What was going to happen to him now?"""
HCAndersen,fir_tree,"Some young ladies came, and the servants helped them to adorn the tree."
HCAndersen,fir_tree,"On one branch they hung little bags cut out of colored paper, and each bag was filled with sweetmeats; from other branches hung gilded apples and walnuts, as if they had grown there; and above, and all round, were hundreds of red, blue, and white tapers, which were fastened on the branches."
HCAndersen,fir_tree,"Dolls, exactly like real babies, were placed under the green leaves,- the tree had never seen such things before,- and at the very top was fastened a glittering star, made of tinsel."
HCAndersen,fir_tree,"Oh, it was very beautiful!"
HCAndersen,fir_tree,"""This evening,"" they all exclaimed, ""how bright it will be!"""
HCAndersen,fir_tree,"""Oh, that the evening were come,"" thought the tree, ""and the tapers lighted! then I shall know what else is going to happen."
HCAndersen,fir_tree,Will the trees of the forest come to see me?
HCAndersen,fir_tree,"I wonder if the sparrows will peep in at the windows as they fly? shall I grow faster here, and keep on all these ornaments summer and winter?"""
HCAndersen,fir_tree,"But guessing was of very little use; it made his bark ache, and this pain is as bad for a slender fir-tree, as headache is for us."
HCAndersen,fir_tree,"At last the tapers were lighted, and then what a glistening blaze of light the tree presented!"
HCAndersen,fir_tree,"It trembled so with joy in all its branches, that one of the candles fell among the green leaves and burnt some of them."
HCAndersen,fir_tree,"""Help! help!"" exclaimed the young ladies, but there was no danger, for they quickly extinguished the fire."
HCAndersen,fir_tree,"After this, the tree tried not to tremble at all, though the fire frightened him; he was so anxious not to hurt any of the beautiful ornaments, even while their brilliancy dazzled him."
HCAndersen,fir_tree,"And now the folding doors were thrown open, and a troop of children rushed in as if they intended to upset the tree; they were followed more silently by their elders."
HCAndersen,fir_tree,"For a moment the little ones stood silent with astonishment, and then they shouted for joy, till the room rang, and they danced merrily round the tree, while one present after another was taken from it."
HCAndersen,fir_tree,"""What are they doing?"
HCAndersen,fir_tree,"What will happen next?"" thought the fir."
HCAndersen,fir_tree,At last the candles burnt down to the branches and were put out.
HCAndersen,fir_tree,Then the children received permission to plunder the tree.
HCAndersen,fir_tree,"Oh, how they rushed upon it, till the branches cracked, and had it not been fastened with the glistening star to the ceiling, it must have been thrown down."
HCAndersen,fir_tree,"The children then danced about with their pretty toys, and no one noticed the tree, except the children's maid who came and peeped among the branches to see if an apple or a fig had been forgotten."
HCAndersen,fir_tree,"""A story, a story,"" cried the children, pulling a little fat man towards the tree."
HCAndersen,fir_tree,"""Now we shall be in the green shade,"" said the man, as he seated himself under it, ""and the tree will have the pleasure of hearing also, but I shall only relate one story; what shall it be?"
HCAndersen,fir_tree,"Ivede-Avede, or Humpty Dumpty, who fell down stairs, but soon got up again, and at last married a princess."""
HCAndersen,fir_tree,"""Ivede-Avede,"" cried some."
HCAndersen,fir_tree,"""Humpty Dumpty,"" cried others, and there was a fine shouting and crying out."
HCAndersen,fir_tree,"But the fir-tree remained quite still, and thought to himself, ""Shall I have anything to do with all this?"" but he had already amused them as much as they wished."
HCAndersen,fir_tree,"Then the old man told them the story of Humpty Dumpty, how he fell down stairs, and was raised up again, and married a princess."
HCAndersen,fir_tree,"And the children clapped their hands and cried, ""Tell another, tell another,"" for they wanted to hear the story of ""Ivede-Avede;"" but they only had ""Humpty Dumpty."""
HCAndersen,fir_tree,"After this the fir-tree became quite silent and thoughtful; never had the birds in the forest told such tales as ""Humpty Dumpty,"" who fell down stairs, and yet married a princess."
HCAndersen,fir_tree,"""Ah! yes, so it happens in the world,"" thought the fir-tree; he believed it all, because it was related by such a nice man."
HCAndersen,fir_tree,"""Ah! well,"" he thought, ""who knows? perhaps I may fall down too, and marry a princess;"" and he looked forward joyfully to the next evening, expecting to be again decked out with lights and playthings, gold and fruit."
HCAndersen,fir_tree,"""To-morrow I will not tremble,"" thought he; ""I will enjoy all my splendor, and I shall hear the story of Humpty Dumpty again, and perhaps Ivede-Avede."""
HCAndersen,fir_tree,And the tree remained quiet and thoughtful all night.
HCAndersen,fir_tree,In the morning the servants and the housemaid came in.
HCAndersen,fir_tree,"""Now,"" thought the fir, ""all my splendor is going to begin again."""
HCAndersen,fir_tree,"But they dragged him out of the room and up stairs to the garret, and threw him on the floor, in a dark corner, where no daylight shone, and there they left him."
HCAndersen,fir_tree,"""What does this mean?"" thought the tree, ""what am I to do here?"
HCAndersen,fir_tree,"I can hear nothing in a place like this,"" and he had time enough to think, for days and nights passed and no one came near him, and when at last somebody did come, it was only to put away large boxes in a corner."
HCAndersen,fir_tree,So the tree was completely hidden from sight as if it had never existed.
HCAndersen,fir_tree,"""It is winter now,"" thought the tree, ""the ground is hard and covered with snow, so that people cannot plant me."
HCAndersen,fir_tree,"I shall be sheltered here, I dare say, until spring comes."
HCAndersen,fir_tree,How thoughtful and kind everybody is to me!
HCAndersen,fir_tree,"Still I wish this place were not so dark, as well as lonely, with not even a little hare to look at."
HCAndersen,fir_tree,"How pleasant it was out in the forest while the snow lay on the ground, when the hare would run by, yes, and jump over me too, although I did not like it then."
HCAndersen,fir_tree,"Oh! it is terrible lonely here."""
HCAndersen,fir_tree,"""Squeak, squeak,"" said a little mouse, creeping cautiously towards the tree; then came another; and they both sniffed at the fir-tree and crept between the branches."
HCAndersen,fir_tree,"""Oh, it is very cold,"" said the little mouse, ""or else we should be so comfortable here, shouldn't we, you old fir-tree?"""
HCAndersen,fir_tree,"""I am not old,"" said the fir-tree, ""there are many who are older than I am."""
HCAndersen,fir_tree,"""Where do you come from? and what do you know?"" asked the mice, who were full of curiosity."
HCAndersen,fir_tree,"""Have you seen the most beautiful places in the world, and can you tell us all about them? and have you been in the storeroom, where cheeses lie on the shelf, and hams hang from the ceiling?"
HCAndersen,fir_tree,"One can run about on tallow candles there, and go in thin and come out fat."""
HCAndersen,fir_tree,"""I know nothing of that place,"" said the fir-tree, ""but I know the wood where the sun shines and the birds sing."""
HCAndersen,fir_tree,And then the tree told the little mice all about its youth.
HCAndersen,fir_tree,"They had never heard such an account in their lives; and after they had listened to it attentively, they said, ""What a number of things you have seen? you must have been very happy."""
HCAndersen,fir_tree,"""Happy!"" exclaimed the fir-tree, and then as he reflected upon what he had been telling them, he said, ""Ah, yes! after all those were happy days."""
HCAndersen,fir_tree,"But when he went on and related all about Christmas-eve, and how he had been dressed up with cakes and lights, the mice said, ""How happy you must have been, you old fir-tree."""
HCAndersen,fir_tree,"""I am not old at all,"" replied the tree, ""I only came from the forest this winter, I am now checked in my growth."""
HCAndersen,fir_tree,"""What splendid stories you can relate,"" said the little mice."
HCAndersen,fir_tree,And the next night four other mice came with them to hear what the tree had to tell.
HCAndersen,fir_tree,"The more he talked the more he remembered, and then he thought to himself, ""Those were happy days, but they may come again."
HCAndersen,fir_tree,"Humpty Dumpty fell down stairs, and yet he married the princess; perhaps I may marry a princess too."""
HCAndersen,fir_tree,"And the fir-tree thought of the pretty little birch-tree that grew in the forest, which was to him a real beautiful princess."
HCAndersen,fir_tree,"""Who is Humpty Dumpty?"" asked the little mice."
HCAndersen,fir_tree,"And then the tree related the whole story; he could remember every single word, and the little mice was so delighted with it, that they were ready to jump to the top of the tree."
HCAndersen,fir_tree,"The next night a great many more mice made their appearance, and on Sunday two rats came with them; but they said, it was not a pretty story at all, and the little mice were very sorry, for it made them also think less of it."
HCAndersen,fir_tree,"""Do you know only one story?"" asked the rats."
