author,story,text
HCAndersen,flax,"THE flax was in full bloom; it had pretty little blue flowers as delicate as the wings of a moth, or even more so."
HCAndersen,flax,"The sun shone, and the showers watered it; and this was just as good for the flax as it is for little children to be washed and then kissed by their mother."
HCAndersen,flax,"They look much prettier for it, and so did the flax."
HCAndersen,flax,"""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen."
HCAndersen,flax,"How fortunate I am; it makes me so happy, it is such a pleasant thing to know that something can be made of me."
HCAndersen,flax,"How the sunshine cheers me, and how sweet and refreshing is the rain; my happiness overpowers me, no one in the world can feel happier than I am."""
HCAndersen,flax,"""Ah, yes, no doubt,"" said the fern, ""but you do not know the world yet as well as I do, for my sticks are knotty;"" and then it sung quite mournfully-"
HCAndersen,flax,"""Snip, snap, snurre, Basse lurre: The song is ended."""
HCAndersen,flax,"""No, it is not ended,"" said the flax."
HCAndersen,flax,"""To-morrow the sun will shine, or the rain descend."
HCAndersen,flax,I feel that I am growing.
HCAndersen,flax,I feel that I am in full blossom.
HCAndersen,flax,"I am the happiest of all creatures."""
HCAndersen,flax,"Well, one day some people came, who took hold of the flax, and pulled it up by the roots; this was painful; then it was laid in water as if they intended to drown it; and, after that, placed near a fire as if it were to be roasted; all this was very shocking."
HCAndersen,flax,"""We cannot expect to be happy always,"" said the flax; ""by experiencing evil as well as good, we become wise."""
HCAndersen,flax,And certainly there was plenty of evil in store for the flax.
HCAndersen,flax,"It was steeped, and roasted, and broken, and combed; indeed, it scarcely knew what was done to it."
HCAndersen,flax,At last it was put on the spinning wheel.
HCAndersen,flax,"""Whirr, whirr,"" went the wheel so quickly that the flax could not collect its thoughts."
HCAndersen,flax,"""Well, I have been very happy,"" he thought in the midst of his pain, ""and must be contented with the past;"" and contented he remained till he was put on the loom, and became a beautiful piece of white linen."
HCAndersen,flax,"All the flax, even to the last stalk, was used in making this one piece."
HCAndersen,flax,"""Well, this is quite wonderful; I could not have believed that I should be so favored by fortune."
HCAndersen,flax,The fern was not wrong with its song of
HCAndersen,flax,"'Snip, snap, snurre, Basse lurre.'"
HCAndersen,flax,"But the song is not ended yet, I am sure; it is only just beginning."
HCAndersen,flax,"How wonderful it is, that after all I have suffered, I am made something of at last; I am the luckiest person in the world- so strong and fine; and how white, and what a length!"
HCAndersen,flax,This is something different to being a mere plant and bearing flowers.
HCAndersen,flax,"Then I had no attention, nor any water unless it rained; now, I am watched and taken care of."
HCAndersen,flax,"Every morning the maid turns me over, and I have a shower-bath from the watering-pot every evening."
HCAndersen,flax,"Yes, and the clergyman's wife noticed me, and said I was the best piece of linen in the whole parish."
HCAndersen,flax,"I cannot be happier than I am now."""
HCAndersen,flax,"After some time, the linen was taken into the house, placed under the scissors, and cut and torn into pieces, and then pricked with needles."
HCAndersen,flax,"This certainly was not pleasant; but at last it was made into twelve garments of that kind which people do not like to name, and yet everybody should wear one."
HCAndersen,flax,"""See, now, then,"" said the flax; ""I have become something of importance."
HCAndersen,flax,This was my destiny; it is quite a blessing.
HCAndersen,flax,"Now I shall be of some use in the world, as everyone ought to be; it is the only way to be happy."
HCAndersen,flax,"I am now divided into twelve pieces, and yet we are all one and the same in the whole dozen."
HCAndersen,flax,"It is most extraordinary good fortune."""
HCAndersen,flax,"Years passed away, and at last the linen was so worn it could scarcely hold together."
HCAndersen,flax,"""It must end very soon,"" said the pieces to each other; ""we would gladly have held together a little longer, but it is useless to expect impossibilities."""
HCAndersen,flax,"And at length they fell into rags and tatters, and thought it was all over with them, for they were torn to shreds, and steeped in water, and made into a pulp, and dried, and they knew not what besides, till all at once they found themselves beautiful white paper."
HCAndersen,flax,"""Well, now, this is a surprise; a glorious surprise too,"" said the paper."
HCAndersen,flax,"""I am now finer than ever, and I shall be written upon, and who can tell what fine things I may have written upon me."
HCAndersen,flax,"This is wonderful luck!"""
HCAndersen,flax,"And sure enough the most beautiful stories and poetry were written upon it, and only once was there a blot, which was very fortunate."
HCAndersen,flax,"Then people heard the stories and poetry read, and it made them wiser and better; for all that was written had a good and sensible meaning, and a great blessing was contained in the words on this paper."
HCAndersen,flax,"""I never imagined anything like this,"" said the paper, ""when I was only a little blue flower, growing in the fields."
HCAndersen,flax,How could I fancy that I should ever be the means of bringing knowledge and joy to man?
HCAndersen,flax,"I cannot understand it myself, and yet it is really so."
HCAndersen,flax,"Heaven knows that I have done nothing myself, but what I was obliged to do with my weak powers for my own preservation; and yet I have been promoted from one joy and honor to another."
HCAndersen,flax,Each time I think that the song is ended; and then something higher and better begins for me.
HCAndersen,flax,"I suppose now I shall be sent on my travels about the world, so that people may read me."
HCAndersen,flax,"It cannot be otherwise; indeed, it is more than probable; for I have more splendid thoughts written upon me, than I had pretty flowers in olden times."
HCAndersen,flax,"I am happier than ever."""
HCAndersen,flax,"But the paper did not go on its travels; it was sent to the printer, and all the words written upon it were set up in type, to make a book, or rather, many hundreds of books; for so many more persons could derive pleasure and profit from a printed book, than from the written paper; and if the paper had been sent around the world, it would have been worn out before it had got half through its journey."
HCAndersen,flax,"""This is certainly the wisest plan,"" said the written paper; ""I really did not think of that."
HCAndersen,flax,"I shall remain at home, and be held in honor, like some old grandfather, as I really am to all these new books."
HCAndersen,flax,They will do some good.
HCAndersen,flax,I could not have wandered about as they do.
HCAndersen,flax,"Yet he who wrote all this has looked at me, as every word flowed from his pen upon my surface."
HCAndersen,flax,"I am the most honored of all."""
HCAndersen,flax,"Then the paper was tied in a bundle with other papers, and thrown into a tub that stood in the washhouse."
