author,story,text
Grimms,frederick_and_catherine,"There was once a man called Frederick: he had a wife whose name was Catherine, and they had not long been married."
Grimms,frederick_and_catherine,One day Frederick said.
Grimms,frederick_and_catherine,"""Kate!"
Grimms,frederick_and_catherine,"I am going to work in the fields; when I come back I shall be hungry so let me have something nice cooked, and a good draught of ale."""
Grimms,frederick_and_catherine,"""Very well,"" said she, ""it shall all be ready."""
Grimms,frederick_and_catherine,"When dinner-time drew nigh, Catherine took a nice steak, which was all the meat she had, and put it on the fire to fry."
Grimms,frederick_and_catherine,"The steak soon began to look brown, and to crackle in the pan; and Catherine stood by with a fork and turned it: then she said to herself, ""The steak is almost ready, I may as well go to the cellar for the ale."""
Grimms,frederick_and_catherine,So she left the pan on the fire and took a large jug and went into the cellar and tapped the ale cask.
Grimms,frederick_and_catherine,The beer ran into the jug and Catherine stood looking on.
Grimms,frederick_and_catherine,"At last it popped into her head, ""The dog is not shut up--he may be running away with the steak; that""s well thought of."""
Grimms,frederick_and_catherine,"So up she ran from the cellar; and sure enough the rascally cur had got the steak in his mouth, and was making off with it."
Grimms,frederick_and_catherine,"Away ran Catherine, and away ran the dog across the field: but he ran faster than she, and stuck close to the steak."
Grimms,frederick_and_catherine,"""It""s all gone, and ""what can""t be cured must be endured"","" said Catherine."
Grimms,frederick_and_catherine,"So she turned round; and as she had run a good way and was tired, she walked home leisurely to cool herself."
Grimms,frederick_and_catherine,"Now all this time the ale was running too, for Catherine had not turned the cock; and when the jug was full the liquor ran upon the floor till the cask was empty."
Grimms,frederick_and_catherine,When she got to the cellar stairs she saw what had happened.
Grimms,frederick_and_catherine,"""My stars!"" said she, ""what shall I do to keep Frederick from seeing all this slopping about?"""
Grimms,frederick_and_catherine,"So she thought a while; and at last remembered that there was a sack of fine meal bought at the last fair, and that if she sprinkled this over the floor it would suck up the ale nicely."
Grimms,frederick_and_catherine,"""What a lucky thing,"" said she, ""that we kept that meal! we have now a good use for it."""
Grimms,frederick_and_catherine,"So away she went for it: but she managed to set it down just upon the great jug full of beer, and upset it; and thus all the ale that had been saved was set swimming on the floor also."
Grimms,frederick_and_catherine,"""Ah! well,"" said she, ""when one goes another may as well follow."""
Grimms,frederick_and_catherine,"Then she strewed the meal all about the cellar, and was quite pleased with her cleverness, and said, ""How very neat and clean it looks!"""
Grimms,frederick_and_catherine,At noon Frederick came home.
Grimms,frederick_and_catherine,"""Now, wife,"" cried he, ""what have you for dinner?"""
