author,story,text
Potter,ginger_and_pickles,Once upon a time there was a village shop.
Potter,ginger_and_pickles,"The name over the window was ""Ginger and Pickles."""
Potter,ginger_and_pickles,It was a little small shop just the right size for Dolls-- Lucinda and Jane Doll-cook always bought their groceries at Ginger and Pickles.
Potter,ginger_and_pickles,The counter inside was a convenient height for rabbits.
Potter,ginger_and_pickles,Ginger and Pickles sold red spotty pocket handkerchiefs at a penny three farthings.
Potter,ginger_and_pickles,"They also sold sugar, and snuff and galoshes."
Potter,ginger_and_pickles,"In fact, although it was such a small shop it sold nearly everything--except a few things that you want in a hurry--like bootlaces, hair- pins and mutton chops."
Potter,ginger_and_pickles,Ginger and Pickles were the people who kept the shop.
Potter,ginger_and_pickles,"Ginger was a yellow tomcat, and Pickles was a terrier."
Potter,ginger_and_pickles,The rabbits were always a little bit afraid of Pickles.
Potter,ginger_and_pickles,The shop was also patronized by mice--only the mice were rather afraid of Ginger.
Potter,ginger_and_pickles,"Ginger usually requested Pickles to serve them, because he said it made his mouth water."
Potter,ginger_and_pickles,"""I cannot bear,"" said he, ""to see them going out at the door carrying their little parcels."""
Potter,ginger_and_pickles,"""I have the same feeling about rats,"" replied Pickles, ""but it would never do to eat our customers; they would leave us and go to Tabitha Twitchit's."""
Potter,ginger_and_pickles,"""On the contrary, they would go nowhere,"" replied Ginger gloomily."
Potter,ginger_and_pickles,(Tabitha Twitchit kept the only other shop in the village.
Potter,ginger_and_pickles,She did not give credit.)
Potter,ginger_and_pickles,"But there is no money in what is called the ""till."""
Potter,ginger_and_pickles,Ginger and Pickles gave unlimited credit.
Potter,ginger_and_pickles,"Now the meaning of ""credit"" is this--when a customer buys a bar of soap, instead of the customer pulling out a purse and paying for it --she says she will pay another time."
Potter,ginger_and_pickles,"And Pickles makes a low bow and says, ""With pleasure, madam,"" and it is written down in a book."
Potter,ginger_and_pickles,"The customers come again and again, and buy quantities, in spite of being afraid of Ginger and Pickles."
Potter,ginger_and_pickles,"The customers came in crowds every day and bought quantities, especially the toffee customers."
