author,story,text
Grimms,hans_in_luck,"Some men are born to good luck: all they do or try to do comes right-- all that falls to them is so much gain--all their geese are swans--all their cards are trumps--toss them which way you will, they will always, like poor puss, alight upon their legs, and only move on so much the faster."
Grimms,hans_in_luck,"The world may very likely not always think of them as they think of themselves, but what care they for the world? what can it know about the matter?"
Grimms,hans_in_luck,One of these lucky beings was neighbour Hans.
Grimms,hans_in_luck,Seven long years he had worked hard for his master.
Grimms,hans_in_luck,"At last he said, ""Master, my time is up; I must go home and see my poor mother once more: so pray pay me my wages and let me go."""
Grimms,hans_in_luck,"And the master said, ""You have been a faithful and good servant, Hans, so your pay shall be handsome."""
Grimms,hans_in_luck,Then he gave him a lump of silver as big as his head.
Grimms,hans_in_luck,"Hans took out his pocket-handkerchief, put the piece of silver into it, threw it over his shoulder, and jogged off on his road homewards."
Grimms,hans_in_luck,"As he went lazily on, dragging one foot after another, a man came in sight, trotting gaily along on a capital horse."
Grimms,hans_in_luck,"""Ah!"" said Hans aloud, ""what a fine thing it is to ride on horseback!"
Grimms,hans_in_luck,"There he sits as easy and happy as if he was at home, in the chair by his fireside; he trips against no stones, saves shoe-leather, and gets on he hardly knows how."""
Grimms,hans_in_luck,"Hans did not speak so softly but the horseman heard it all, and said, ""Well, friend, why do you go on foot then?"""
Grimms,hans_in_luck,"""Ah!"" said he, ""I have this load to carry: to be sure it is silver, but it is so heavy that I can""t hold up my head, and you must know it hurts my shoulder sadly."""
Grimms,hans_in_luck,"""What do you say of making an exchange?"" said the horseman."
Grimms,hans_in_luck,"""I will give you my horse, and you shall give me the silver; which will save you a great deal of trouble in carrying such a heavy load about with you."""
Grimms,hans_in_luck,"""With all my heart,"" said Hans: ""but as you are so kind to me, I must tell you one thing--you will have a weary task to draw that silver about with you."""
Grimms,hans_in_luck,"However, the horseman got off, took the silver, helped Hans up, gave him the bridle into one hand and the whip into the other, and said, ""When you want to go very fast, smack your lips loudly together, and cry ""Jip!"""""
Grimms,hans_in_luck,"Hans was delighted as he sat on the horse, drew himself up, squared his elbows, turned out his toes, cracked his whip, and rode merrily off, one minute whistling a merry tune, and another singing,"
Grimms,hans_in_luck,"""No care and no sorrow, A fig for the morrow!"
Grimms,hans_in_luck,"We""ll laugh and be merry, Sing neigh down derry!"""
Grimms,hans_in_luck,"After a time he thought he should like to go a little faster, so he smacked his lips and cried ""Jip!"""
Grimms,hans_in_luck,"Away went the horse full gallop; and before Hans knew what he was about, he was thrown off, and lay on his back by the road-side."
Grimms,hans_in_luck,"His horse would have ran off, if a shepherd who was coming by, driving a cow, had not stopped it."
Grimms,hans_in_luck,"Hans soon came to himself, and got upon his legs again, sadly vexed, and said to the shepherd, ""This riding is no joke, when a man has the luck to get upon a beast like this that stumbles and flings him off as if it would break his neck."
Grimms,hans_in_luck,"However, I""m off now once for all: I like your cow now a great deal better than this smart beast that played me this trick, and has spoiled my best coat, you see, in this puddle; which, by the by, smells not very like a nosegay."
Grimms,hans_in_luck,"One can walk along at one""s leisure behind that cow--keep good company, and have milk, butter, and cheese, every day, into the bargain."
Grimms,hans_in_luck,"What would I give to have such a prize!"""
Grimms,hans_in_luck,"""Well,"" said the shepherd, ""if you are so fond of her, I will change my cow for your horse; I like to do good to my neighbours, even though I lose by it myself."""
Grimms,hans_in_luck,"""Done!"" said Hans, merrily."
Grimms,hans_in_luck,"""What a noble heart that good man has!"" thought he."
Grimms,hans_in_luck,"Then the shepherd jumped upon the horse, wished Hans and the cow good morning, and away he rode."
Grimms,hans_in_luck,"Hans brushed his coat, wiped his face and hands, rested a while, and then drove off his cow quietly, and thought his bargain a very lucky one."
Grimms,hans_in_luck,"""If I have only a piece of bread (and I certainly shall always be able to get that), I can, whenever I like, eat my butter and cheese with it; and when I am thirsty I can milk my cow and drink the milk: and what can I wish for more?"""
Grimms,hans_in_luck,"When he came to an inn, he halted, ate up all his bread, and gave away his last penny for a glass of beer."
Grimms,hans_in_luck,"When he had rested himself he set off again, driving his cow towards his mother""s village."
Grimms,hans_in_luck,"But the heat grew greater as soon as noon came on, till at last, as he found himself on a wide heath that would take him more than an hour to cross, he began to be so hot and parched that his tongue clave to the roof of his mouth."
Grimms,hans_in_luck,"""I can find a cure for this,"" thought he; ""now I will milk my cow and quench my thirst"": so he tied her to the stump of a tree, and held his leathern cap to milk into; but not a drop was to be had."
Grimms,hans_in_luck,"Who would have thought that this cow, which was to bring him milk and butter and cheese, was all that time utterly dry?"
Grimms,hans_in_luck,Hans had not thought of looking to that.
Grimms,hans_in_luck,"While he was trying his luck in milking, and managing the matter very clumsily, the uneasy beast began to think him very troublesome; and at last gave him such a kick on the head as knocked him down; and there he lay a long while senseless."
Grimms,hans_in_luck,"Luckily a butcher soon came by, driving a pig in a wheelbarrow."
Grimms,hans_in_luck,"""What is the matter with you, my man?"" said the butcher, as he helped him up."
Grimms,hans_in_luck,"Hans told him what had happened, how he was dry, and wanted to milk his cow, but found the cow was dry too."
Grimms,hans_in_luck,"Then the butcher gave him a flask of ale, saying, ""There, drink and refresh yourself; your cow will give you no milk: don""t you see she is an old beast, good for nothing but the slaughter-house?"""
Grimms,hans_in_luck,"""Alas, alas!"" said Hans, ""who would have thought it?"
Grimms,hans_in_luck,"What a shame to take my horse, and give me only a dry cow!"
Grimms,hans_in_luck,"If I kill her, what will she be good for?"
Grimms,hans_in_luck,I hate cow-beef; it is not tender enough for me.
Grimms,hans_in_luck,"If it were a pig now --like that fat gentleman you are driving along at his ease--one could do something with it; it would at any rate make sausages."""
Grimms,hans_in_luck,"""Well,"" said the butcher, ""I don""t like to say no, when one is asked to do a kind, neighbourly thing."
Grimms,hans_in_luck,"To please you I will change, and give you my fine fat pig for the cow."""
Grimms,hans_in_luck,"""Heaven reward you for your kindness and self-denial!"" said Hans, as he gave the butcher the cow; and taking the pig off the wheel-barrow, drove it away, holding it by the string that was tied to its leg."
Grimms,hans_in_luck,"So on he jogged, and all seemed now to go right with him: he had met with some misfortunes, to be sure; but he was now well repaid for all."
Grimms,hans_in_luck,How could it be otherwise with such a travelling companion as he had at last got?
Grimms,hans_in_luck,The next man he met was a countryman carrying a fine white goose.
Grimms,hans_in_luck,"The countryman stopped to ask what was o""clock; this led to further chat; and Hans told him all his luck, how he had so many good bargains, and how all the world went gay and smiling with him."
Grimms,hans_in_luck,"The countryman than began to tell his tale, and said he was going to take the goose to a christening."
Grimms,hans_in_luck,"""Feel,"" said he, ""how heavy it is, and yet it is only eight weeks old."
Grimms,hans_in_luck,"Whoever roasts and eats it will find plenty of fat upon it, it has lived so well!"""
Grimms,hans_in_luck,"""You""re right,"" said Hans, as he weighed it in his hand; ""but if you talk of fat, my pig is no trifle."""
Grimms,hans_in_luck,"Meantime the countryman began to look grave, and shook his head."
Grimms,hans_in_luck,"""Hark ye!"" said he, ""my worthy friend, you seem a good sort of fellow, so I can""t help doing you a kind turn."
Grimms,hans_in_luck,Your pig may get you into a scrape.
Grimms,hans_in_luck,"In the village I just came from, the squire has had a pig stolen out of his sty."
Grimms,hans_in_luck,"I was dreadfully afraid when I saw you that you had got the squire""s pig."
Grimms,hans_in_luck,"If you have, and they catch you, it will be a bad job for you."
Grimms,hans_in_luck,The least they will do will be to throw you into the horse-pond.
Grimms,hans_in_luck,"Can you swim?"""
Grimms,hans_in_luck,Poor Hans was sadly frightened.
Grimms,hans_in_luck,"""Good man,"" cried he, ""pray get me out of this scrape."
Grimms,hans_in_luck,"I know nothing of where the pig was either bred or born; but he may have been the squire""s for aught I can tell: you know this country better than I do, take my pig and give me the goose."""
Grimms,hans_in_luck,"""I ought to have something into the bargain,"" said the countryman; ""give a fat goose for a pig, indeed!"
Grimms,hans_in_luck,"""Tis not everyone would do so much for you as that."
Grimms,hans_in_luck,"However, I will not be hard upon you, as you are in trouble."""
Grimms,hans_in_luck,"Then he took the string in his hand, and drove off the pig by a side path; while Hans went on the way homewards free from care."
Grimms,hans_in_luck,"""After all,"" thought he, ""that chap is pretty well taken in."
Grimms,hans_in_luck,"I don""t care whose pig it is, but wherever it came from it has been a very good friend to me."
Grimms,hans_in_luck,I have much the best of the bargain.
Grimms,hans_in_luck,First there will be a capital roast; then the fat will find me in goose-grease for six months; and then there are all the beautiful white feathers.
Grimms,hans_in_luck,"I will put them into my pillow, and then I am sure I shall sleep soundly without rocking."
Grimms,hans_in_luck,How happy my mother will be!
Grimms,hans_in_luck,"Talk of a pig, indeed!"
Grimms,hans_in_luck,"Give me a fine fat goose."""
Grimms,hans_in_luck,"As he came to the next village, he saw a scissor-grinder with his wheel, working and singing,"
Grimms,hans_in_luck,"""O""er hill and o""er dale So happy I roam, Work light and live well, All the world is my home; Then who so blythe, so merry as I?"""
Grimms,hans_in_luck,"Hans stood looking on for a while, and at last said, ""You must be well off, master grinder! you seem so happy at your work."""
Grimms,hans_in_luck,"""Yes,"" said the other, ""mine is a golden trade; a good grinder never puts his hand into his pocket without finding money in it--but where did you get that beautiful goose?"""
Grimms,hans_in_luck,"""I did not buy it, I gave a pig for it."""
Grimms,hans_in_luck,"""And where did you get the pig?"""
Grimms,hans_in_luck,"""I gave a cow for it."""
Grimms,hans_in_luck,"""And the cow?"""
Grimms,hans_in_luck,"""I gave a horse for it."""
Grimms,hans_in_luck,"""And the horse?"""
Grimms,hans_in_luck,"""I gave a lump of silver as big as my head for it."""
Grimms,hans_in_luck,"""And the silver?"""
Grimms,hans_in_luck,"""Oh!"
Grimms,hans_in_luck,"I worked hard for that seven long years."""
Grimms,hans_in_luck,"""You have thriven well in the world hitherto,"" said the grinder, ""now if you could find money in your pocket whenever you put your hand in it, your fortune would be made."""
Grimms,hans_in_luck,"""Very true: but how is that to be managed?"""
Grimms,hans_in_luck,"""How?"
Grimms,hans_in_luck,"Why, you must turn grinder like myself,"" said the other; ""you only want a grindstone; the rest will come of itself."
Grimms,hans_in_luck,"Here is one that is but little the worse for wear: I would not ask more than the value of your goose for it--will you buy?"""
Grimms,hans_in_luck,"""How can you ask?"" said Hans; ""I should be the happiest man in the world, if I could have money whenever I put my hand in my pocket: what could I want more? there""s the goose."""
Grimms,hans_in_luck,"""Now,"" said the grinder, as he gave him a common rough stone that lay by his side, ""this is a most capital stone; do but work it well enough, and you can make an old nail cut with it."""
Grimms,hans_in_luck,"Hans took the stone, and went his way with a light heart: his eyes sparkled for joy, and he said to himself, ""Surely I must have been born in a lucky hour; everything I could want or wish for comes of itself."
Grimms,hans_in_luck,"People are so kind; they seem really to think I do them a favour in letting them make me rich, and giving me good bargains."""
Grimms,hans_in_luck,"Meantime he began to be tired, and hungry too, for he had given away his last penny in his joy at getting the cow."
