author,story,text
Grimms,hansel_and_gretel,Hard by a great forest dwelt a poor wood-cutter with his wife and his two children.
Grimms,hansel_and_gretel,The boy was called Hansel and the girl Gretel.
Grimms,hansel_and_gretel,"He had little to bite and to break, and once when great dearth fell on the land, he could no longer procure even daily bread."
Grimms,hansel_and_gretel,"Now when he thought over this by night in his bed, and tossed about in his anxiety, he groaned and said to his wife: ""What is to become of us?"
Grimms,hansel_and_gretel,"How are we to feed our poor children, when we no longer have anything even for ourselves?"""
Grimms,hansel_and_gretel,"""I""ll tell you what, husband,"" answered the woman, ""early tomorrow morning we will take the children out into the forest to where it is the thickest; there we will light a fire for them, and give each of them one more piece of bread, and then we will go to our work and leave them alone."
Grimms,hansel_and_gretel,"They will not find the way home again, and we shall be rid of them."""
Grimms,hansel_and_gretel,"""No, wife,"" said the man, ""I will not do that; how can I bear to leave my children alone in the forest?--the wild animals would soon come and tear them to pieces."""
Grimms,hansel_and_gretel,"""O, you fool!"" said she, ""then we must all four die of hunger, you may as well plane the planks for our coffins,"" and she left him no peace until he consented."
Grimms,hansel_and_gretel,"""But I feel very sorry for the poor children, all the same,"" said the man."
Grimms,hansel_and_gretel,"The two children had also not been able to sleep for hunger, and had heard what their stepmother had said to their father."
Grimms,hansel_and_gretel,"Gretel wept bitter tears, and said to Hansel: ""Now all is over with us."""
Grimms,hansel_and_gretel,"""Be quiet, Gretel,"" said Hansel, ""do not distress yourself, I will soon find a way to help us."""
Grimms,hansel_and_gretel,"And when the old folks had fallen asleep, he got up, put on his little coat, opened the door below, and crept outside."
Grimms,hansel_and_gretel,"The moon shone brightly, and the white pebbles which lay in front of the house glittered like real silver pennies."
Grimms,hansel_and_gretel,Hansel stooped and stuffed the little pocket of his coat with as many as he could get in.
Grimms,hansel_and_gretel,"Then he went back and said to Gretel: ""Be comforted, dear little sister, and sleep in peace, God will not forsake us,"" and he lay down again in his bed."
Grimms,hansel_and_gretel,"When day dawned, but before the sun had risen, the woman came and awoke the two children, saying: ""Get up, you sluggards! we are going into the forest to fetch wood."""
Grimms,hansel_and_gretel,"She gave each a little piece of bread, and said: ""There is something for your dinner, but do not eat it up before then, for you will get nothing else."""
Grimms,hansel_and_gretel,"Gretel took the bread under her apron, as Hansel had the pebbles in his pocket."
Grimms,hansel_and_gretel,Then they all set out together on the way to the forest.
Grimms,hansel_and_gretel,"When they had walked a short time, Hansel stood still and peeped back at the house, and did so again and again."
Grimms,hansel_and_gretel,"His father said: ""Hansel, what are you looking at there and staying behind for?"
Grimms,hansel_and_gretel,"Pay attention, and do not forget how to use your legs."""
Grimms,hansel_and_gretel,"""Ah, father,"" said Hansel, ""I am looking at my little white cat, which is sitting up on the roof, and wants to say goodbye to me."""
Grimms,hansel_and_gretel,"The wife said: ""Fool, that is not your little cat, that is the morning sun which is shining on the chimneys."""
Grimms,hansel_and_gretel,"Hansel, however, had not been looking back at the cat, but had been constantly throwing one of the white pebble-stones out of his pocket on the road."
Grimms,hansel_and_gretel,"When they had reached the middle of the forest, the father said: ""Now, children, pile up some wood, and I will light a fire that you may not be cold."""
Grimms,hansel_and_gretel,"Hansel and Gretel gathered brushwood together, as high as a little hill."
Grimms,hansel_and_gretel,"The brushwood was lighted, and when the flames were burning very high, the woman said: ""Now, children, lay yourselves down by the fire and rest, we will go into the forest and cut some wood."
Grimms,hansel_and_gretel,"When we have done, we will come back and fetch you away."""
Grimms,hansel_and_gretel,"Hansel and Gretel sat by the fire, and when noon came, each ate a little piece of bread, and as they heard the strokes of the wood-axe they believed that their father was near."
Grimms,hansel_and_gretel,"It was not the axe, however, but a branch which he had fastened to a withered tree which the wind was blowing backwards and forwards."
Grimms,hansel_and_gretel,"And as they had been sitting such a long time, their eyes closed with fatigue, and they fell fast asleep."
Grimms,hansel_and_gretel,"When at last they awoke, it was already dark night."
Grimms,hansel_and_gretel,"Gretel began to cry and said: ""How are we to get out of the forest now?"""
Grimms,hansel_and_gretel,"But Hansel comforted her and said: ""Just wait a little, until the moon has risen, and then we will soon find the way."""
Grimms,hansel_and_gretel,"And when the full moon had risen, Hansel took his little sister by the hand, and followed the pebbles which shone like newly-coined silver pieces, and showed them the way."
Grimms,hansel_and_gretel,"They walked the whole night long, and by break of day came once more to their father""s house."
Grimms,hansel_and_gretel,"They knocked at the door, and when the woman opened it and saw that it was Hansel and Gretel, she said: ""You naughty children, why have you slept so long in the forest?--we thought you were never coming back at all!"""
Grimms,hansel_and_gretel,"The father, however, rejoiced, for it had cut him to the heart to leave them behind alone."
Grimms,hansel_and_gretel,"Not long afterwards, there was once more great dearth throughout the land, and the children heard their mother saying at night to their father: ""Everything is eaten again, we have one half loaf left, and that is the end."
Grimms,hansel_and_gretel,"The children must go, we will take them farther into the wood, so that they will not find their way out again; there is no other means of saving ourselves!"""
Grimms,hansel_and_gretel,"The man""s heart was heavy, and he thought: ""It would be better for you to share the last mouthful with your children."""
Grimms,hansel_and_gretel,"The woman, however, would listen to nothing that he had to say, but scolded and reproached him."
Grimms,hansel_and_gretel,"He who says A must say B, likewise, and as he had yielded the first time, he had to do so a second time also."
Grimms,hansel_and_gretel,"The children, however, were still awake and had heard the conversation."
Grimms,hansel_and_gretel,"When the old folks were asleep, Hansel again got up, and wanted to go out and pick up pebbles as he had done before, but the woman had locked the door, and Hansel could not get out."
Grimms,hansel_and_gretel,"Nevertheless he comforted his little sister, and said: ""Do not cry, Gretel, go to sleep quietly, the good God will help us."""
Grimms,hansel_and_gretel,"Early in the morning came the woman, and took the children out of their beds."
Grimms,hansel_and_gretel,"Their piece of bread was given to them, but it was still smaller than the time before."
Grimms,hansel_and_gretel,"On the way into the forest Hansel crumbled his in his pocket, and often stood still and threw a morsel on the ground."
Grimms,hansel_and_gretel,"""Hansel, why do you stop and look round?"" said the father, ""go on."""
Grimms,hansel_and_gretel,"""I am looking back at my little pigeon which is sitting on the roof, and wants to say goodbye to me,"" answered Hansel."
Grimms,hansel_and_gretel,"""Fool!"" said the woman, ""that is not your little pigeon, that is the morning sun that is shining on the chimney."""
Grimms,hansel_and_gretel,"Hansel, however little by little, threw all the crumbs on the path."
Grimms,hansel_and_gretel,"The woman led the children still deeper into the forest, where they had never in their lives been before."
Grimms,hansel_and_gretel,"Then a great fire was again made, and the mother said: ""Just sit there, you children, and when you are tired you may sleep a little; we are going into the forest to cut wood, and in the evening when we are done, we will come and fetch you away."""
Grimms,hansel_and_gretel,"When it was noon, Gretel shared her piece of bread with Hansel, who had scattered his by the way."
Grimms,hansel_and_gretel,"Then they fell asleep and evening passed, but no one came to the poor children."
Grimms,hansel_and_gretel,"They did not awake until it was dark night, and Hansel comforted his little sister and said: ""Just wait, Gretel, until the moon rises, and then we shall see the crumbs of bread which I have strewn about, they will show us our way home again."""
Grimms,hansel_and_gretel,"When the moon came they set out, but they found no crumbs, for the many thousands of birds which fly about in the woods and fields had picked them all up."
Grimms,hansel_and_gretel,"Hansel said to Gretel: ""We shall soon find the way,"" but they did not find it."
Grimms,hansel_and_gretel,"They walked the whole night and all the next day too from morning till evening, but they did not get out of the forest, and were very hungry, for they had nothing to eat but two or three berries, which grew on the ground."
Grimms,hansel_and_gretel,"And as they were so weary that their legs would carry them no longer, they lay down beneath a tree and fell asleep."
Grimms,hansel_and_gretel,"It was now three mornings since they had left their father""s house."
Grimms,hansel_and_gretel,"They began to walk again, but they always came deeper into the forest, and if help did not come soon, they must die of hunger and weariness."
Grimms,hansel_and_gretel,"When it was mid-day, they saw a beautiful snow-white bird sitting on a bough, which sang so delightfully that they stood still and listened to it."
Grimms,hansel_and_gretel,"And when its song was over, it spread its wings and flew away before them, and they followed it until they reached a little house, on the roof of which it alighted; and when they approached the little house they saw that it was built of bread and covered with cakes, but that the windows were of clear sugar."
Grimms,hansel_and_gretel,"""We will set to work on that,"" said Hansel, ""and have a good meal."
Grimms,hansel_and_gretel,"I will eat a bit of the roof, and you Gretel, can eat some of the window, it will taste sweet."""
Grimms,hansel_and_gretel,"Hansel reached up above, and broke off a little of the roof to try how it tasted, and Gretel leant against the window and nibbled at the panes."
Grimms,hansel_and_gretel,Then a soft voice cried from the parlour:
Grimms,hansel_and_gretel,"""Nibble, nibble, gnaw, Who is nibbling at my little house?"""
Grimms,hansel_and_gretel,The children answered:
Grimms,hansel_and_gretel,"""The wind, the wind, The heaven-born wind,"""
Grimms,hansel_and_gretel,and went on eating without disturbing themselves.
Grimms,hansel_and_gretel,"Hansel, who liked the taste of the roof, tore down a great piece of it, and Gretel pushed out the whole of one round window-pane, sat down, and enjoyed herself with it."
Grimms,hansel_and_gretel,"Suddenly the door opened, and a woman as old as the hills, who supported herself on crutches, came creeping out."
Grimms,hansel_and_gretel,Hansel and Gretel were so terribly frightened that they let fall what they had in their hands.
Grimms,hansel_and_gretel,"The old woman, however, nodded her head, and said: ""Oh, you dear children, who has brought you here? do come in, and stay with me."
Grimms,hansel_and_gretel,"No harm shall happen to you."""
Grimms,hansel_and_gretel,"She took them both by the hand, and led them into her little house."
Grimms,hansel_and_gretel,"Then good food was set before them, milk and pancakes, with sugar, apples, and nuts."
Grimms,hansel_and_gretel,"Afterwards two pretty little beds were covered with clean white linen, and Hansel and Gretel lay down in them, and thought they were in heaven."
Grimms,hansel_and_gretel,"The old woman had only pretended to be so kind; she was in reality a wicked witch, who lay in wait for children, and had only built the little house of bread in order to entice them there."
Grimms,hansel_and_gretel,"When a child fell into her power, she killed it, cooked and ate it, and that was a feast day with her."
Grimms,hansel_and_gretel,"Witches have red eyes, and cannot see far, but they have a keen scent like the beasts, and are aware when human beings draw near."
Grimms,hansel_and_gretel,"When Hansel and Gretel came into her neighbourhood, she laughed with malice, and said mockingly: ""I have them, they shall not escape me again!"""
Grimms,hansel_and_gretel,"Early in the morning before the children were awake, she was already up, and when she saw both of them sleeping and looking so pretty, with their plump and rosy cheeks she muttered to herself: ""That will be a dainty mouthful!"""
Grimms,hansel_and_gretel,"Then she seized Hansel with her shrivelled hand, carried him into a little stable, and locked him in behind a grated door."
Grimms,hansel_and_gretel,"Scream as he might, it would not help him."
Grimms,hansel_and_gretel,"Then she went to Gretel, shook her till she awoke, and cried: ""Get up, lazy thing, fetch some water, and cook something good for your brother, he is in the stable outside, and is to be made fat."
Grimms,hansel_and_gretel,"When he is fat, I will eat him."""
Grimms,hansel_and_gretel,"Gretel began to weep bitterly, but it was all in vain, for she was forced to do what the wicked witch commanded."
Grimms,hansel_and_gretel,"And now the best food was cooked for poor Hansel, but Gretel got nothing but crab-shells."
Grimms,hansel_and_gretel,"Every morning the woman crept to the little stable, and cried: ""Hansel, stretch out your finger that I may feel if you will soon be fat."""
Grimms,hansel_and_gretel,"Hansel, however, stretched out a little bone to her, and the old woman, who had dim eyes, could not see it, and thought it was Hansel""s finger, and was astonished that there was no way of fattening him."
Grimms,hansel_and_gretel,"When four weeks had gone by, and Hansel still remained thin, she was seized with impatience and would not wait any longer."
Grimms,hansel_and_gretel,"""Now, then, Gretel,"" she cried to the girl, ""stir yourself, and bring some water."
Grimms,hansel_and_gretel,"Let Hansel be fat or lean, tomorrow I will kill him, and cook him."""
Grimms,hansel_and_gretel,"Ah, how the poor little sister did lament when she had to fetch the water, and how her tears did flow down her cheeks!"
Grimms,hansel_and_gretel,"""Dear God, do help us,"" she cried."
Grimms,hansel_and_gretel,"""If the wild beasts in the forest had but devoured us, we should at any rate have died together."""
Grimms,hansel_and_gretel,"""Just keep your noise to yourself,"" said the old woman, ""it won""t help you at all."""
Grimms,hansel_and_gretel,"Early in the morning, Gretel had to go out and hang up the cauldron with the water, and light the fire."
Grimms,hansel_and_gretel,"""We will bake first,"" said the old woman, ""I have already heated the oven, and kneaded the dough."""
Grimms,hansel_and_gretel,"She pushed poor Gretel out to the oven, from which flames of fire were already darting."
Grimms,hansel_and_gretel,"""Creep in,"" said the witch, ""and see if it is properly heated, so that we can put the bread in."""
Grimms,hansel_and_gretel,"And once Gretel was inside, she intended to shut the oven and let her bake in it, and then she would eat her, too."
Grimms,hansel_and_gretel,"But Gretel saw what she had in mind, and said: ""I do not know how I am to do it; how do I get in?"""
Grimms,hansel_and_gretel,"""Silly goose,"" said the old woman."
Grimms,hansel_and_gretel,"""The door is big enough; just look, I can get in myself!"" and she crept up and thrust her head into the oven."
