author,story,text
HCAndersen,happy_fa,THE largest green leaf in this country is certainly the burdock-leaf.
HCAndersen,happy_fa,"If you hold it in front of you, it is large enough for an apron; and if you hold it over your head, it is almost as good as an umbrella, it is so wonderfully large."
HCAndersen,happy_fa,"A burdock never grows alone; where it grows, there are many more, and it is a splendid sight; and all this splendor is good for snails."
HCAndersen,happy_fa,"The great white snails, which grand people in olden times used to have made into fricassees; and when they had eaten them, they would say, ""O, what a delicious dish!"" for these people really thought them good; and these snails lived on burdock-leaves, and for them the burdock was planted."
HCAndersen,happy_fa,"There was once an old estate where no one now lived to require snails; indeed, the owners had all died out, but the burdock still flourished; it grew over all the beds and walks of the garden- its growth had no check- till it became at last quite a forest of burdocks."
HCAndersen,happy_fa,"Here and there stood an apple or a plum-tree; but for this, nobody would have thought the place had ever been a garden."
HCAndersen,happy_fa,It was burdock from one end to the other; and here lived the last two surviving snails.
HCAndersen,happy_fa,"They knew not themselves how old they were; but they could remember the time when there were a great many more of them, and that they were descended from a family which came from foreign lands, and that the whole forest had been planted for them and theirs."
HCAndersen,happy_fa,"They had never been away from the garden; but they knew that another place once existed in the world, called the Duke's Palace Castle, in which some of their relations had been boiled till they became black, and were then laid on a silver dish; but what was done afterwards they did not know."
HCAndersen,happy_fa,"Besides, they could not imagine exactly how it felt to be boiled and placed on a silver dish; but no doubt it was something very fine and highly genteel."
HCAndersen,happy_fa,"Neither the cockchafer, nor the toad, nor the earth-worm, whom they questioned about it, would give them the least information; for none of their relations had ever been cooked or served on a silver dish."
HCAndersen,happy_fa,"The old white snails were the most aristocratic race in the world,- they knew that."
HCAndersen,happy_fa,"The forest had been planted for them, and the nobleman's castle had been built entirely that they might be cooked and laid on silver dishes."
HCAndersen,happy_fa,"They lived quite retired and very happily; and as they had no children of their own, they had adopted a little common snail, which they brought up as their own child."
HCAndersen,happy_fa,"The little one would not grow, for he was only a common snail; but the old people, particularly the mother-snail, declared that she could easily see how he grew; and when the father said he could not perceive it, she begged him to feel the little snail's shell, and he did so, and found that the mother was right."
HCAndersen,happy_fa,One day it rained very fast.
HCAndersen,happy_fa,"""Listen, what a drumming there is on the burdock-leaves; turn, turn, turn; turn, turn, turn,"" said the father-snail."
HCAndersen,happy_fa,"""There come the drops,"" said the mother; ""they are trickling down the stalks."
HCAndersen,happy_fa,We shall have it very wet here presently.
HCAndersen,happy_fa,"I am very glad we have such good houses, and that the little one has one of his own."
HCAndersen,happy_fa,There has been really more done for us than for any other creature; it is quite plain that we are the most noble people in the world.
HCAndersen,happy_fa,"We have houses from our birth, and the burdock forest has been planted for us."
HCAndersen,happy_fa,"I should very much like to know how far it extends, and what lies beyond it."""
HCAndersen,happy_fa,"""There can be nothing better than we have here,"" said the father-snail; ""I wish for nothing more."""
HCAndersen,happy_fa,"""Yes, but I do,"" said the mother; ""I should like to be taken to the palace, and boiled, and laid upon a silver dish, as was done to all our ancestors; and you may be sure it must be something very uncommon."""
HCAndersen,happy_fa,"""The nobleman's castle, perhaps, has fallen to decay,"" said the snail-father, or the burdock wood may have grown out."
HCAndersen,happy_fa,"You need not be in a hurry; you are always so impatient, and the youngster is getting just the same."
HCAndersen,happy_fa,He has been three days creeping to the top of that stalk.
HCAndersen,happy_fa,"I feel quite giddy when I look at him."""
HCAndersen,happy_fa,"""You must not scold him,"" said the mother-snail; ""he creeps so very carefully."
HCAndersen,happy_fa,He will be the joy of our home; and we old folks have nothing else to live for.
HCAndersen,happy_fa,But have you ever thought where we are to get a wife for him?
HCAndersen,happy_fa,"Do you think that farther out in the wood there may be others of our race?"""
HCAndersen,happy_fa,"""There may be black snails, no doubt,"" said the old snail; ""black snails without houses; but they are so vulgar and conceited too."
HCAndersen,happy_fa,"But we can give the ants a commission; they run here and there, as if they all had so much business to get through."
HCAndersen,happy_fa,"They, most likely, will know of a wife for our youngster."""
HCAndersen,happy_fa,"""I certainly know a most beautiful bride,"" said one of the ants; ""but I fear it would not do, for she is a queen."""
HCAndersen,happy_fa,"""That does not matter,"" said the old snail; ""has she a house?"""
HCAndersen,happy_fa,"""She has a palace,"" replied the ant,- ""a most beautiful ant-palace with seven hundred passages."""
HCAndersen,happy_fa,"""Thank-you,"" said the mother-snail; ""but our boy shall not go to live in an ant-hill."
HCAndersen,happy_fa,"If you know of nothing better, we will give the commission to the white gnats; they fly about in rain and sunshine; they know the burdock wood from one end to the other."""
