author,story,text
Potter,he_tale_of_squirrel_nutkinMANCORR,"This is a Tale about a tail--a tail that belonged to a little red squirrel, and his name was Nutkin."
Potter,he_tale_of_squirrel_nutkinMANCORR,"He had a brother called Twinkleberry, and a great many cousins: they lived in a wood at the edge of a lake."
Potter,he_tale_of_squirrel_nutkinMANCORR,"In the middle of the lake there is an island covered with trees and nut bushes; and amongst those trees stands a hollow oak-tree, which is the house of an owl who is called Old Brown."
Potter,he_tale_of_squirrel_nutkinMANCORR,"One autumn when the nuts were ripe, and the leaves on the hazel bushes were golden and green-- Nutkin and Twinkleberry and all the other little squirrels came out of the wood, and down to the edge of the lake."
Potter,he_tale_of_squirrel_nutkinMANCORR,"They made little rafts out of twigs, and they paddled away over the water to Owl Island to gather nuts."
Potter,he_tale_of_squirrel_nutkinMANCORR,"Each squirrel had a little sack and a large oar, and spread out his tail for a sail."
Potter,he_tale_of_squirrel_nutkinMANCORR,"They also took with them an offering of three fat mice as a present for Old Brown, and put them down upon his door-step."
Potter,he_tale_of_squirrel_nutkinMANCORR,"Then Twinkleberry and the other little squirrels each made a low bow, and said politely--"
Potter,he_tale_of_squirrel_nutkinMANCORR,"""Old Mr. Brown, will you favour us with permission to gather nuts upon your island?"""
Potter,he_tale_of_squirrel_nutkinMANCORR,But Nutkin was excessively impertinent in his manners.
Potter,he_tale_of_squirrel_nutkinMANCORR,"He bobbed up and down like a little red CHERRY, singing--"
Potter,he_tale_of_squirrel_nutkinMANCORR,"""Riddle me, riddle me, rot-tot-tote!"
Potter,he_tale_of_squirrel_nutkinMANCORR,"A little wee man, in a red red coat!"
Potter,he_tale_of_squirrel_nutkinMANCORR,"A staff in his hand, and a stone in his throat; If you'll tell me this riddle, I'll give you a groat."""
Potter,he_tale_of_squirrel_nutkinMANCORR,Now this riddle is as old as the hills; Mr. Brown paid no attention whatever to Nutkin.
Potter,he_tale_of_squirrel_nutkinMANCORR,He shut his eyes obstinately and went to sleep.
Potter,he_tale_of_squirrel_nutkinMANCORR,"The squirrels filled their little sacks with nuts, and sailed away home in the evening."
Potter,he_tale_of_squirrel_nutkinMANCORR,"But next morning they all came back again to Owl Island; and Twinkleberry and the others brought a fine fat mole, and laid it on the stone in front of Old Brown's doorway, and said--"
Potter,he_tale_of_squirrel_nutkinMANCORR,"""Mr. Brown, will you favour us with your gracious permission to gather some more nuts?"""
Potter,he_tale_of_squirrel_nutkinMANCORR,"But Nutkin, who had no respect, began to dance up and down, tickling old Mr. Brown with a NETTLE and singing--"
Potter,he_tale_of_squirrel_nutkinMANCORR,"""Old Mr. B!"
Potter,he_tale_of_squirrel_nutkinMANCORR,Riddle-me-ree!
Potter,he_tale_of_squirrel_nutkinMANCORR,"Hitty Pitty within the wall, Hitty Pitty without the wall; If you touch Hitty Pitty, Hitty Pitty will bite you!"""
Potter,he_tale_of_squirrel_nutkinMANCORR,Mr. Brown woke up suddenly and carried the mole into his house.
Potter,he_tale_of_squirrel_nutkinMANCORR,He shut the door in Nutkin's face.
Potter,he_tale_of_squirrel_nutkinMANCORR,"Presently a little thread of blue SMOKE from a wood fire came up from the top of the tree, and Nutkin peeped through the key-hole and sang--"
Potter,he_tale_of_squirrel_nutkinMANCORR,"""A house full, a hole full!"
Potter,he_tale_of_squirrel_nutkinMANCORR,"And you cannot gather a bowl-full!"""
Potter,he_tale_of_squirrel_nutkinMANCORR,The squirrels searched for nuts all over the island and filled their little sacks.
Potter,he_tale_of_squirrel_nutkinMANCORR,"But Nutkin gathered oak-apples-- yellow and scarlet--and sat upon a beech-stump playing marbles, and watching the door of old Mr. Brown."
Potter,he_tale_of_squirrel_nutkinMANCORR,On the third day the squirrels got up very early and went fishing; they caught seven fat minnows as a present for Old Brown.
Potter,he_tale_of_squirrel_nutkinMANCORR,They paddled over the lake and landed under a crooked chestnut tree on Owl Island.
