author,story,text
HCAndersen,holger_d,"IN Denmark there stands an old castle named Kronenburg, close by the Sound of Elsinore, where large ships, both English, Russian, and Prussian, pass by hundreds every day."
HCAndersen,holger_d,"And they salute the old castle with cannons, ""Boom, boom,"" which is as if they said, ""Good-day."""
HCAndersen,holger_d,"And the cannons of the old castle answer ""Boom,"" which means ""Many thanks."""
HCAndersen,holger_d,"In winter no ships sail by, for the whole Sound is covered with ice as far as the Swedish coast, and has quite the appearance of a high-road."
HCAndersen,holger_d,"The Danish and the Swedish flags wave, and Danes and Swedes say, ""Good-day,"" and ""Thank you"" to each other, not with cannons, but with a friendly shake of the hand; and they exchange white bread and biscuits with each other, because foreign articles taste the best."
HCAndersen,holger_d,"But the most beautiful sight of all is the old castle of Kronenburg, where Holger Danske sits in the deep, dark cellar, into which no one goes."
HCAndersen,holger_d,"He is clad in iron and steel, and rests his head on his strong arm; his long beard hangs down upon the marble table, into which it has become firmly rooted; he sleeps and dreams, but in his dreams he sees everything that happens in Denmark."
HCAndersen,holger_d,"On each Christmas-eve an angel comes to him and tells him that all he has dreamed is true, and that he may go to sleep again in peace, as Denmark is not yet in any real danger; but should danger ever come, then Holger Danske will rouse himself, and the table will burst asunder as he draws out his beard."
HCAndersen,holger_d,"Then he will come forth in his strength, and strike a blow that shall sound in all the countries of the world."
HCAndersen,holger_d,"An old grandfather sat and told his little grandson all this about Holger Danske, and the boy knew that what his grandfather told him must be true."
HCAndersen,holger_d,"As the old man related this story, he was carving an image in wood to represent Holger Danske, to be fastened to the prow of a ship; for the old grandfather was a carver in wood, that is, one who carved figures for the heads of ships, according to the names given to them."
HCAndersen,holger_d,"And now he had carved Holger Danske, who stood there erect and proud, with his long beard, holding in one hand his broad battle-axe, while with the other he leaned on the Danish arms."
