author,story,text
Grimms,jorinda_and_jorindel,"There was once an old castle, that stood in the middle of a deep gloomy wood, and in the castle lived an old fairy."
Grimms,jorinda_and_jorindel,Now this fairy could take any shape she pleased.
Grimms,jorinda_and_jorindel,"All the day long she flew about in the form of an owl, or crept about the country like a cat; but at night she always became an old woman again."
Grimms,jorinda_and_jorindel,"When any young man came within a hundred paces of her castle, he became quite fixed, and could not move a step till she came and set him free; which she would not do till he had given her his word never to come there again: but when any pretty maiden came within that space she was changed into a bird, and the fairy put her into a cage, and hung her up in a chamber in the castle."
Grimms,jorinda_and_jorindel,"There were seven hundred of these cages hanging in the castle, and all with beautiful birds in them."
Grimms,jorinda_and_jorindel,Now there was once a maiden whose name was Jorinda.
Grimms,jorinda_and_jorindel,"She was prettier than all the pretty girls that ever were seen before, and a shepherd lad, whose name was Jorindel, was very fond of her, and they were soon to be married."
Grimms,jorinda_and_jorindel,"One day they went to walk in the wood, that they might be alone; and Jorindel said, ""We must take care that we don""t go too near to the fairy""s castle."""
Grimms,jorinda_and_jorindel,"It was a beautiful evening; the last rays of the setting sun shone bright through the long stems of the trees upon the green underwood beneath, and the turtle-doves sang from the tall birches."
Grimms,jorinda_and_jorindel,"Jorinda sat down to gaze upon the sun; Jorindel sat by her side; and both felt sad, they knew not why; but it seemed as if they were to be parted from one another for ever."
Grimms,jorinda_and_jorindel,"They had wandered a long way; and when they looked to see which way they should go home, they found themselves at a loss to know what path to take."
Grimms,jorinda_and_jorindel,"The sun was setting fast, and already half of its circle had sunk behind the hill: Jorindel on a sudden looked behind him, and saw through the bushes that they had, without knowing it, sat down close under the old walls of the castle."
Grimms,jorinda_and_jorindel,"Then he shrank for fear, turned pale, and trembled."
Grimms,jorinda_and_jorindel,"Jorinda was just singing,"
Grimms,jorinda_and_jorindel,"""The ring-dove sang from the willow spray, Well-a-day!"
Grimms,jorinda_and_jorindel,Well-a-day!
Grimms,jorinda_and_jorindel,"He mourn""d for the fate of his darling mate, Well-a-day!"""
Grimms,jorinda_and_jorindel,when her song stopped suddenly.
Grimms,jorinda_and_jorindel,"Jorindel turned to see the reason, and beheld his Jorinda changed into a nightingale, so that her song ended with a mournful /jug, jug/."
Grimms,jorinda_and_jorindel,"An owl with fiery eyes flew three times round them, and three times screamed:"
Grimms,jorinda_and_jorindel,"""Tu whu!"
Grimms,jorinda_and_jorindel,Tu whu!
Grimms,jorinda_and_jorindel,"Tu whu!"""
Grimms,jorinda_and_jorindel,"Jorindel could not move; he stood fixed as a stone, and could neither weep, nor speak, nor stir hand or foot."
Grimms,jorinda_and_jorindel,"And now the sun went quite down; the gloomy night came; the owl flew into a bush; and a moment after the old fairy came forth pale and meagre, with staring eyes, and a nose and chin that almost met one another."
Grimms,jorinda_and_jorindel,"She mumbled something to herself, seized the nightingale, and went away with it in her hand."
Grimms,jorinda_and_jorindel,Poor Jorindel saw the nightingale was gone-- but what could he do?
Grimms,jorinda_and_jorindel,"He could not speak, he could not move from the spot where he stood."
Grimms,jorinda_and_jorindel,At last the fairy came back and sang with a hoarse voice:
Grimms,jorinda_and_jorindel,"""Till the prisoner is fast, And her doom is cast, There stay!"
Grimms,jorinda_and_jorindel,"Oh, stay!"
Grimms,jorinda_and_jorindel,"When the charm is around her, And the spell has bound her, Hie away! away!"""
Grimms,jorinda_and_jorindel,On a sudden Jorindel found himself free.
Grimms,jorinda_and_jorindel,"Then he fell on his knees before the fairy, and prayed her to give him back his dear Jorinda: but she laughed at him, and said he should never see her again; then she went her way."
Grimms,jorinda_and_jorindel,"He prayed, he wept, he sorrowed, but all in vain."
Grimms,jorinda_and_jorindel,"""Alas!"" he said, ""what will become of me?"""
Grimms,jorinda_and_jorindel,"He could not go back to his own home, so he went to a strange village, and employed himself in keeping sheep."
Grimms,jorinda_and_jorindel,"Many a time did he walk round and round as near to the hated castle as he dared go, but all in vain; he heard or saw nothing of Jorinda."
Grimms,jorinda_and_jorindel,"At last he dreamt one night that he found a beautiful purple flower, and that in the middle of it lay a costly pearl; and he dreamt that he plucked the flower, and went with it in his hand into the castle, and that everything he touched with it was disenchanted, and that there he found his Jorinda again."
