author,story,text
Grimms,king_grisly-beard,"A great king of a land far away in the East had a daughter who was very beautiful, but so proud, and haughty, and conceited, that none of the princes who came to ask her in marriage was good enough for her, and she only made sport of them."
Grimms,king_grisly-beard,"Once upon a time the king held a great feast, and asked thither all her suitors; and they all sat in a row, ranged according to their rank --kings, and princes, and dukes, and earls, and counts, and barons, and knights."
Grimms,king_grisly-beard,"Then the princess came in, and as she passed by them she had something spiteful to say to every one."
Grimms,king_grisly-beard,"The first was too fat: ""He""s as round as a tub,"" said she."
Grimms,king_grisly-beard,"The next was too tall: ""What a maypole!"" said she."
Grimms,king_grisly-beard,"The next was too short: ""What a dumpling!"" said she."
Grimms,king_grisly-beard,"The fourth was too pale, and she called him ""Wallface."""
Grimms,king_grisly-beard,"The fifth was too red, so she called him ""Coxcomb."""
Grimms,king_grisly-beard,"The sixth was not straight enough; so she said he was like a green stick, that had been laid to dry over a baker""s oven."
Grimms,king_grisly-beard,And thus she had some joke to crack upon every one: but she laughed more than all at a good king who was there.
Grimms,king_grisly-beard,"""Look at him,"" said she; ""his beard is like an old mop; he shall be called Grisly-beard."""
Grimms,king_grisly-beard,So the king got the nickname of Grisly-beard.
Grimms,king_grisly-beard,"But the old king was very angry when he saw how his daughter behaved, and how she ill-treated all his guests; and he vowed that, willing or unwilling, she should marry the first man, be he prince or beggar, that came to the door."
Grimms,king_grisly-beard,"Two days after there came by a travelling fiddler, who began to play under the window and beg alms; and when the king heard him, he said, ""Let him come in."""
Grimms,king_grisly-beard,"So they brought in a dirty-looking fellow; and when he had sung before the king and the princess, he begged a boon."
Grimms,king_grisly-beard,"Then the king said, ""You have sung so well, that I will give you my daughter for your wife."""
Grimms,king_grisly-beard,"The princess begged and prayed; but the king said, ""I have sworn to give you to the first comer, and I will keep my word."""
Grimms,king_grisly-beard,"So words and tears were of no avail; the parson was sent for, and she was married to the fiddler."
Grimms,king_grisly-beard,"When this was over the king said, ""Now get ready to go--you must not stay here--you must travel on with your husband."""
Grimms,king_grisly-beard,"Then the fiddler went his way, and took her with him, and they soon came to a great wood."
Grimms,king_grisly-beard,"""Pray,"" said she, ""whose is this wood?"""
Grimms,king_grisly-beard,"""It belongs to King Grisly-beard,"" answered he; ""hadst thou taken him, all had been thine."""
Grimms,king_grisly-beard,"""Ah! unlucky wretch that I am!"" sighed she; ""would that I had married King Grisly-beard!"""
Grimms,king_grisly-beard,Next they came to some fine meadows.
Grimms,king_grisly-beard,"""Whose are these beautiful green meadows?"" said she."
Grimms,king_grisly-beard,"""They belong to King Grisly-beard, hadst thou taken him, they had all been thine."""
Grimms,king_grisly-beard,"""Ah! unlucky wretch that I am!"" said she; ""would that I had married King Grisly-beard!"""
Grimms,king_grisly-beard,Then they came to a great city.
Grimms,king_grisly-beard,"""Whose is this noble city?"" said she."
Grimms,king_grisly-beard,"""It belongs to King Grisly-beard; hadst thou taken him, it had all been thine."""
Grimms,king_grisly-beard,"""Ah! wretch that I am!"" sighed she; ""why did I not marry King Grisly-beard?"""
Grimms,king_grisly-beard,"""That is no business of mine,"" said the fiddler: ""why should you wish for another husband?"
Grimms,king_grisly-beard,"Am not I good enough for you?"""
Grimms,king_grisly-beard,At last they came to a small cottage.
Grimms,king_grisly-beard,"""What a paltry place!"" said she; ""to whom does that little dirty hole belong?"""
Grimms,king_grisly-beard,"Then the fiddler said, ""That is your and my house, where we are to live."""
Grimms,king_grisly-beard,"""Where are your servants?"" cried she."
Grimms,king_grisly-beard,"""What do we want with servants?"" said he; ""you must do for yourself whatever is to be done."
Grimms,king_grisly-beard,"Now make the fire, and put on water and cook my supper, for I am very tired."""
Grimms,king_grisly-beard,"But the princess knew nothing of making fires and cooking, and the fiddler was forced to help her."
Grimms,king_grisly-beard,When they had eaten a very scanty meal they went to bed; but the fiddler called her up very early in the morning to clean the house.
Grimms,king_grisly-beard,"Thus they lived for two days: and when they had eaten up all there was in the cottage, the man said, ""Wife, we can""t go on thus, spending money and earning nothing."
Grimms,king_grisly-beard,"You must learn to weave baskets."""
Grimms,king_grisly-beard,"Then he went out and cut willows, and brought them home, and she began to weave; but it made her fingers very sore."
Grimms,king_grisly-beard,"""I see this work won""t do,"" said he: ""try and spin; perhaps you will do that better."""
Grimms,king_grisly-beard,So she sat down and tried to spin; but the threads cut her tender fingers till the blood ran.
Grimms,king_grisly-beard,"""See now,"" said the fiddler, ""you are good for nothing; you can do no work: what a bargain I have got!"
Grimms,king_grisly-beard,"However, I""ll try and set up a trade in pots and pans, and you shall stand in the market and sell them."""
Grimms,king_grisly-beard,"""Alas!"" sighed she, ""if any of my father""s court should pass by and see me standing in the market, how they will laugh at me!"""
Grimms,king_grisly-beard,"But her husband did not care for that, and said she must work, if she did not wish to die of hunger."
Grimms,king_grisly-beard,"At first the trade went well; for many people, seeing such a beautiful woman, went to buy her wares, and paid their money without thinking of taking away the goods."
Grimms,king_grisly-beard,"They lived on this as long as it lasted; and then her husband bought a fresh lot of ware, and she sat herself down with it in the corner of the market; but a drunken soldier soon came by, and rode his horse against her stall, and broke all her goods into a thousand pieces."
Grimms,king_grisly-beard,"Then she began to cry, and knew not what to do."
Grimms,king_grisly-beard,"""Ah! what will become of me?"" said she; ""what will my husband say?"""
