author,story,text
HCAndersen,li_claus,IN a village there once lived two men who had the same name.
HCAndersen,li_claus,They were both called Claus.
HCAndersen,li_claus,"One of them had four horses, but the other had only one; so to distinguish them, people called the owner of the four horses, ""Great Claus,"" and he who had only one, ""Little Claus."""
HCAndersen,li_claus,"Now we shall hear what happened to them, for this is a true story."
HCAndersen,li_claus,"Through the whole week, Little Claus was obliged to plough for Great Claus, and lend him his one horse; and once a week, on a Sunday, Great Claus lent him all his four horses."
HCAndersen,li_claus,"Then how Little Claus would smack his whip over all five horses, they were as good as his own on that one day."
HCAndersen,li_claus,"The sun shone brightly, and the church bells were ringing merrily as the people passed by, dressed in their best clothes, with their prayer-books under their arms."
HCAndersen,li_claus,They were going to hear the clergyman preach.
HCAndersen,li_claus,"They looked at Little Claus ploughing with his five horses, and he was so proud that he smacked his whip, and said, ""Gee-up, my five horses."""
HCAndersen,li_claus,"""You must not say that,"" said Big Claus; ""for only one of them belongs to you."""
HCAndersen,li_claus,"But Little Claus soon forgot what he ought to say, and when any one passed he would call out, ""Gee-up, my five horses!"""
HCAndersen,li_claus,"""Now I must beg you not to say that again,"" said Big Claus; ""for if you do, I shall hit your horse on the head, so that he will drop dead on the spot, and there will be an end of him."""
HCAndersen,li_claus,"""I promise you I will not say it any more,"" said the other; but as soon as people came by, nodding to him, and wishing him ""Good day,"" he became so pleased, and thought how grand it looked to have five horses ploughing in his field, that he cried out again, ""Gee-up, all my horses!"""
HCAndersen,li_claus,"""I'll gee-up your horses for you,"" said Big Claus; and seizing a hammer, he struck the one horse of Little Claus on the head, and he fell dead instantly."
HCAndersen,li_claus,"""Oh, now I have no horse at all, said Little Claus, weeping."
HCAndersen,li_claus,"But after a while he took off the dead horse's skin, and hung the hide to dry in the wind."
HCAndersen,li_claus,"Then he put the dry skin into a bag, and, placing it over his shoulder, went out into the next town to sell the horse's skin."
HCAndersen,li_claus,"He had a very long way to go, and had to pass through a dark, gloomy forest."
HCAndersen,li_claus,"Presently a storm arose, and he lost his way, and before he discovered the right path, evening came on, and it was still a long way to the town, and too far to return home before night."
HCAndersen,li_claus,Near the road stood a large farmhouse.
HCAndersen,li_claus,"The shutters outside the windows were closed, but lights shone through the crevices at the top."
HCAndersen,li_claus,"""I might get permission to stay here for the night,"" thought Little Claus; so he went up to the door and knocked."
HCAndersen,li_claus,"The farmer's wife opened the door; but when she heard what he wanted, she told him to go away, as her husband would not allow her to admit strangers."
HCAndersen,li_claus,"""Then I shall be obliged to lie out here,"" said Little Claus to himself, as the farmer's wife shut the door in his face."
HCAndersen,li_claus,"Near to the farmhouse stood a large haystack, and between it and the house was a small shed, with a thatched roof."
HCAndersen,li_claus,"""I can lie up there,"" said Little Claus, as he saw the roof; ""it will make a famous bed, but I hope the stork will not fly down and bite my legs;"" for on it stood a living stork, whose nest was in the roof."
HCAndersen,li_claus,"So Little Claus climbed to the roof of the shed, and while he turned himself to get comfortable, he discovered that the wooden shutters, which were closed, did not reach to the tops of the windows of the farmhouse, so that he could see into a room, in which a large table was laid out with wine, roast meat, and a splendid fish."
HCAndersen,li_claus,"The farmer's wife and the sexton were sitting at the table together; and she filled his glass, and helped him plenteously to fish, which appeared to be his favorite dish."
HCAndersen,li_claus,"""If I could only get some, too,"" thought Little Claus; and then, as he stretched his neck towards the window he spied a large, beautiful pie,- indeed they had a glorious feast before them."
HCAndersen,li_claus,"At this moment he heard some one riding down the road, towards the farmhouse."
HCAndersen,li_claus,It was the farmer returning home.
HCAndersen,li_claus,"He was a good man, but still he had a very strange prejudice,- he could not bear the sight of a sexton."
HCAndersen,li_claus,"If one appeared before him, he would put himself in a terrible rage."
HCAndersen,li_claus,"In consequence of this dislike, the sexton had gone to visit the farmer's wife during her husband's absence from home, and the good woman had placed before him the best she had in the house to eat."
HCAndersen,li_claus,"When she heard the farmer coming she was frightened, and begged the sexton to hide himself in a large empty chest that stood in the room."
