author,story,text
HCAndersen,neighbor,"ONE would have thought that something important was going on in the duck-pond, but it was nothing after all."
HCAndersen,neighbor,"All the ducks lying quietly on the water or standing on their heads in it- for they could do that- at once swarm to the sides; the traces of their feet were seen in the wet earth, and their cackling was heard far and wide."
HCAndersen,neighbor,"The water, which a few moments before had been as clear and smooth as a mirror, became very troubled."
HCAndersen,neighbor,"Before, every tree, every neighbouring bush, the old farmhouse with the holes in the roof and the swallows' nest, and especially the great rose-bush full of flowers, had been reflected in it."
HCAndersen,neighbor,"The rose-bush covered the wall and hung out over the water, in which everything was seen as if in a picture, except that it all stood on its head; but when the water was troubled everything got mixed up, and the picture was gone."
HCAndersen,neighbor,"Two feathers which the fluttering ducks had lost floated up and down; suddenly they took a rush as if the wind were coming, but as it did not come they had to lie still, and the water once more became quiet and smooth."
HCAndersen,neighbor,"The roses were again reflected; they were very beautiful, but they did not know it, for no one had told them."
HCAndersen,neighbor,"The sun shone among the delicate leaves; everything breathed forth the loveliest fragrance, and all felt as we do when we are filled with joy at the thought of our happiness."
HCAndersen,neighbor,"""How beautiful existence is!"" said each rose."
HCAndersen,neighbor,"""The only thing that I wish for is to be able to kiss the sun, because it is so warm and bright."
HCAndersen,neighbor,"I should also like to kiss those roses down in the water, which are so much like us, and the pretty little birds down in the nest."
HCAndersen,neighbor,There are some up above too; they put out their heads and pipe softly; they have no feathers like their father and mother.
HCAndersen,neighbor,"We have good neighbours, both below and above."
HCAndersen,neighbor,"How beautiful existence is!"""
HCAndersen,neighbor,"The young ones above and below- those below were really only shadows in the water- were sparrows; their parents were sparrows too, and had taken possession of the empty swallows' nest of last year, and now lived in it as if it were their own property."
HCAndersen,neighbor,"""Are those the duck's children swimming here?"" asked the young sparrows when they saw the feathers on the water."
HCAndersen,neighbor,"""If you must ask questions, ask sensible ones,"" said their mother."
HCAndersen,neighbor,"""Don't you see that they are feathers, such as I wear and you will wear too?"
HCAndersen,neighbor,But ours are finer.
HCAndersen,neighbor,"Still, I should like to have them up in the nest, for they keep one warm."
HCAndersen,neighbor,"I am very curious to know what the ducks were so startled about; not about us, certainly, although I did say 'peep' to you pretty loudly."
HCAndersen,neighbor,"The thick-headed roses ought to know why, but they know nothing at all; they only look at themselves and smell."
HCAndersen,neighbor,"I am heartily tired of such neighbours."""
HCAndersen,neighbor,"""Listen to the dear little birds up there,"" said the roses; ""they begin to want to sing too, but are not able to manage it yet."
HCAndersen,neighbor,But it will soon come.
HCAndersen,neighbor,What a pleasure that must be!
HCAndersen,neighbor,"It is fine to have such cheerful neighbours."""
HCAndersen,neighbor,Suddenly two horses came galloping up to be watered.
HCAndersen,neighbor,"A peasant boy rode on one, and he had taken off all his clothes except his large broad black hat."
HCAndersen,neighbor,"The boy whistled like a bird, and rode into the pond where it was deepest, and as he passed the rose-bush he plucked a rose and stuck it in his hat."
HCAndersen,neighbor,"Now he looked dressed, and rode on."
HCAndersen,neighbor,"The other roses looked after their sister, and asked each other, ""Where can she be going to?"""
HCAndersen,neighbor,But none of them knew.
HCAndersen,neighbor,"""I should like to go out into the world for once,"" said one; ""but here at home among our green leaves it is beautiful too."
HCAndersen,neighbor,"The whole day long the sun shines bright and warm, and in the night the sky shines more beautifully still; we can see that through all the little holes in it."""
HCAndersen,neighbor,"They meant the stars, but they knew no better."
HCAndersen,neighbor,"""We make it lively about the house,"" said the sparrow-mother; ""and people say that a swallows' nest brings luck; so they are glad of us."
HCAndersen,neighbor,But such neighbours as ours!
