author,story,text
HCAndersen,nighting,"IN China, you know, the emperor is a Chinese, and all those about him are Chinamen also."
HCAndersen,nighting,"The story I am going to tell you happened a great many years ago, so it is well to hear it now before it is forgotten."
HCAndersen,nighting,The emperor's palace was the most beautiful in the world.
HCAndersen,nighting,"It was built entirely of porcelain, and very costly, but so delicate and brittle that whoever touched it was obliged to be careful."
HCAndersen,nighting,"In the garden could be seen the most singular flowers, with pretty silver bells tied to them, which tinkled so that every one who passed could not help noticing the flowers."
HCAndersen,nighting,"Indeed, everything in the emperor's garden was remarkable, and it extended so far that the gardener himself did not know where it ended."
HCAndersen,nighting,"Those who travelled beyond its limits knew that there was a noble forest, with lofty trees, sloping down to the deep blue sea, and the great ships sailed under the shadow of its branches."
HCAndersen,nighting,"In one of these trees lived a nightingale, who sang so beautifully that even the poor fishermen, who had so many other things to do, would stop and listen."
HCAndersen,nighting,"Sometimes, when they went at night to spread their nets, they would hear her sing, and say, ""Oh, is not that beautiful?"""
HCAndersen,nighting,"But when they returned to their fishing, they forgot the bird until the next night."
HCAndersen,nighting,"Then they would hear it again, and exclaim ""Oh, how beautiful is the nightingale's song!"""
HCAndersen,nighting,"Travellers from every country in the world came to the city of the emperor, which they admired very much, as well as the palace and gardens; but when they heard the nightingale, they all declared it to be the best of all."
HCAndersen,nighting,"And the travellers, on their return home, related what they had seen; and learned men wrote books, containing descriptions of the town, the palace, and the gardens; but they did not forget the nightingale, which was really the greatest wonder."
HCAndersen,nighting,"And those who could write poetry composed beautiful verses about the nightingale, who lived in a forest near the deep sea."
HCAndersen,nighting,"The books travelled all over the world, and some of them came into the hands of the emperor; and he sat in his golden chair, and, as he read, he nodded his approval every moment, for it pleased him to find such a beautiful description of his city, his palace, and his gardens."
HCAndersen,nighting,"But when he came to the words, ""the nightingale is the most beautiful of all,"" he exclaimed, ""What is this?"
HCAndersen,nighting,I know nothing of any nightingale.
HCAndersen,nighting,Is there such a bird in my empire? and even in my garden?
HCAndersen,nighting,I have never heard of it.
HCAndersen,nighting,"Something, it appears, may be learnt from books."""
HCAndersen,nighting,"Then he called one of his lords-in-waiting, who was so high-bred, that when any in an inferior rank to himself spoke to him, or asked him a question, he would answer, ""Pooh,"" which means nothing."
HCAndersen,nighting,"""There is a very wonderful bird mentioned here, called a nightingale,"" said the emperor; ""they say it is the best thing in my large kingdom."
HCAndersen,nighting,"Why have I not been told of it?"""
HCAndersen,nighting,"""I have never heard the name,"" replied the cavalier; ""she has not been presented at court."""
HCAndersen,nighting,"""It is my pleasure that she shall appear this evening."" said the emperor; the whole world knows what I possess better than I do myself."""
HCAndersen,nighting,"""I have never heard of her,"" said the cavalier; ""yet I will endeavor to find her."""
HCAndersen,nighting,But where was the nightingale to be found?
HCAndersen,nighting,"The nobleman went up stairs and down, through halls and passages; yet none of those whom he met had heard of the bird."
HCAndersen,nighting,"So he returned to the emperor, and said that it must be a fable, invented by those who had written the book."
HCAndersen,nighting,"""Your imperial majesty,"" said he, ""cannot believe everything contained in books; sometimes they are only fiction, or what is called the black art."""
HCAndersen,nighting,"""But the book in which I have read this account,"" said the emperor, ""was sent to me by the great and mighty emperor of Japan, and therefore it cannot contain a falsehood."
HCAndersen,nighting,"I will hear the nightingale, she must be here this evening; she has my highest favor; and if she does not come, the whole court shall be trampled upon after supper is ended."""
HCAndersen,nighting,"""Tsing-pe!"" cried the lord-in-waiting, and again he ran up and down stairs, through all the halls and corridors; and half the court ran with him, for they did not like the idea of being trampled upon."
HCAndersen,nighting,"There was a great inquiry about this wonderful nightingale, whom all the world knew, but who was unknown to the court."
HCAndersen,nighting,"At last they met with a poor little girl in the kitchen, who said, ""Oh, yes, I know the nightingale quite well; indeed, she can sing."
HCAndersen,nighting,"Every evening I have permission to take home to my poor sick mother the scraps from the table; she lives down by the sea-shore, and as I come back I feel tired, and I sit down in the wood to rest, and listen to the nightingale's song."
HCAndersen,nighting,"Then the tears come into my eyes, and it is just as if my mother kissed me."""
HCAndersen,nighting,"""Little maiden,"" said the lord-in-waiting, ""I will obtain for you constant employment in the kitchen, and you shall have permission to see the emperor dine, if you will lead us to the nightingale; for she is invited for this evening to the palace."""
HCAndersen,nighting,"So she went into the wood where the nightingale sang, and half the court followed her."
HCAndersen,nighting,"As they went along, a cow began lowing."
HCAndersen,nighting,"""Oh,"" said a young courtier, ""now we have found her; what wonderful power for such a small creature; I have certainly heard it before."""
HCAndersen,nighting,"""No, that is only a cow lowing,"" said the little girl; ""we are a long way from the place yet."""
HCAndersen,nighting,Then some frogs began to croak in the marsh.
HCAndersen,nighting,"""Beautiful,"" said the young courtier again."
HCAndersen,nighting,"""Now I hear it, tinkling like little church bells."""
HCAndersen,nighting,"""No, those are frogs,"" said the little maiden; ""but I think we shall soon hear her now:"" and presently the nightingale began to sing."
HCAndersen,nighting,"""Hark, hark! there she is,"" said the girl, ""and there she sits,"" she added, pointing to a little gray bird who was perched on a bough."
HCAndersen,nighting,"""Is it possible?"" said the lord-in-waiting, ""I never imagined it would be a little, plain, simple thing like that."
HCAndersen,nighting,"She has certainly changed color at seeing so many grand people around her."""
HCAndersen,nighting,"""Little nightingale,"" cried the girl, raising her voice, ""our most gracious emperor wishes you to sing before him."""
HCAndersen,nighting,"""With the greatest pleasure,"" said the nightingale, and began to sing most delightfully."
HCAndersen,nighting,"""It sounds like tiny glass bells,"" said the lord-in-waiting, ""and see how her little throat works."
HCAndersen,nighting,"It is surprising that we have never heard this before; she will be a great success at court."""
HCAndersen,nighting,"""Shall I sing once more before the emperor?"" asked the nightingale, who thought he was present."
HCAndersen,nighting,"""My excellent little nightingale,"" said the courtier, ""I have the great pleasure of inviting you to a court festival this evening, where you will gain imperial favor by your charming song."""
HCAndersen,nighting,"""My song sounds best in the green wood,"" said the bird; but still she came willingly when she heard the emperor's wish."
HCAndersen,nighting,The palace was elegantly decorated for the occasion.
HCAndersen,nighting,The walls and floors of porcelain glittered in the light of a thousand lamps.
HCAndersen,nighting,"Beautiful flowers, round which little bells were tied, stood in the corridors: what with the running to and fro and the draught, these bells tinkled so loudly that no one could speak to be heard."
HCAndersen,nighting,"In the centre of the great hall, a golden perch had been fixed for the nightingale to sit on."
HCAndersen,nighting,"The whole court was present, and the little kitchen-maid had received permission to stand by the door."
HCAndersen,nighting,She was not installed as a real court cook.
HCAndersen,nighting,"All were in full dress, and every eye was turned to the little gray bird when the emperor nodded to her to begin."
HCAndersen,nighting,"The nightingale sang so sweetly that the tears came into the emperor's eyes, and then rolled down his cheeks, as her song became still more touching and went to every one's heart."
HCAndersen,nighting,"The emperor was so delighted that he declared the nightingale should have his gold slipper to wear round her neck, but she declined the honor with thanks: she had been sufficiently rewarded already."
HCAndersen,nighting,"""I have seen tears in an emperor's eyes,"" she said, ""that is my richest reward."
HCAndersen,nighting,"An emperor's tears have wonderful power, and are quite sufficient honor for me;"" and then she sang again more enchantingly than ever."
HCAndersen,nighting,"""That singing is a lovely gift;"" said the ladies of the court to each other; and then they took water in their mouths to make them utter the gurgling sounds of the nightingale when they spoke to any one, so thay they might fancy themselves nightingales."
HCAndersen,nighting,"And the footmen and chambermaids also expressed their satisfaction, which is saying a great deal, for they are very difficult to please."
HCAndersen,nighting,In fact the nightingale's visit was most successful.
HCAndersen,nighting,"She was now to remain at court, to have her own cage, with liberty to go out twice a day, and once during the night."
HCAndersen,nighting,"Twelve servants were appointed to attend her on these occasions, who each held her by a silken string fastened to her leg."
HCAndersen,nighting,There was certainly not much pleasure in this kind of flying.
HCAndersen,nighting,"The whole city spoke of the wonderful bird, and when two people met, one said ""nightin,"" and the other said ""gale,"" and they understood what was meant, for nothing else was talked of."
HCAndersen,nighting,"Eleven peddlers' children were named after her, but not of them could sing a note."
HCAndersen,nighting,"One day the emperor received a large packet on which was written ""The Nightingale."""
HCAndersen,nighting,"""Here is no doubt a new book about our celebrated bird,"" said the emperor."
