author,story,text
HCAndersen,nursery,"FATHER, and mother, and brothers, and sisters, were gone to the play; only little Anna and her grandpapa were left at home."
HCAndersen,nursery,"""We'll have a play too,"" he said, ""and it may begin immediately."""
HCAndersen,nursery,"""But we have no theatre,"" cried little Anna, ""and we have no one to act for us; my old doll cannot, for she is a fright, and my new one cannot, for she must not rumple her new clothes."""
HCAndersen,nursery,"""One can always get actors if one makes use of what one has,"" observed grandpapa."
HCAndersen,nursery,"""Now we'll go into the theatre."
HCAndersen,nursery,"Here we will put up a book, there another, and there a third, in a sloping row."
HCAndersen,nursery,"Now three on the other side; so, now we have the side scenes."
HCAndersen,nursery,The old box that lies yonder may be the back stairs; and we'll lay the flooring on top of it.
HCAndersen,nursery,"The stage represents a room, as every one may see."
HCAndersen,nursery,Now we want the actors.
HCAndersen,nursery,Let us see what we can find in the plaything-box.
HCAndersen,nursery,"First the personages, and then we will get the play ready."
HCAndersen,nursery,One after the other; that will be capital!
HCAndersen,nursery,"Here's a pipe-head, and yonder an odd glove; they will do very well for father and daughter."""
HCAndersen,nursery,"""But those are only two characters,"" said little Anna."
HCAndersen,nursery,"""Here's my brother's old waistcoat- could not that play in our piece, too?"""
HCAndersen,nursery,"""It's big enough, certainly,"" replied grandpapa."
HCAndersen,nursery,"""It shall be the lover."
HCAndersen,nursery,"There's nothing in the pockets, and that's very interesting, for that's half of an unfortunate attachment."
HCAndersen,nursery,"And here we have the nut-cracker's boots, with spurs to them."
HCAndersen,nursery,"Row, dow, dow! how they can stamp and strut!"
HCAndersen,nursery,"They shall represent the unwelcome wooer, whom the lady does not like."
HCAndersen,nursery,What kind of a play will you have now?
HCAndersen,nursery,"Shall it be a tragedy, or a domestic drama?"""
HCAndersen,nursery,"""A domestic drama, please,"" said little Anna, ""for the others are so fond of that."
HCAndersen,nursery,"Do you know one?"""
HCAndersen,nursery,"""I know a hundred,"" said grandpapa."
HCAndersen,nursery,"""Those that are most in favor are from the French, but they are not good for little girls."
HCAndersen,nursery,"In the meantime, we may take one of the prettiest, for inside they're all very much alike."
HCAndersen,nursery,Now I shake the pen!
HCAndersen,nursery,Cock-a-lorum!
HCAndersen,nursery,"So now, here's the play, brin-bran-span new!"
HCAndersen,nursery,"Now listen to the play-bill."""
HCAndersen,nursery,"And grandpapa took a newspaper, and read as if he were reading from it:"
HCAndersen,nursery,THE PIPE-HEAD AND THE GOOD HEAD A Family Drama in One Act CHARACTERS
HCAndersen,nursery,"MR. PIPE-HEAD, a father."
HCAndersen,nursery,"MR. WAISTCOAT, a lover."
HCAndersen,nursery,"MISS GLOVE, a daughter."
HCAndersen,nursery,"MR. DE BOOTS, a suitor."
HCAndersen,nursery,"""And now we're going to begin."
HCAndersen,nursery,The curtain rises.
HCAndersen,nursery,"We have no curtain, so it has risen already."
HCAndersen,nursery,"All the characters are there, and so we have them at hand."
HCAndersen,nursery,Now I speak as Papa Pipe-head!
HCAndersen,nursery,He's angry to-day.
HCAndersen,nursery,One can see that he's a colored meerschaum.
HCAndersen,nursery,"""'Snik, snak, snurre, bassellurre!"
HCAndersen,nursery,I'm master of this house!
HCAndersen,nursery,I'm the father of my daughter!
HCAndersen,nursery,Will you hear what I have to say?
HCAndersen,nursery,"Mr. de Boots is a person in whom one may see one's face; his upper part is of morocco, and he has spurs into the bargain."
HCAndersen,nursery,"Snikke, snakke, snak!"
HCAndersen,nursery,"He shall have my daughter!"""
HCAndersen,nursery,"""Now listen to what the Waistcoat says, little Anna,"" said grandpapa."
HCAndersen,nursery,"""Now the Waistcoat's speaking."
HCAndersen,nursery,"The Waistcoat has a laydown collar, and is very modest; but he knows his own value, and has quite a right to say what he says: ""'I haven't a spot on me!"
HCAndersen,nursery,Goodness of material ought to be appreciated.
HCAndersen,nursery,"I am of real silk, and have strings to me.'"
HCAndersen,nursery,"""'- On the wedding day, but no longer; you don't keep your color in the wash.'"
HCAndersen,nursery,This is Mr. Pipe-head who is speaking.
HCAndersen,nursery,"'Mr. de Boots is water-tight, of strong leather, and yet very delicate; he can creak, and clank with his spurs, and has an Italian physiognomy-'"" ""But they ought to speak in verses,"" said Anna, ""for I've heard that's the most charming way of all."""
HCAndersen,nursery,"""They can do that too,"" replied grandpapa; ""and if the public demands it, they will talk in that way."
HCAndersen,nursery,"Just look at little Miss Glove, how she's pointing her fingers!"
HCAndersen,nursery,"""'Could I but have my love, Who then so happy as Glove!"
HCAndersen,nursery,Ah!
HCAndersen,nursery,"If I from him must part, I'm sure 'twill break my heart!' 'Bah!'"
HCAndersen,nursery,The last word was spoken by Mr. Pipe-head; and now it's Mr. Waistcoat's turn:
HCAndersen,nursery,"""'O Glove, my own dear, Though it cost thee a tear, Thou must be mine, For Holger Danske has sworn it!'"
HCAndersen,nursery,"""Mr. de Boots, hearing this, kicks up, jingles his spurs, and knocks down three of the side-scenes."""
HCAndersen,nursery,"""That's exceedingly charming!"" cried little Anna."
HCAndersen,nursery,"""Silence! silence!"" said grandpapa."
HCAndersen,nursery,"""Silent approbation will show that you are the educated public in the stalls."
HCAndersen,nursery,Now Miss Glove sings her great song with startling effects:
