author,story,text
Grimms,sweetheart_roland,"There was once upon a time a woman who was a real witch and had two daughters, one ugly and wicked, and this one she loved because she was her own daughter, and one beautiful and good, and this one she hated, because she was her stepdaughter."
Grimms,sweetheart_roland,"The stepdaughter once had a pretty apron, which the other fancied so much that she became envious, and told her mother that she must and would have that apron."
Grimms,sweetheart_roland,"""Be quiet, my child,"" said the old woman, ""and you shall have it."
Grimms,sweetheart_roland,Your stepsister has long deserved death; tonight when she is asleep I will come and cut her head off.
Grimms,sweetheart_roland,"Only be careful that you are at the far side of the bed, and push her well to the front."""
Grimms,sweetheart_roland,"It would have been all over with the poor girl if she had not just then been standing in a corner, and heard everything."
Grimms,sweetheart_roland,"All day long she dared not go out of doors, and when bedtime had come, the witch""s daughter got into bed first, so as to lie at the far side, but when she was asleep, the other pushed her gently to the front, and took for herself the place at the back, close by the wall."
Grimms,sweetheart_roland,"In the night, the old woman came creeping in, she held an axe in her right hand, and felt with her left to see if anyone were lying at the outside, and then she grasped the axe with both hands, and cut her own child""s head off."
Grimms,sweetheart_roland,"When she had gone away, the girl got up and went to her sweetheart, who was called Roland, and knocked at his door."
Grimms,sweetheart_roland,"When he came out, she said to him: ""Listen, dearest Roland, we must fly in all haste; my stepmother wanted to kill me, but has struck her own child."
Grimms,sweetheart_roland,"When daylight comes, and she sees what she has done, we shall be lost."""
Grimms,sweetheart_roland,"""But,"" said Roland, ""I counsel you first to take away her magic wand, or we cannot escape if she pursues us."""
Grimms,sweetheart_roland,"The maiden fetched the magic wand, and she took the dead girl""s head and dropped three drops of blood on the ground, one in front of the bed, one in the kitchen, and one on the stairs."
Grimms,sweetheart_roland,Then she hurried away with her lover.
Grimms,sweetheart_roland,"When the old witch got up next morning, she called her daughter, and wanted to give her the apron, but she did not come."
Grimms,sweetheart_roland,"Then the witch cried: ""Where are you?"""
Grimms,sweetheart_roland,"""Here, on the stairs, I am sweeping,"" answered the first drop of blood."
Grimms,sweetheart_roland,"The old woman went out, but saw no one on the stairs, and cried again: ""Where are you?"""
Grimms,sweetheart_roland,"""Here in the kitchen, I am warming myself,"" cried the second drop of blood."
Grimms,sweetheart_roland,"She went into the kitchen, but found no one."
Grimms,sweetheart_roland,"Then she cried again: ""Where are you?"""
Grimms,sweetheart_roland,"""Ah, here in the bed, I am sleeping,"" cried the third drop of blood."
Grimms,sweetheart_roland,She went into the room to the bed.
Grimms,sweetheart_roland,What did she see there?
Grimms,sweetheart_roland,"Her own child, whose head she had cut off, bathed in her blood."
Grimms,sweetheart_roland,"The witch fell into a passion, sprang to the window, and as she could look forth quite far into the world, she perceived her stepdaughter hurrying away with her sweetheart Roland."
Grimms,sweetheart_roland,"""That shall not help you,"" cried she, ""even if you have got a long way off, you shall still not escape me."""
Grimms,sweetheart_roland,"She put on her many-league boots, in which she covered an hour""s walk at every step, and it was not long before she overtook them."
Grimms,sweetheart_roland,"The girl, however, when she saw the old woman striding towards her, changed, with her magic wand, her sweetheart Roland into a lake, and herself into a duck swimming in the middle of it."
Grimms,sweetheart_roland,"The witch placed herself on the shore, threw breadcrumbs in, and went to endless trouble to entice the duck; but the duck did not let herself be enticed, and the old woman had to go home at night as she had come."
Grimms,sweetheart_roland,"At this the girl and her sweetheart Roland resumed their natural shapes again, and they walked on the whole night until daybreak."
Grimms,sweetheart_roland,"Then the maiden changed herself into a beautiful flower which stood in the midst of a briar hedge, and her sweetheart Roland into a fiddler."
Grimms,sweetheart_roland,"It was not long before the witch came striding up towards them, and said to the musician: ""Dear musician, may I pluck that beautiful flower for myself?"""
Grimms,sweetheart_roland,"""Oh, yes,"" he replied, ""I will play to you while you do it."""
