author,story,text
HCAndersen,swineher,"ONCE upon a time lived a poor prince; his kingdom was very small, but it was large enough to enable him to marry, and marry he would."
HCAndersen,swineher,"It was rather bold of him that he went and asked the emperor's daughter: ""Will you marry me?"" but he ventured to do so, for his name was known far and wide, and there were hundreds of princesses who would have gladly accepted him, but would she do so?"
HCAndersen,swineher,Now we shall see.
HCAndersen,swineher,"On the grave of the prince's father grew a rose-tree, the most beautiful of its kind."
HCAndersen,swineher,"It bloomed only once in five years, and then it had only one single rose upon it, but what a rose!"
HCAndersen,swineher,It had such a sweet scent that one instantly forgot all sorrow and grief when one smelt it.
HCAndersen,swineher,"He had also a nightingale, which could sing as if every sweet melody was in its throat."
HCAndersen,swineher,This rose and the nightingale he wished to give to the princess; and therefore both were put into big silver cases and sent to her.
HCAndersen,swineher,"The emperor ordered them to be carried into the great hall where the princess was just playing ""Visitors are coming"" with her ladies-in-waiting; when she saw the large cases with the presents therein, she clapped her hands for joy."
HCAndersen,swineher,"""I wish it were a little pussy cat,"" she said."
HCAndersen,swineher,But then the rose-tree with the beautiful rose was unpacked.
HCAndersen,swineher,"""Oh, how nicely it is made,"" exclaimed the ladies."
HCAndersen,swineher,"""It is more than nice,"" said the emperor, ""it is charming."""
HCAndersen,swineher,The princess touched it and nearly began to cry.
HCAndersen,swineher,"""For shame, pa,"" she said, ""it is not artificial, it is natural!"""
HCAndersen,swineher,"""For shame, it is natural"" repeated all her ladies."
HCAndersen,swineher,"""Let us first see what the other case contains before we are angry,"" said the emperor; then the nightingale was taken out, and it sang so beautifully that no one could possibly say anything unkind about it."
HCAndersen,swineher,"""Superbe, charmant,"" said the ladies of the court, for they all prattled French, one worse than the other."
HCAndersen,swineher,"""How much the bird reminds me of the musical box of the late lamented empress,"" said an old courtier, ""it has exactly the same tone, the same execution."""
HCAndersen,swineher,"""You are right,"" said the emperor, and began to cry like a little child."
HCAndersen,swineher,"""I hope it is not natural,"" said the princess."
HCAndersen,swineher,"""Yes, certainly it is natural,"" replied those who had brought the presents."
HCAndersen,swineher,"""Then let it fly,"" said the princess, and refused to see the prince."
HCAndersen,swineher,But the prince was not discouraged.
HCAndersen,swineher,"He painted his face, put on common clothes, pulled his cap over his forehead, and came back."
HCAndersen,swineher,"""Good day, emperor,"" he said, ""could you not give me some employment at the court?"""
HCAndersen,swineher,"""There are so many,"" replied the emperor, ""who apply for places, that for the present I have no vacancy, but I will remember you."
HCAndersen,swineher,"But wait a moment; it just comes into my mind, I require somebody to look after my pigs, for I have a great many."""
HCAndersen,swineher,"Thus the prince was appointed imperial swineherd, and as such he lived in a wretchedly small room near the pigsty; there he worked all day long, and when it was night he had made a pretty little pot."
HCAndersen,swineher,"There were little bells round the rim, and when the water began to boil in it, the bells began to play the old tune:"
HCAndersen,swineher,"""A jolly old sow once lived in a sty, Three little piggies had she,"" &c."
HCAndersen,swineher,"But what was more wonderful was that, when one put a finger into the steam rising from the pot, one could at once smell what meals they were preparing on every fire in the whole town."
HCAndersen,swineher,That was indeed much more remarkable than the rose.
HCAndersen,swineher,"When the princess with her ladies passed by and heard the tune, she stopped and looked quite pleased, for she also could play it- in fact, it was the only tune she could play, and she played it with one finger."
HCAndersen,swineher,"""That is the tune I know,"" she exclaimed."
HCAndersen,swineher,"""He must be a well-educated swineherd."
HCAndersen,swineher,"Go and ask him how much the instrument is."""
HCAndersen,swineher,One of the ladies had to go and ask; but she put on pattens.
HCAndersen,swineher,"""What will you take for your pot?"" asked the lady."
HCAndersen,swineher,"""I will have ten kisses from the princess,"" said the swineherd."
HCAndersen,swineher,"""God forbid,"" said the lady."
HCAndersen,swineher,"""Well, I cannot sell it for less,"" replied the swineherd."
HCAndersen,swineher,"""What did he say?"" said the princess."
HCAndersen,swineher,"I really cannot tell you,"" replied the lady."
HCAndersen,swineher,"""You can whisper it into my ear."""
HCAndersen,swineher,"""It is very naughty,"" said the princess, and walked off."
HCAndersen,swineher,"But when she had gone a little distance, the bells rang again so sweetly:"
HCAndersen,swineher,"""A jolly old sow once lived in a sty, Three little piggies had she,"" &c."
