author,story,text
Grimms,the_blue_light,"There was once upon a time a soldier who for many years had served the king faithfully, but when the war came to an end could serve no longer because of the many wounds which he had received."
Grimms,the_blue_light,"The king said to him: ""You may return to your home, I need you no longer, and you will not receive any more money, for he only receives wages who renders me service for them."""
Grimms,the_blue_light,"Then the soldier did not know how to earn a living, went away greatly troubled, and walked the whole day, until in the evening he entered a forest."
Grimms,the_blue_light,"When darkness came on, he saw a light, which he went up to, and came to a house wherein lived a witch."
Grimms,the_blue_light,"""Do give me one night""s lodging, and a little to eat and drink,"" said he to her, ""or I shall starve."""
Grimms,the_blue_light,"""Oho!"" she answered, ""who gives anything to a run-away soldier?"
Grimms,the_blue_light,"Yet will I be compassionate, and take you in, if you will do what I wish."""
Grimms,the_blue_light,"""What do you wish?"" said the soldier."
Grimms,the_blue_light,"""That you should dig all round my garden for me, tomorrow."""
Grimms,the_blue_light,"The soldier consented, and next day laboured with all his strength, but could not finish it by the evening."
Grimms,the_blue_light,"""I see well enough,"" said the witch, ""that you can do no more today, but I will keep you yet another night, in payment for which you must tomorrow chop me a load of wood, and chop it small."""
Grimms,the_blue_light,"The soldier spent the whole day in doing it, and in the evening the witch proposed that he should stay one night more."
Grimms,the_blue_light,"""Tomorrow, you shall only do me a very trifling piece of work."
Grimms,the_blue_light,"Behind my house, there is an old dry well, into which my light has fallen, it burns blue, and never goes out, and you shall bring it up again."""
Grimms,the_blue_light,"Next day the old woman took him to the well, and let him down in a basket."
Grimms,the_blue_light,"He found the blue light, and made her a signal to draw him up again."
Grimms,the_blue_light,"She did draw him up, but when he came near the edge, she stretched down her hand and wanted to take the blue light away from him."
Grimms,the_blue_light,"""No,"" said he, perceiving her evil intention, ""I will not give you the light until I am standing with both feet upon the ground."""
Grimms,the_blue_light,"The witch fell into a passion, let him fall again into the well, and went away."
Grimms,the_blue_light,"The poor soldier fell without injury on the moist ground, and the blue light went on burning, but of what use was that to him?"
Grimms,the_blue_light,He saw very well that he could not escape death.
Grimms,the_blue_light,"He sat for a while very sorrowfully, then suddenly he felt in his pocket and found his tobacco pipe, which was still half full."
Grimms,the_blue_light,"""This shall be my last pleasure,"" thought he, pulled it out, lit it at the blue light and began to smoke."
Grimms,the_blue_light,"When the smoke had circled about the cavern, suddenly a little black dwarf stood before him, and said: ""Lord, what are your commands?"""
Grimms,the_blue_light,"""What my commands are?"" replied the soldier, quite astonished."
Grimms,the_blue_light,"""I must do everything you bid me,"" said the little man."
Grimms,the_blue_light,"""Good,"" said the soldier; ""then in the first place help me out of this well."""
Grimms,the_blue_light,"The little man took him by the hand, and led him through an underground passage, but he did not forget to take the blue light with him."
Grimms,the_blue_light,"On the way the dwarf showed him the treasures which the witch had collected and hidden there, and the soldier took as much gold as he could carry."
Grimms,the_blue_light,"When he was above, he said to the little man: ""Now go and bind the old witch, and carry her before the judge."""
Grimms,the_blue_light,"In a short time she came by like the wind, riding on a wild tom-cat and screaming frightfully."
