author,story,text
Grimms,the_fisherman_and_his_wife,"There was once a fisherman who lived with his wife in a pigsty, close by the seaside."
Grimms,the_fisherman_and_his_wife,"The fisherman used to go out all day long a-fishing; and one day, as he sat on the shore with his rod, looking at the sparkling waves and watching his line, all on a sudden his float was dragged away deep into the water: and in drawing it up he pulled out a great fish."
Grimms,the_fisherman_and_his_wife,"But the fish said, ""Pray let me live!"
Grimms,the_fisherman_and_his_wife,"I am not a real fish; I am an enchanted prince: put me in the water again, and let me go!"""
Grimms,the_fisherman_and_his_wife,"""Oh, ho!"" said the man, ""you need not make so many words about the matter; I will have nothing to do with a fish that can talk: so swim away, sir, as soon as you please!"""
Grimms,the_fisherman_and_his_wife,"Then he put him back into the water, and the fish darted straight down to the bottom, and left a long streak of blood behind him on the wave."
Grimms,the_fisherman_and_his_wife,"When the fisherman went home to his wife in the pigsty, he told her how he had caught a great fish, and how it had told him it was an enchanted prince, and how, on hearing it speak, he had let it go again."
Grimms,the_fisherman_and_his_wife,"""Did not you ask it for anything?"" said the wife, ""we live very wretchedly here, in this nasty dirty pigsty; do go back and tell the fish we want a snug little cottage."""
Grimms,the_fisherman_and_his_wife,"The fisherman did not much like the business: however, he went to the seashore; and when he came back there the water looked all yellow and green."
Grimms,the_fisherman_and_his_wife,"And he stood at the water""s edge, and said:"
Grimms,the_fisherman_and_his_wife,"""O man of the sea!"
Grimms,the_fisherman_and_his_wife,Hearken to me!
Grimms,the_fisherman_and_his_wife,"My wife Ilsabill Will have her own will, And hath sent me to beg a boon of thee!"""
Grimms,the_fisherman_and_his_wife,"Then the fish came swimming to him, and said, ""Well, what is her will?"
Grimms,the_fisherman_and_his_wife,"What does your wife want?"""
Grimms,the_fisherman_and_his_wife,"""Ah!"" said the fisherman, ""she says that when I had caught you, I ought to have asked you for something before I let you go; she does not like living any longer in the pigsty, and wants a snug little cottage."""
Grimms,the_fisherman_and_his_wife,"""Go home, then,"" said the fish; ""she is in the cottage already!"""
Grimms,the_fisherman_and_his_wife,"So the man went home, and saw his wife standing at the door of a nice trim little cottage."
Grimms,the_fisherman_and_his_wife,"""Come in, come in!"" said she; ""is not this much better than the filthy pigsty we had?"""
Grimms,the_fisherman_and_his_wife,"And there was a parlour, and a bedchamber, and a kitchen; and behind the cottage there was a little garden, planted with all sorts of flowers and fruits; and there was a courtyard behind, full of ducks and chickens."
Grimms,the_fisherman_and_his_wife,"""Ah!"" said the fisherman, ""how happily we shall live now!"""
Grimms,the_fisherman_and_his_wife,"""We will try to do so, at least,"" said his wife."
Grimms,the_fisherman_and_his_wife,"Everything went right for a week or two, and then Dame Ilsabill said, ""Husband, there is not near room enough for us in this cottage; the courtyard and the garden are a great deal too small; I should like to have a large stone castle to live in: go to the fish again and tell him to give us a castle."""
Grimms,the_fisherman_and_his_wife,"""Wife,"" said the fisherman, ""I don""t like to go to him again, for perhaps he will be angry; we ought to be easy with this pretty cottage to live in."""
Grimms,the_fisherman_and_his_wife,"""Nonsense!"" said the wife; ""he will do it very willingly, I know; go along and try!"""
Grimms,the_fisherman_and_his_wife,"The fisherman went, but his heart was very heavy: and when he came to the sea, it looked blue and gloomy, though it was very calm; and he went close to the edge of the waves, and said:"
Grimms,the_fisherman_and_his_wife,"""O man of the sea!"
Grimms,the_fisherman_and_his_wife,Hearken to me!
Grimms,the_fisherman_and_his_wife,"My wife Ilsabill Will have her own will, And hath sent me to beg a boon of thee!"""
Grimms,the_fisherman_and_his_wife,"""Well, what does she want now?"" said the fish."
Grimms,the_fisherman_and_his_wife,"""Ah!"" said the man, dolefully, ""my wife wants to live in a stone castle."""
Grimms,the_fisherman_and_his_wife,"""Go home, then,"" said the fish; ""she is standing at the gate of it already."""
Grimms,the_fisherman_and_his_wife,"So away went the fisherman, and found his wife standing before the gate of a great castle."
Grimms,the_fisherman_and_his_wife,"""See,"" said she, ""is not this grand?"""
