author,story,text
Grimms,the_juniper-tree,"Long, long ago, some two thousand years or so, there lived a rich man with a good and beautiful wife."
Grimms,the_juniper-tree,"They loved each other dearly, but sorrowed much that they had no children."
Grimms,the_juniper-tree,"So greatly did they desire to have one, that the wife prayed for it day and night, but still they remained childless."
Grimms,the_juniper-tree,"In front of the house there was a court, in which grew a juniper-tree."
Grimms,the_juniper-tree,"One winter""s day the wife stood under the tree to peel some apples, and as she was peeling them, she cut her finger, and the blood fell on the snow."
Grimms,the_juniper-tree,"""Ah,"" sighed the woman heavily, ""if I had but a child, as red as blood and as white as snow,"" and as she spoke the words, her heart grew light within her, and it seemed to her that her wish was granted, and she returned to the house feeling glad and comforted."
Grimms,the_juniper-tree,"A month passed, and the snow had all disappeared; then another month went by, and all the earth was green."
Grimms,the_juniper-tree,"So the months followed one another, and first the trees budded in the woods, and soon the green branches grew thickly intertwined, and then the blossoms began to fall."
Grimms,the_juniper-tree,"Once again the wife stood under the juniper-tree, and it was so full of sweet scent that her heart leaped for joy, and she was so overcome with her happiness, that she fell on her knees."
Grimms,the_juniper-tree,"Presently the fruit became round and firm, and she was glad and at peace; but when they were fully ripe she picked the berries and ate eagerly of them, and then she grew sad and ill."
Grimms,the_juniper-tree,"A little while later she called her husband, and said to him, weeping."
Grimms,the_juniper-tree,"""If I die, bury me under the juniper-tree."""
Grimms,the_juniper-tree,"Then she felt comforted and happy again, and before another month had passed she had a little child, and when she saw that it was as white as snow and as red as blood, her joy was so great that she died."
Grimms,the_juniper-tree,"Her husband buried her under the juniper-tree, and wept bitterly for her."
Grimms,the_juniper-tree,"By degrees, however, his sorrow grew less, and although at times he still grieved over his loss, he was able to go about as usual, and later on he married again."
Grimms,the_juniper-tree,"He now had a little daughter born to him; the child of his first wife was a boy, who was as red as blood and as white as snow."
Grimms,the_juniper-tree,"The mother loved her daughter very much, and when she looked at her and then looked at the boy, it pierced her heart to think that he would always stand in the way of her own child, and she was continually thinking how she could get the whole of the property for her."
Grimms,the_juniper-tree,"This evil thought took possession of her more and more, and made her behave very unkindly to the boy."
Grimms,the_juniper-tree,"She drove him from place to place with cuffings and buffetings, so that the poor child went about in fear, and had no peace from the time he left school to the time he went back."
Grimms,the_juniper-tree,"One day the little daughter came running to her mother in the storeroom, and said, ""Mother, give me an apple."""
Grimms,the_juniper-tree,"""Yes, my child,"" said the wife, and she gave her a beautiful apple out of the chest; the chest had a very heavy lid and a large iron lock."
Grimms,the_juniper-tree,"""Mother,"" said the little daughter again, ""may not brother have one too?"""
Grimms,the_juniper-tree,"The mother was angry at this, but she answered, ""Yes, when he comes out of school."""
Grimms,the_juniper-tree,"Just then she looked out of the window and saw him coming, and it seemed as if an evil spirit entered into her, for she snatched the apple out of her little daughter""s hand, and said, ""You shall not have one before your brother."""
Grimms,the_juniper-tree,She threw the apple into the chest and shut it to.
Grimms,the_juniper-tree,"The little boy now came in, and the evil spirit in the wife made her say kindly to him, ""My son, will you have an apple?"" but she gave him a wicked look."
Grimms,the_juniper-tree,"""Mother,"" said the boy, ""how dreadful you look!"
Grimms,the_juniper-tree,"Yes, give me an apple."""
Grimms,the_juniper-tree,The thought came to her that she would kill him.
Grimms,the_juniper-tree,"""Come with me,"" she said, and she lifted up the lid of the chest; ""take one out for yourself."""
Grimms,the_juniper-tree,"And as he bent over to do so, the evil spirit urged her, and crash! down went the lid, and off went the little boy""s head."
Grimms,the_juniper-tree,Then she was overwhelmed with fear at the thought of what she had done.
Grimms,the_juniper-tree,"""If only I can prevent anyone knowing that I did it,"" she thought."
Grimms,the_juniper-tree,"So she went upstairs to her room, and took a white handkerchief out of her top drawer; then she set the boy""s head again on his shoulders, and bound it with the handkerchief so that nothing could be seen, and placed him on a chair by the door with an apple in his hand."
Grimms,the_juniper-tree,"Soon after this, little Marleen came up to her mother who was stirring a pot of boiling water over the fire, and said, ""Mother, brother is sitting by the door with an apple in his hand, and he looks so pale; and when I asked him to give me the apple, he did not answer, and that frightened me."""
