author,story,text
Potter,the_pie_and_the_patty-pan,Pussy-cat sits by the fire--how should she be fair?
Potter,the_pie_and_the_patty-pan,"In walks the little dog--says ""Pussy are you there?"
Potter,the_pie_and_the_patty-pan,How do you do Mistress Pussy?
Potter,the_pie_and_the_patty-pan,"Mistress Pussy, how do you do?"""
Potter,the_pie_and_the_patty-pan,"""I thank you kindly, little dog, I fare as well as you!"" [Old Rhyme]"
Potter,the_pie_and_the_patty-pan,"Once upon a time there was a Pussy-cat called Ribby, who invited a little dog called Duchess to tea."
Potter,the_pie_and_the_patty-pan,"""Come in good time, my dear Duchess,"" said Ribby's letter, ""and we will have something so very nice."
Potter,the_pie_and_the_patty-pan,I am baking it in a pie-dish--a pie-dish with a pink rim.
Potter,the_pie_and_the_patty-pan,You never tasted anything so good!
Potter,the_pie_and_the_patty-pan,"And YOU shall eat it all! _I_ will eat muffins, my dear Duchess!"" wrote Ribby."
Potter,the_pie_and_the_patty-pan,"""I will come very punctually, my dear Ribby,"" wrote Duchess; and then at the end she added--""I hope it isn't mouse?"""
Potter,the_pie_and_the_patty-pan,"And then she thought that did not look quite polite; so she scratched out ""isn't mouse"" and changed it to ""I hope it will be fine,"" and she gave her letter to the postman."
Potter,the_pie_and_the_patty-pan,"But she thought a great deal about Ribby's pie, and she read Ribby's letter over and over again."
Potter,the_pie_and_the_patty-pan,"""I am dreadfully afraid it WILL be mouse!"" said Duchess to herself--""I really couldn't, COULDN'T eat mouse pie."
Potter,the_pie_and_the_patty-pan,"And I shall have to eat it, because it is a party."
Potter,the_pie_and_the_patty-pan,And MY pie was going to be veal and ham.
Potter,the_pie_and_the_patty-pan,"A pink and white pie-dish! and so is mine; just like Ribby's dishes; they were both bought at Tabitha Twitchit's."""
Potter,the_pie_and_the_patty-pan,Duchess went into her larder and took the pie off a shelf and looked at it.
Potter,the_pie_and_the_patty-pan,"""Oh what a good idea!"
Potter,the_pie_and_the_patty-pan,"Why shouldn't I rush along and put my pie into Ribby's oven when Ribby isn't there?"""
Potter,the_pie_and_the_patty-pan,"Ribby in the meantime had received Duchess's answer, and as soon as she was sure that the little dog would come--she popped HER pie into the oven."
Potter,the_pie_and_the_patty-pan,"There were two ovens, one above the other; some other knobs and handles were only ornamental and not intended to open."
Potter,the_pie_and_the_patty-pan,Ribby put the pie into the lower oven; the door was very stiff.
Potter,the_pie_and_the_patty-pan,"""The top oven bakes too quickly,"" said Ribby to herself."
Potter,the_pie_and_the_patty-pan,Ribby put on some coal and swept up the hearth.
Potter,the_pie_and_the_patty-pan,"Then she went out with a can to the well, for water to fill up the kettle."
Potter,the_pie_and_the_patty-pan,"Then she began to set the room in order, for it was the sitting-room as well as the kitchen."
Potter,the_pie_and_the_patty-pan,"When Ribby had laid the table she went out down the field to the farm, to fetch milk and butter."
Potter,the_pie_and_the_patty-pan,"When she came back, she peeped into the bottom oven; the pie looked very comfortable."
Potter,the_pie_and_the_patty-pan,"Ribby put on her shawl and bonnet and went out again with a basket, to the village shop to buy a packet of tea, a pound of lump sugar, and a pot of marmalade."
Potter,the_pie_and_the_patty-pan,"And just at the same time, Duchess came out of HER house, at the other end of the village."
Potter,the_pie_and_the_patty-pan,"Ribby met Duchess half-way down the street, also carrying a basket, covered with a cloth."
Potter,the_pie_and_the_patty-pan,"They only bowed to one another; they did not speak, because they were going to have a party."
Potter,the_pie_and_the_patty-pan,As soon as Duchess had got round the corner out of sight--she simply ran!
Potter,the_pie_and_the_patty-pan,Straight away to Ribby's house!
Potter,the_pie_and_the_patty-pan,"Ribby went into the shop and bought what she required, and came out, after a pleasant gossip with Cousin Tabitha Twitchit."
Potter,the_pie_and_the_patty-pan,Ribby went on to Timothy Baker's and bought the muffins.
Potter,the_pie_and_the_patty-pan,Then she went home.
Potter,the_pie_and_the_patty-pan,"There seemed to be a sort of scuffling noise in the back passage, as she was coming in at the front door."
Potter,the_pie_and_the_patty-pan,But there was nobody there.
Potter,the_pie_and_the_patty-pan,"Duchess in the meantime, had slipped out at the back door."
Potter,the_pie_and_the_patty-pan,"""It is a very odd thing that Ribby's pie was NOT in the oven when I put mine in!"
Potter,the_pie_and_the_patty-pan,And I can't find it anywhere; I have looked all over the house.
Potter,the_pie_and_the_patty-pan,I put MY pie into a nice hot oven at the top.
Potter,the_pie_and_the_patty-pan,"I could not turn any of the other handles; I think that they are all shams,"" said Duchess, ""but I wish I could have removed the pie made of mouse!"
Potter,the_pie_and_the_patty-pan,I cannot think what she has done with it?
Potter,the_pie_and_the_patty-pan,"I heard Ribby coming and I had to run out by the back door!"""
Potter,the_pie_and_the_patty-pan,Duchess went home and brushed her beautiful black coat; and then she picked a bunch of flowers in her garden as a present for Ribby; and passed the time until the clock struck four.
Potter,the_pie_and_the_patty-pan,Ribby--having assured herself by careful search that there was really no one hiding in the cupboard or in the larder--went upstairs to change her dress.
Potter,the_pie_and_the_patty-pan,"She came downstairs again, and made the tea, and put the teapot on the hob."
Potter,the_pie_and_the_patty-pan,"She peeped again into the BOTTOM oven, the pie had become a lovely brown, and it was steaming hot."
Potter,the_pie_and_the_patty-pan,She sat down before the fire to wait for the little dog.
Potter,the_pie_and_the_patty-pan,"""I am glad I used the BOTTOM oven,"" said Ribby, ""the top one would certainly have been very much too hot."""
Potter,the_pie_and_the_patty-pan,"Very punctually at four o'clock, Duchess started to go to the party."
Potter,the_pie_and_the_patty-pan,"At a quarter past four to the minute, there came a most genteel little tap-tappity."
Potter,the_pie_and_the_patty-pan,"""Is Mrs. Ribston at home?"" inquired Duchess in the porch."
Potter,the_pie_and_the_patty-pan,"""Come in! and how do you do, my dear Duchess?"" cried Ribby."
Potter,the_pie_and_the_patty-pan,"""I hope I see you well?"""
Potter,the_pie_and_the_patty-pan,"""Quite well, I thank you, and how do YOU do, my dear Ribby?"" said Duchess."
Potter,the_pie_and_the_patty-pan,"""I've brought you some flowers; what a delicious smell of pie!"""
Potter,the_pie_and_the_patty-pan,"""Oh, what lovely flowers!"
Potter,the_pie_and_the_patty-pan,"Yes, it is mouse and bacon!"""
Potter,the_pie_and_the_patty-pan,"""I think it wants another five minutes,"" said Ribby."
Potter,the_pie_and_the_patty-pan,"""Just a shade longer; I will pour out the tea, while we wait."
Potter,the_pie_and_the_patty-pan,"Do you take sugar, my dear Duchess?"""
Potter,the_pie_and_the_patty-pan,"""Oh yes, please! my dear Ribby; and may I have a lump upon my nose?"""
Potter,the_pie_and_the_patty-pan,"""With pleasure, my dear Duchess."""
Potter,the_pie_and_the_patty-pan,Duchess sat up with the sugar on her nose and sniffed--
Potter,the_pie_and_the_patty-pan,"""How good that pie smells!"
Potter,the_pie_and_the_patty-pan,"I do love veal and ham--I mean to say mouse and bacon--"""
Potter,the_pie_and_the_patty-pan,"She dropped the sugar in confusion, and had to go hunting under the tea- table, so did not see which oven Ribby opened in order to get out the pie."
Potter,the_pie_and_the_patty-pan,Ribby set the pie upon the table; there was a very savoury smell.
Potter,the_pie_and_the_patty-pan,"Duchess came out from under the table-cloth munching sugar, and sat up on a chair."
