author,story,text
Grimms,the_robber_bridegroom,"There was once a miller who had one beautiful daughter, and as she was grown up, he was anxious that she should be well married and provided for."
Grimms,the_robber_bridegroom,"He said to himself, ""I will give her to the first suitable man who comes and asks for her hand."""
Grimms,the_robber_bridegroom,"Not long after a suitor appeared, and as he appeared to be very rich and the miller could see nothing in him with which to find fault, he betrothed his daughter to him."
Grimms,the_robber_bridegroom,But the girl did not care for the man as a girl ought to care for her betrothed husband.
Grimms,the_robber_bridegroom,"She did not feel that she could trust him, and she could not look at him nor think of him without an inward shudder."
Grimms,the_robber_bridegroom,"One day he said to her, ""You have not yet paid me a visit, although we have been betrothed for some time."""
Grimms,the_robber_bridegroom,"""I do not know where your house is,"" she answered."
Grimms,the_robber_bridegroom,"""My house is out there in the dark forest,"" he said."
Grimms,the_robber_bridegroom,She tried to excuse herself by saying that she would not be able to find the way thither.
Grimms,the_robber_bridegroom,"Her betrothed only replied, ""You must come and see me next Sunday; I have already invited guests for that day, and that you may not mistake the way, I will strew ashes along the path."""
Grimms,the_robber_bridegroom,"When Sunday came, and it was time for the girl to start, a feeling of dread came over her which she could not explain, and that she might be able to find her path again, she filled her pockets with peas and lentils to sprinkle on the ground as she went along."
Grimms,the_robber_bridegroom,"On reaching the entrance to the forest she found the path strewed with ashes, and these she followed, throwing down some peas on either side of her at every step she took."
Grimms,the_robber_bridegroom,"She walked the whole day until she came to the deepest, darkest part of the forest."
Grimms,the_robber_bridegroom,"There she saw a lonely house, looking so grim and mysterious, that it did not please her at all."
Grimms,the_robber_bridegroom,"She stepped inside, but not a soul was to be seen, and a great silence reigned throughout."
Grimms,the_robber_bridegroom,Suddenly a voice cried:
Grimms,the_robber_bridegroom,"""Turn back, turn back, young maiden fair, Linger not in this murderers"" lair."""
Grimms,the_robber_bridegroom,The girl looked up and saw that the voice came from a bird hanging in a cage on the wall.
Grimms,the_robber_bridegroom,Again it cried:
Grimms,the_robber_bridegroom,"""Turn back, turn back, young maiden fair, Linger not in this murderers"" lair."""
Grimms,the_robber_bridegroom,"The girl passed on, going from room to room of the house, but they were all empty, and still she saw no one."
Grimms,the_robber_bridegroom,"At last she came to the cellar, and there sat a very, very old woman, who could not keep her head from shaking."
Grimms,the_robber_bridegroom,"""Can you tell me,"" asked the girl, ""if my betrothed husband lives here?"""
Grimms,the_robber_bridegroom,"""Ah, you poor child,"" answered the old woman, ""what a place for you to come to!"
Grimms,the_robber_bridegroom,"This is a murderers"" den."
Grimms,the_robber_bridegroom,"You think yourself a promised bride, and that your marriage will soon take place, but it is with death that you will keep your marriage feast."
Grimms,the_robber_bridegroom,"Look, do you see that large cauldron of water which I am obliged to keep on the fire!"
Grimms,the_robber_bridegroom,"As soon as they have you in their power they will kill you without mercy, and cook and eat you, for they are eaters of men."
Grimms,the_robber_bridegroom,"If I did not take pity on you and save you, you would be lost."""
Grimms,the_robber_bridegroom,"Thereupon the old woman led her behind a large cask, which quite hid her from view."
Grimms,the_robber_bridegroom,"""Keep as still as a mouse,"" she said; ""do not move or speak, or it will be all over with you."
Grimms,the_robber_bridegroom,"Tonight, when the robbers are all asleep, we will flee together."
Grimms,the_robber_bridegroom,"I have long been waiting for an opportunity to escape."""
Grimms,the_robber_bridegroom,"The words were hardly out of her mouth when the godless crew returned, dragging another young girl along with them."
Grimms,the_robber_bridegroom,"They were all drunk, and paid no heed to her cries and lamentations."
Grimms,the_robber_bridegroom,"They gave her wine to drink, three glasses full, one of white wine, one of red, and one of yellow, and with that her heart gave way and she died."
Grimms,the_robber_bridegroom,"Then they tore of her dainty clothing, laid her on a table, and cut her beautiful body into pieces, and sprinkled salt upon it."
Grimms,the_robber_bridegroom,"The poor betrothed girl crouched trembling and shuddering behind the cask, for she saw what a terrible fate had been intended for her by the robbers."
Grimms,the_robber_bridegroom,"One of them now noticed a gold ring still remaining on the little finger of the murdered girl, and as he could not draw it off easily, he took a hatchet and cut off the finger; but the finger sprang into the air, and fell behind the cask into the lap of the girl who was hiding there."
Grimms,the_robber_bridegroom,"The robber took a light and began looking for it, but he could not find it."
Grimms,the_robber_bridegroom,"""Have you looked behind the large cask?"" said one of the others."
Grimms,the_robber_bridegroom,"But the old woman called out, ""Come and eat your suppers, and let the thing be till tomorrow; the finger won""t run away."""
Grimms,the_robber_bridegroom,"""The old woman is right,"" said the robbers, and they ceased looking for the finger and sat down."
Grimms,the_robber_bridegroom,"The old woman then mixed a sleeping draught with their wine, and before long they were all lying on the floor of the cellar, fast asleep and snoring."
Grimms,the_robber_bridegroom,"As soon as the girl was assured of this, she came from behind the cask."
Grimms,the_robber_bridegroom,"She was obliged to step over the bodies of the sleepers, who were lying close together, and every moment she was filled with renewed dread lest she should awaken them."
Grimms,the_robber_bridegroom,"But God helped her, so that she passed safely over them, and then she and the old woman went upstairs, opened the door, and hastened as fast as they could from the murderers"" den."
