author,story,text
Potter,the_story_of_a_fierce_bad_rabbit,This is a fierce bad Rabbit; look at his savage whiskers and his claws and his turned-up tail.
Potter,the_story_of_a_fierce_bad_rabbit,This is a nice gentle Rabbit.
Potter,the_story_of_a_fierce_bad_rabbit,His mother has given him a carrot.
Potter,the_story_of_a_fierce_bad_rabbit,The bad Rabbit would like some carrot.
Potter,the_story_of_a_fierce_bad_rabbit,"He doesn't say ""Please."""
Potter,the_story_of_a_fierce_bad_rabbit,He takes it!
Potter,the_story_of_a_fierce_bad_rabbit,And he scratches the good Rabbit very badly.
Potter,the_story_of_a_fierce_bad_rabbit,The good Rabbit creeps away and hides in a hole.
Potter,the_story_of_a_fierce_bad_rabbit,It feels sad.
Potter,the_story_of_a_fierce_bad_rabbit,This is a man with a gun.
Potter,the_story_of_a_fierce_bad_rabbit,He sees something sitting on a bench.
Potter,the_story_of_a_fierce_bad_rabbit,He thinks it is a very funny bird!
Potter,the_story_of_a_fierce_bad_rabbit,He comes creeping up behind the trees.
Potter,the_story_of_a_fierce_bad_rabbit,And then he shoots--BANG!
Potter,the_story_of_a_fierce_bad_rabbit,This is what happens--
Potter,the_story_of_a_fierce_bad_rabbit,But this is all he finds on the bench when he rushes up with his gun.
Potter,the_story_of_a_fierce_bad_rabbit,The good Rabbit peeps out of its hole . . .
Potter,the_story_of_a_fierce_bad_rabbit,. . . and it sees the bad Rabbit tearing past--without any tail or whiskers!
