author,story,text
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"A certain father had two sons, the elder of who was smart and sensible, and could do everything, but the younger was stupid and could neither learn nor understand anything, and when people saw him they said: ""There""s a fellow who will give his father some trouble!"""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"When anything had to be done, it was always the elder who was forced to do it; but if his father bade him fetch anything when it was late, or in the night-time, and the way led through the churchyard, or any other dismal place, he answered: ""Oh, no father, I""ll not go there, it makes me shudder!"" for he was afraid."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"Or when stories were told by the fire at night which made the flesh creep, the listeners sometimes said: ""Oh, it makes us shudder!"""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The younger sat in a corner and listened with the rest of them, and could not imagine what they could mean."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""They are always saying: ""It makes me shudder, it makes me shudder!"""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"It does not make me shudder,"" thought he."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""That, too, must be an art of which I understand nothing!"""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"Now it came to pass that his father said to him one day: ""Hearken to me, you fellow in the corner there, you are growing tall and strong, and you too must learn something by which you can earn your bread."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"Look how your brother works, but you do not even earn your salt."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""Well, father,"" he replied, ""I am quite willing to learn something-- indeed, if it could but be managed, I should like to learn how to shudder."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"I don""t understand that at all yet."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The elder brother smiled when he heard that, and thought to himself: ""Goodness, what a blockhead that brother of mine is!"
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,He will never be good for anything as long as he lives!
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"He who wants to be a sickle must bend himself betimes."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The father sighed, and answered him: ""You shall soon learn what it is to shudder, but you will not earn your bread by that."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"Soon after this the sexton came to the house on a visit, and the father bewailed his trouble, and told him how his younger son was so backward in every respect that he knew nothing and learnt nothing."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""Just think,"" said he, ""when I asked him how he was going to earn his bread, he actually wanted to learn to shudder."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""If that be all,"" replied the sexton, ""he can learn that with me."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"Send him to me, and I will soon polish him."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The father was glad to do it, for he thought: ""It will train the boy a little."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The sexton therefore took him into his house, and he had to ring the church bell."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"After a day or two, the sexton awoke him at midnight, and bade him arise and go up into the church tower and ring the bell."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""You shall soon learn what shuddering is,"" thought he, and secretly went there before him; and when the boy was at the top of the tower and turned round, and was just going to take hold of the bell rope, he saw a white figure standing on the stairs opposite the sounding hole."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""Who is there?"" cried he, but the figure made no reply, and did not move or stir."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""Give an answer,"" cried the boy, ""or take yourself off, you have no business here at night."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The sexton, however, remained standing motionless that the boy might think he was a ghost."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The boy cried a second time: ""What do you want here?--speak if you are an honest fellow, or I will throw you down the steps!"""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The sexton thought: ""He can""t mean to be as bad as his words,"" uttered no sound and stood as if he were made of stone."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"Then the boy called to him for the third time, and as that was also to no purpose, he ran against him and pushed the ghost down the stairs, so that it fell down the ten steps and remained lying there in a corner."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"Thereupon he rang the bell, went home, and without saying a word went to bed, and fell asleep."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The sexton""s wife waited a long time for her husband, but he did not come back."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"At length she became uneasy, and wakened the boy, and asked: ""Do you know where my husband is?"
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"He climbed up the tower before you did."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""No, I don""t know,"" replied the boy, ""but someone was standing by the sounding hole on the other side of the steps, and as he would neither gave an answer nor go away, I took him for a scoundrel, and threw him downstairs."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,Just go there and you will see if it was he.
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"I should be sorry if it were."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The woman ran away and found her husband, who was lying moaning in the corner, and had broken his leg."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"She carried him down, and then with loud screams she hastened to the boy""s father, ""Your boy,"" cried she, ""has been the cause of a great misfortune!"
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,He has thrown my husband down the steps so that he broke his leg.
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"Take the good-for-nothing fellow out of our house."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"The father was terrified, and ran thither and scolded the boy."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""What wicked tricks are these?"" said he."
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""The devil must have put them into your head."""
Grimms,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was,"""Father,"" he replied, ""do listen to me."
