author,story,text
Potter,the_tale_of_jemima_puddle-duck,What a funny sight it is to see a brood of ducklings with a hen!
Potter,the_tale_of_jemima_puddle-duck,"Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs."
Potter,the_tale_of_jemima_puddle-duck,"Her sister-in-law, Mrs. Rebeccah Puddle-duck, was perfectly willing to leave the hatching to someone else-- ""I have not the patience to sit on a nest for twenty-eight days; and no more have you, Jemima."
Potter,the_tale_of_jemima_puddle-duck,"You would let them go cold; you know you would!"""
Potter,the_tale_of_jemima_puddle-duck,"""I wish to hatch my own eggs; I will hatch them all by myself,"" quacked Jemima Puddle-duck."
Potter,the_tale_of_jemima_puddle-duck,She tried to hide her eggs; but they were always found and carried off.
Potter,the_tale_of_jemima_puddle-duck,Jemima Puddle-duck became quite desperate.
Potter,the_tale_of_jemima_puddle-duck,She determined to make a nest right away from the farm.
Potter,the_tale_of_jemima_puddle-duck,She set off on a fine spring afternoon along the cart road that leads over the hill.
Potter,the_tale_of_jemima_puddle-duck,She was wearing a shawl and a poke bonnet.
Potter,the_tale_of_jemima_puddle-duck,"When she reached the top of the hill, she saw a wood in the distance."
Potter,the_tale_of_jemima_puddle-duck,She thought that it looked a safe quiet spot.
Potter,the_tale_of_jemima_puddle-duck,Jemima Puddle-duck was not much in the habit of flying.
Potter,the_tale_of_jemima_puddle-duck,"She ran downhill a few yards flapping her shawl, and then she jumped off into the air."
Potter,the_tale_of_jemima_puddle-duck,She flew beautifully when she had got a good start.
Potter,the_tale_of_jemima_puddle-duck,"She skimmed along over the treetops until she saw an open place in the middle of the wood, where the trees and brushwood had been cleared."
Potter,the_tale_of_jemima_puddle-duck,Jemima alighted rather heavily and began to waddle about in search of a convenient dry nesting place.
Potter,the_tale_of_jemima_puddle-duck,She rather fancied a tree stump amongst some tall foxgloves.
Potter,the_tale_of_jemima_puddle-duck,"But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper."
Potter,the_tale_of_jemima_puddle-duck,He had black prick ears and sandy colored whiskers.
Potter,the_tale_of_jemima_puddle-duck,"""Quack?"" said Jemima Puddle- duck, with her head and her bonnet on the one side--""Quack?"""
Potter,the_tale_of_jemima_puddle-duck,The gentleman raised his eyes above his newspaper and looked curiously at Jemima--
Potter,the_tale_of_jemima_puddle-duck,"""Madam, have you lost your way?"" said he."
Potter,the_tale_of_jemima_puddle-duck,"He had a long bushy tail which he was sitting upon, as the stump was somewhat damp."
Potter,the_tale_of_jemima_puddle-duck,Jemima thought him mighty civil and handsome.
Potter,the_tale_of_jemima_puddle-duck,"She explained that she had not lost her way, but that she was trying to find a convenient dry nesting place."
Potter,the_tale_of_jemima_puddle-duck,"""Ah! is that so?"
Potter,the_tale_of_jemima_puddle-duck,"Indeed!"" said the gentleman with sandy whiskers, looking curiously at Jemima."
Potter,the_tale_of_jemima_puddle-duck,He folded up the newspaper and put it in his coattail pocket.
Potter,the_tale_of_jemima_puddle-duck,Jemima complained of the superfluous hen.
Potter,the_tale_of_jemima_puddle-duck,"""Indeed!"
Potter,the_tale_of_jemima_puddle-duck,How interesting!
