author,story,text
Potter,the_tale_of_mr_tod,I have made many books about well-behaved people.
Potter,the_tale_of_mr_tod,"Now, for a change, I am going to make a story about two disagreeable people, called Tommy Brock and Mr. Tod."
Potter,the_tale_of_mr_tod,"Nobody could call Mr. Tod ""nice."""
Potter,the_tale_of_mr_tod,The rabbits could not bear him; they could smell him half a mile off.
Potter,the_tale_of_mr_tod,He was of a wandering habit and he had foxy whiskers; they never knew where he would be next.
Potter,the_tale_of_mr_tod,"One day he was living in a stick- house in the coppice [grove], causing terror to the family of old Mr. Benjamin Bouncer."
Potter,the_tale_of_mr_tod,"Next day he moved into a pollard willow near the lake, frightening the wild ducks and the water rats."
Potter,the_tale_of_mr_tod,"In winter and early spring he might generally be found in an earth amongst the rocks at the top of Bull Banks, under Oatmeal Crag."
Potter,the_tale_of_mr_tod,"He had half a dozen houses, but he was seldom at home."
Potter,the_tale_of_mr_tod,The houses were not always empty when Mr. Tod moved OUT; because sometimes Tommy Brock moved IN; (without asking leave).
Potter,the_tale_of_mr_tod,Tommy Brock was a short bristly fat waddling person with a grin; he grinned all over his face.
Potter,the_tale_of_mr_tod,He was not nice in his habits.
Potter,the_tale_of_mr_tod,"He ate wasp nests and frogs and worms; and he waddled about by moonlight, digging things up."
Potter,the_tale_of_mr_tod,"His clothes were very dirty; and as he slept in the daytime, he always went to bed in his boots."
Potter,the_tale_of_mr_tod,And the bed which he went to bed in was generally Mr. Tod's.
Potter,the_tale_of_mr_tod,"Now Tommy Brock did occasionally eat rabbit pie; but it was only very little young ones occasionally, when other food was really scarce."
Potter,the_tale_of_mr_tod,He was friendly with old Mr. Bouncer; they agreed in disliking the wicked otters and Mr. Tod; they often talked over that painful subject.
Potter,the_tale_of_mr_tod,Old Mr. Bouncer was stricken in years.
Potter,the_tale_of_mr_tod,"He sat in the spring sunshine outside the burrow, in a muffler; smoking a pipe of rabbit tobacco."
Potter,the_tale_of_mr_tod,"He lived with his son Benjamin Bunny and his daughter-in-law Flopsy, who had a young family."
Potter,the_tale_of_mr_tod,"Old Mr. Bouncer was in charge of the family that afternoon, because Benjamin and Flopsy had gone out."
Potter,the_tale_of_mr_tod,The little rabbit babies were just old enough to open their blue eyes and kick.
Potter,the_tale_of_mr_tod,"They lay in a fluffy bed of rabbit wool and hay, in a shallow burrow, separate from the main rabbit hole."
Potter,the_tale_of_mr_tod,To tell the truth--old Mr. Bouncer had forgotten them.
Potter,the_tale_of_mr_tod,"He sat in the sun, and conversed cordially with Tommy Brock, who was passing through the wood with a sack and a little spud which he used for digging, and some mole traps."
Potter,the_tale_of_mr_tod,"He complained bitterly about the scarcity of pheasants' eggs, and accused Mr. Tod of poaching them."
Potter,the_tale_of_mr_tod,"And the otters had cleared off all the frogs while he was asleep in winter--""I have not had a good square meal for a fort- night, I am living on pig-nuts."
Potter,the_tale_of_mr_tod,"I shall have to turn vegetarian and eat my own tail!"" said Tommy Brock."
Potter,the_tale_of_mr_tod,"It was not much of a joke, but it tickled old Mr. Bouncer; because Tommy Brock was so fat and stumpy and grinning."
Potter,the_tale_of_mr_tod,"So old Mr. Bouncer laughed; and pressed Tommy Brock to come inside, to taste a slice of seed cake and ""a glass of my daughter Flopsy's cowslip wine."""
Potter,the_tale_of_mr_tod,Tommy Brock squeezed himself into the rabbit hole with alacrity.
Potter,the_tale_of_mr_tod,"Then old Mr. Bouncer smoked another pipe, and gave Tommy Brock a cabbage leaf cigar which was so very strong that it made Tommy Brock grin more than ever; and the smoke filled the burrow."
Potter,the_tale_of_mr_tod,Old Mr. Bouncer coughed and laughed; and Tommy Brock puffed and grinned.
Potter,the_tale_of_mr_tod,"And Mr. Bouncer laughed and coughed, and shut his eyes because of the cabbage smoke .........."
Potter,the_tale_of_mr_tod,When Flopsy and Benjamin came back old Mr. Bouncer woke up.
Potter,the_tale_of_mr_tod,Tommy Brock and all the young rabbit babies had disappeared!
Potter,the_tale_of_mr_tod,Mr. Bouncer would not confess that he had admitted anybody into the rabbit hole.
Potter,the_tale_of_mr_tod,But the smell of badger was undeniable; and there were round heavy footmarks in the sand.
Potter,the_tale_of_mr_tod,"He was in disgrace; Flopsy wrung her ears, and slapped him."
Potter,the_tale_of_mr_tod,Benjamin Bunny set off at once after Tommy Brock.
Potter,the_tale_of_mr_tod,There was not much difficulty in tracking him; he had left his foot- mark and gone slowly up the winding footpath through the wood.
Potter,the_tale_of_mr_tod,Here he had rooted up the moss and wood sorrel.
Potter,the_tale_of_mr_tod,There he had dug quite a deep hole for dog darnel; and had set a mole trap.
Potter,the_tale_of_mr_tod,A little stream crossed the way.
Potter,the_tale_of_mr_tod,Benjamin skipped lightly over dry-foot; the badger's heavy steps showed plainly in the mud.
Potter,the_tale_of_mr_tod,"The path led to a part of the thicket where the trees had been cleared; there were leafy oak stumps, and a sea of blue hyacinths --but the smell that made Benjamin stop was NOT the smell of flowers!"
Potter,the_tale_of_mr_tod,"Mr. Tod's stick house was before him; and, for once, Mr. Tod was at home."
Potter,the_tale_of_mr_tod,There was not only a foxy flavor in proof of it--there was smoke coming out of the broken pail that served as a chimney.
Potter,the_tale_of_mr_tod,"Benjamin Bunny sat up, staring, his whiskers twitched."
Potter,the_tale_of_mr_tod,"Inside the stick house somebody dropped a plate, and said something."
Potter,the_tale_of_mr_tod,"Benjamin stamped his foot, and bolted."
Potter,the_tale_of_mr_tod,He never stopped till he came to the other side of the wood.
Potter,the_tale_of_mr_tod,Apparently Tommy Brock had turned the same way.
Potter,the_tale_of_mr_tod,Upon the top of the wall there were again the marks of
Potter,the_tale_of_mr_tod,badger; and some ravellings of a sack had caught on a briar.
Potter,the_tale_of_mr_tod,"Benjamin climbed over the wall, into a meadow."
Potter,the_tale_of_mr_tod,He found another mole trap newly set; he was still upon the track of Tommy Brock.
Potter,the_tale_of_mr_tod,It was getting late in the afternoon.
Potter,the_tale_of_mr_tod,Other rabbits were coming out to enjoy the evening air.
Potter,the_tale_of_mr_tod,"One of them in a blue coat, by himself, was busily hunting for dandelions.-- ""Cousin Peter!"
Potter,the_tale_of_mr_tod,"Peter Rabbit, Peter Rabbit!"" shouted Benjamin Bunny."
Potter,the_tale_of_mr_tod,"The blue coated rabbit sat up with pricked ears--""Whatever is the matter, Cousin Benjamin?"
Potter,the_tale_of_mr_tod,"Is it a cat? or John Stoat Ferret?"""
Potter,the_tale_of_mr_tod,"""No, no, no!"
Potter,the_tale_of_mr_tod,"He's bagged my family--Tommy Brock--in a sack --have you seen him?"""
Potter,the_tale_of_mr_tod,"""Tommy Brock? how many, Cousin Benjamin?"""
Potter,the_tale_of_mr_tod,"""Seven, Cousin Peter, and all of them twins!"
Potter,the_tale_of_mr_tod,Did he come this way?
Potter,the_tale_of_mr_tod,"Please tell me quick!"""
Potter,the_tale_of_mr_tod,"""Yes, yes; not ten minutes since ... he said they were CATERPILLARS; I did think they were kicking rather hard, for caterpillars."""
Potter,the_tale_of_mr_tod,"""Which way? which way has he gone, Cousin Peter?"""
