author,story,text
Potter,the_tale_of_peter_rabbit,"Once upon a time there were four little Rabbits, and their names were-- Flopsy, Mopsy, Cotton-tail, and Peter."
Potter,the_tale_of_peter_rabbit,"They lived with their Mother in a sand-bank, underneath the root of a very big fir-tree."
Potter,the_tale_of_peter_rabbit,"""Now, my dears,"" said old Mrs. Rabbit one morning, ""you may go into the fields or down the lane, but don't go into Mr. McGregor's garden: your Father had an accident there; he was put in a pie by Mrs. McGregor."""
Potter,the_tale_of_peter_rabbit,"""Now run along, and don't get into mischief."
Potter,the_tale_of_peter_rabbit,"I am going out."""
Potter,the_tale_of_peter_rabbit,"Then old Mrs. Rabbit took a basket and her umbrella, and went through the wood to the baker's."
Potter,the_tale_of_peter_rabbit,She bought a loaf of brown bread and five currant buns.
Potter,the_tale_of_peter_rabbit,"Flopsy, Mopsy, and Cotton-tail, who were good little bunnies, went down the lane to gather blackberries;"
Potter,the_tale_of_peter_rabbit,"But Peter, who was very naughty, ran straight away to Mr. McGregor's garden, and squeezed under the gate!"
Potter,the_tale_of_peter_rabbit,First he ate some lettuces and some French beans; and then he ate some radishes;
Potter,the_tale_of_peter_rabbit,"And then, feeling rather sick, he went to look for some parsley."
Potter,the_tale_of_peter_rabbit,"But round the end of a cucumber frame, whom should he meet but Mr. McGregor!"
Potter,the_tale_of_peter_rabbit,"Mr. McGregor was on his hands and knees planting out young cabbages, but he jumped up and ran after Peter, waving a rake and calling out, ""Stop thief."""
Potter,the_tale_of_peter_rabbit,"Peter was most dreadfully frightened; he rushed all over the garden, for he had forgotten the way back to the gate."
Potter,the_tale_of_peter_rabbit,"He lost one of his shoes among the cabbages, and the other shoe amongst the potatoes."
Potter,the_tale_of_peter_rabbit,"After losing them, he ran on four legs and went faster, so that I think he might have got away altogether if he had not unfortunately run into a gooseberry net, and got caught by the large buttons on his jacket."
Potter,the_tale_of_peter_rabbit,"It was a blue jacket with brass buttons, quite new."
Potter,the_tale_of_peter_rabbit,"Peter gave himself up for lost, and shed big tears; but his sobs were overheard by some friendly sparrows, who flew to him in great excitement, and implored him to exert himself."
