author,story,text
Potter,the_tale_of_pigling_bland,Once upon a time there was an old pig called Aunt Pettitoes.
Potter,the_tale_of_pigling_bland,"She had eight of a family: four little girl pigs, called Cross-patch, Suck-suck, Yock-yock and Spot; and four little boy pigs, called Alexander, Pigling Bland, Chin-Chin and Stumpy."
Potter,the_tale_of_pigling_bland,Stumpy had had an accident to his tail.
Potter,the_tale_of_pigling_bland,"The eight little pigs had very fine appetites--""Yus, yus, yus! they eat and indeed they DO eat!"" said Aunt Pettitoes, looking at her family with pride."
Potter,the_tale_of_pigling_bland,Suddenly there were fearful squeals; Alexander had squeezed inside the hoops of the pig trough and stuck.
Potter,the_tale_of_pigling_bland,Aunt Pettitoes and I dragged him out by the hind legs.
Potter,the_tale_of_pigling_bland,"Chin-chin was already in disgrace; it was washing day, and he had eaten a piece of soap."
Potter,the_tale_of_pigling_bland,"And presently in a basket of clean clothes, we found another dirty little pig--""Tchut, tut, tut! whichever is this?"" grunted Aunt Pettitoes."
Potter,the_tale_of_pigling_bland,"Now all the pig family are pink, or pink with black spots, but this pig child was smutty black all over; when it had been popped into a tub, it proved to be Yock-yock."
Potter,the_tale_of_pigling_bland,I went into the garden; there I found Cross-patch and Suck-suck rooting up carrots.
Potter,the_tale_of_pigling_bland,I whipped them myself and led them out by the ears.
Potter,the_tale_of_pigling_bland,Cross-patch tried to bite me.
Potter,the_tale_of_pigling_bland,"""Aunt Pettitoes, Aunt Pettitoes! you are a worthy person, but your family is not well brought up."
Potter,the_tale_of_pigling_bland,"Every one of them has been in mischief except Spot and Pigling Bland."""
Potter,the_tale_of_pigling_bland,"""Yus, yus!"" sighed Aunt Pettitoes."
Potter,the_tale_of_pigling_bland,"""And they drink bucketfuls of milk; I shall have to get another cow!"
Potter,the_tale_of_pigling_bland,Good little Spot shall stay at home to do the housework; but the others must go.
Potter,the_tale_of_pigling_bland,"Four little boy pigs and four little girl pigs are too many altogether."""
Potter,the_tale_of_pigling_bland,"""Yus, yus, yus,"" said Aunt Pettitoes, ""there will be more to eat without them."""
Potter,the_tale_of_pigling_bland,"So Chin-chin and Suck-suck went away in a wheel-barrow, and Stumpy, Yock-yock and Cross- patch rode away in a cart."
Potter,the_tale_of_pigling_bland,"And the other two little boy pigs, Pigling Bland and Alexander went to market."
Potter,the_tale_of_pigling_bland,"We brushed their coats, we curled their tails and washed their little faces, and wished them good bye in the yard."
Potter,the_tale_of_pigling_bland,"Aunt Pettitoes wiped her eyes with a large pocket handkerchief, then she wiped Pigling Bland's nose and shed tears; then she wiped Alexander's nose and shed tears; then she passed the handkerchief to Spot."
Potter,the_tale_of_pigling_bland,"Aunt Pettitoes sighed and grunted, and addressed those little pigs as follows--"
Potter,the_tale_of_pigling_bland,"""Now Pigling Bland, son Pigling Bland, you must go to market."
Potter,the_tale_of_pigling_bland,Take your brother Alexander by the hand.
Potter,the_tale_of_pigling_bland,"Mind your Sunday clothes, and remember to blow your nose"" --(Aunt Pettitoes passed round the handkerchief again)--""beware of traps, hen roosts, bacon and eggs; always walk upon your hind legs."""
Potter,the_tale_of_pigling_bland,"Pigling Bland who was a sedate little pig, looked solemnly at his mother, a tear trickled down his cheek."
Potter,the_tale_of_pigling_bland,"Aunt Pettitoes turned to the other--""Now son Alexander take the hand""--""Wee, wee, wee!"" giggled Alexander--""take the hand of your brother Pigling Bland, you must go to market."
Potter,the_tale_of_pigling_bland,"Mind--"" ""Wee, wee, wee!"" interrupted Alexander again."
Potter,the_tale_of_pigling_bland,"""You put me out,"" said Aunt Pettitoes--""Observe signposts and milestones; do not gobble herring bones--"" ""And remember,"" said I impressively, ""if you once cross the county boundary you cannot come back."
Potter,the_tale_of_pigling_bland,"Alexander, you are not attending."
Potter,the_tale_of_pigling_bland,Here are two licenses permitting two pigs to go to market in Lancashire.
Potter,the_tale_of_pigling_bland,Attend Alexander.
Potter,the_tale_of_pigling_bland,"I have had no end of trouble in getting these papers from the policeman."""
Potter,the_tale_of_pigling_bland,Pigling Bland listened gravely; Alexander was hopelessly volatile.
Potter,the_tale_of_pigling_bland,"I pinned the papers, for safety, inside their waistcoat pockets; Aunt Pettitoes gave to each a little bundle, and eight conversation peppermints with appropriate moral sentiments in screws of paper."
Potter,the_tale_of_pigling_bland,Then they started.
Potter,the_tale_of_pigling_bland,Pigling Bland and Alexander trotted along steadily for a mile; at least Pigling Bland did.
Potter,the_tale_of_pigling_bland,Alexander made the road half as long again by skipping from side to side.
Potter,the_tale_of_pigling_bland,"He danced about and pinched his brother, singing--"
Potter,the_tale_of_pigling_bland,"""This pig went to market, this pig stayed at home, ""This pig had a bit of meat--"
Potter,the_tale_of_pigling_bland,"let's see what they have given US for dinner, Pigling?"""
Potter,the_tale_of_pigling_bland,Pigling Bland and Alexander sat down and untied their bundles.
