author,story,text
Potter,the_tale_of_the_flopsy_bunnies,"It is said that the effect of eating too much lettuce is ""soporific."""
Potter,the_tale_of_the_flopsy_bunnies,I have never felt sleepy after eating lettuces; but then I am not a rabbit.
Potter,the_tale_of_the_flopsy_bunnies,They certainly had a very soporific effect upon the Flopsy Bunnies!
Potter,the_tale_of_the_flopsy_bunnies,"When Benjamin Bunny grew up, he married his Cousin Flopsy."
Potter,the_tale_of_the_flopsy_bunnies,"They had a large family, and they were very improvident and cheerful."
Potter,the_tale_of_the_flopsy_bunnies,"I do not remember the separate names of their children; they were generally called the ""Flopsy Bunnies."""
Potter,the_tale_of_the_flopsy_bunnies,"As there was not always quite enough to eat,--Benjamin used to borrow cabbages from Flopsy's brother, Peter Rabbit, who kept a nursery garden."
Potter,the_tale_of_the_flopsy_bunnies,Sometimes Peter Rabbit had no cabbages to spare.
Potter,the_tale_of_the_flopsy_bunnies,"When this happened, the Flopsy Bunnies went across the field to a rubbish heap, in the ditch outside Mr. McGregor's garden."
Potter,the_tale_of_the_flopsy_bunnies,Mr. McGregor's rubbish heap was a mixture.
Potter,the_tale_of_the_flopsy_bunnies,"There were jam pots and paper bags, and mountains of chopped grass from the mowing machine (which always tasted oily), and some rotten vegetable marrows and an old boot or two."
Potter,the_tale_of_the_flopsy_bunnies,"One day--oh joy!--there were a quantity of overgrown lettuces, which had ""shot"" into flower."
Potter,the_tale_of_the_flopsy_bunnies,The Flopsy Bunnies simply stuffed themselves with lettuces.
Potter,the_tale_of_the_flopsy_bunnies,"By degrees, one after another, they were overcome with slumber, and lay down in the mown grass."
Potter,the_tale_of_the_flopsy_bunnies,Benjamin was not so much overcome as his children.
Potter,the_tale_of_the_flopsy_bunnies,Before going to sleep he was sufficiently wide awake to put a paper bag over his head to keep off the flies.
Potter,the_tale_of_the_flopsy_bunnies,The little Flopsy Bunnies slept delightfully in the warm sun.
Potter,the_tale_of_the_flopsy_bunnies,From the lawn beyond the garden came the distant clacketty sound of the mowing machine.
Potter,the_tale_of_the_flopsy_bunnies,"The blue- bottles buzzed about the wall, and a little old mouse picked over the rubbish among the jam pots."
Potter,the_tale_of_the_flopsy_bunnies,"(I can tell you her name, she was called Thomasina Tittle- mouse, a woodmouse with a long tail.)"
Potter,the_tale_of_the_flopsy_bunnies,"She rustled across the paper bag, and awakened Benjamin Bunny."
Potter,the_tale_of_the_flopsy_bunnies,"The mouse apologized profusely, and said that she knew Peter Rabbit."
Potter,the_tale_of_the_flopsy_bunnies,"While she and Benjamin were talking, close under the wall, they heard a heavy tread above their heads; and suddenly Mr. McGregor emptied out a sackful of lawn mowings right upon the top of the sleeping Flopsy Bunnies!"
Potter,the_tale_of_the_flopsy_bunnies,Benjamin shrank down under his paper bag.
Potter,the_tale_of_the_flopsy_bunnies,The mouse hid in a jam pot.
Potter,the_tale_of_the_flopsy_bunnies,The little rabbits smiled sweetly in their sleep under the shower of grass; they did not awake because the lettuces had been so soporific.
Potter,the_tale_of_the_flopsy_bunnies,They dreamt that their mother Flopsy was tucking them up in a hay bed.
Potter,the_tale_of_the_flopsy_bunnies,Mr. McGregor looked down after emptying his sack.
Potter,the_tale_of_the_flopsy_bunnies,He saw some funny little brown tips of ears sticking up through the lawn mowings.
Potter,the_tale_of_the_flopsy_bunnies,He stared at them for some time.
Potter,the_tale_of_the_flopsy_bunnies,Presently a fly settled on one of them and it moved.
Potter,the_tale_of_the_flopsy_bunnies,Mr. McGregor climbed down on to the rubbish heap--
Potter,the_tale_of_the_flopsy_bunnies,"""One, two, three, four! five! six leetle rabbits!"" said he as he dropped them into his sack."
Potter,the_tale_of_the_flopsy_bunnies,The Flopsy Bunnies dreamt that their mother was turning them over in bed.
Potter,the_tale_of_the_flopsy_bunnies,"They stirred a little in their sleep, but still they did not wake up."
Potter,the_tale_of_the_flopsy_bunnies,Mr. McGregor tied up the sack and left it on the wall.
Potter,the_tale_of_the_flopsy_bunnies,He went to put away the mowing machine.
Potter,the_tale_of_the_flopsy_bunnies,"While he was gone, Mrs. Flopsy Bunny (who had remained at home) came across the field."
Potter,the_tale_of_the_flopsy_bunnies,She looked suspiciously at the sack and wondered where everybody was?
Potter,the_tale_of_the_flopsy_bunnies,"Then the mouse came out of her jam pot, and Benjamin took the paper bag off his head, and they told the doleful tale."
Potter,the_tale_of_the_flopsy_bunnies,"Benjamin and Flopsy were in despair, they could not undo the string."
Potter,the_tale_of_the_flopsy_bunnies,But Mrs. Tittlemouse was a resourceful person.
Potter,the_tale_of_the_flopsy_bunnies,She nibbled a hole in the bottom corner of the sack.
Potter,the_tale_of_the_flopsy_bunnies,The little rabbits were pulled out and pinched to wake them.
Potter,the_tale_of_the_flopsy_bunnies,"Their parents stuffed the empty sack with three rotten vegetable marrows, an old blackingbrush and two decayed turnips."
Potter,the_tale_of_the_flopsy_bunnies,Then they all hid under a bush and watched for Mr. McGregor.
Potter,the_tale_of_the_flopsy_bunnies,"Mr. McGregor came back and picked up the sack, and carried it off."
Potter,the_tale_of_the_flopsy_bunnies,"He carried it hanging down, as if it were rather heavy."
Potter,the_tale_of_the_flopsy_bunnies,The Flopsy Bunnies followed at a safe distance.
Potter,the_tale_of_the_flopsy_bunnies,They watched him go into his house.
Potter,the_tale_of_the_flopsy_bunnies,And then they crept up to the window to listen.
Potter,the_tale_of_the_flopsy_bunnies,"Mr. McGregor threw down the sack on the stone floor in a way that would have been extremely painful to the Flopsy Bunnies, if they had happened to have been inside it."
Potter,the_tale_of_the_flopsy_bunnies,"They could hear him drag his chair on the flags, and chuckle--"
Potter,the_tale_of_the_flopsy_bunnies,"""One, two, three, four, five, six leetle rabbits!"" said Mr. McGregor."
Potter,the_tale_of_the_flopsy_bunnies,"""Eh?"
Potter,the_tale_of_the_flopsy_bunnies,What's that?
Potter,the_tale_of_the_flopsy_bunnies,"What have they been spoiling now?"" enquired Mrs. McGregor."
Potter,the_tale_of_the_flopsy_bunnies,"""One, two, three, four, five, six leetle fat rabbits!"" repeated Mr. McGregor, counting on his fingers --""one, two, three--"""
Potter,the_tale_of_the_flopsy_bunnies,"""Don't you be silly: what do you mean, you silly old man?"""
Potter,the_tale_of_the_flopsy_bunnies,"""In the sack! one, two, three, four, five, six!"" replied Mr. McGregor."
Potter,the_tale_of_the_flopsy_bunnies,(The youngest Flopsy Bunny got upon the windowsill.)
Potter,the_tale_of_the_flopsy_bunnies,Mrs. McGregor took hold of the sack and felt it.
Potter,the_tale_of_the_flopsy_bunnies,"She said she could feel six, but they must be OLD rabbits, because they were so hard and all different shapes."
Potter,the_tale_of_the_flopsy_bunnies,"""Not fit to eat; but the skins will do fine to line my old cloak."""
Potter,the_tale_of_the_flopsy_bunnies,"""Line your old cloak?"" shouted Mr. McGregor--""I shall sell them and buy myself baccy!"""
Potter,the_tale_of_the_flopsy_bunnies,"""Rabbit tobacco!"
Potter,the_tale_of_the_flopsy_bunnies,"I shall skin them and cut off their heads."""
Potter,the_tale_of_the_flopsy_bunnies,Mrs. McGregor untied the sack and put her hand inside.
Potter,the_tale_of_the_flopsy_bunnies,When she felt the vegetables she became very very angry.
Potter,the_tale_of_the_flopsy_bunnies,"She said that Mr. McGregor had ""done it a purpose."""
Potter,the_tale_of_the_flopsy_bunnies,And Mr. McGregor was very angry too.
Potter,the_tale_of_the_flopsy_bunnies,"One of the rotten marrows came flying through the kitchen window, and hit the youngest Flopsy Bunny."
Potter,the_tale_of_the_flopsy_bunnies,It was rather hurt.
Potter,the_tale_of_the_flopsy_bunnies,Then Benjamin and Flopsy thought that it was time to go home.
