author,story,text
Grimms,the_valiant_little_tailor,"One summer""s morning a little tailor was sitting on his table by the window; he was in good spirits, and sewed with all his might."
Grimms,the_valiant_little_tailor,"Then came a peasant woman down the street crying: ""Good jams, cheap!"
Grimms,the_valiant_little_tailor,"Good jams, cheap!"""
Grimms,the_valiant_little_tailor,"This rang pleasantly in the tailor""s ears; he stretched his delicate head out of the window, and called: ""Come up here, dear woman; here you will get rid of your goods."""
Grimms,the_valiant_little_tailor,"The woman came up the three steps to the tailor with her heavy basket, and he made her unpack all the pots for him."
Grimms,the_valiant_little_tailor,"He inspected each one, lifted it up, put his nose to it, and at length said: ""The jam seems to me to be good, so weigh me out four ounces, dear woman, and if it is a quarter of a pound that is of no consequence."""
Grimms,the_valiant_little_tailor,"The woman who had hoped to find a good sale, gave him what he desired, but went away quite angry and grumbling."
Grimms,the_valiant_little_tailor,"""Now, this jam shall be blessed by God,"" cried the little tailor, ""and give me health and strength""; so he brought the bread out of the cupboard, cut himself a piece right across the loaf and spread the jam over it."
Grimms,the_valiant_little_tailor,"""This won""t taste bitter,"" said he, ""but I will just finish the jacket before I take a bite."""
Grimms,the_valiant_little_tailor,"He laid the bread near him, sewed on, and in his joy, made bigger and bigger stitches."
Grimms,the_valiant_little_tailor,"In the meantime the smell of the sweet jam rose to where the flies were sitting in great numbers, and they were attracted and descended on it in hosts."
Grimms,the_valiant_little_tailor,"""Hi! who invited you?"" said the little tailor, and drove the unbidden guests away."
Grimms,the_valiant_little_tailor,"The flies, however, who understood no German, would not be turned away, but came back again in ever-increasing companies."
Grimms,the_valiant_little_tailor,"The little tailor at last lost all patience, and drew a piece of cloth from the hole under his work-table, and saying: ""Wait, and I will give it to you,"" struck it mercilessly on them."
Grimms,the_valiant_little_tailor,"When he drew it away and counted, there lay before him no fewer than seven, dead and with legs stretched out."
Grimms,the_valiant_little_tailor,"""Are you a fellow of that sort?"" said he, and could not help admiring his own bravery."
Grimms,the_valiant_little_tailor,"""The whole town shall know of this!"""
Grimms,the_valiant_little_tailor,"And the little tailor hastened to cut himself a girdle, stitched it, and embroidered on it in large letters: ""Seven at one stroke!"""
Grimms,the_valiant_little_tailor,"""What, the town!"" he continued, ""the whole world shall hear of it!"" and his heart wagged with joy like a lamb""s tail."
Grimms,the_valiant_little_tailor,"The tailor put on the girdle, and resolved to go forth into the world, because he thought his workshop was too small for his valour."
Grimms,the_valiant_little_tailor,"Before he went away, he sought about in the house to see if there was anything which he could take with him; however, he found nothing but an old cheese, and that he put in his pocket."
Grimms,the_valiant_little_tailor,In front of the door he observed a bird which had caught itself in the thicket.
Grimms,the_valiant_little_tailor,It had to go into his pocket with the cheese.
Grimms,the_valiant_little_tailor,"Now he took to the road boldly, and as he was light and nimble, he felt no fatigue."
Grimms,the_valiant_little_tailor,"The road led him up a mountain, and when he had reached the highest point of it, there sat a powerful giant looking peacefully about him."
Grimms,the_valiant_little_tailor,"The little tailor went bravely up, spoke to him, and said: ""Good day, comrade, so you are sitting there overlooking the wide-spread world!"
Grimms,the_valiant_little_tailor,"I am just on my way thither, and want to try my luck."
Grimms,the_valiant_little_tailor,"Have you any inclination to go with me?"""
Grimms,the_valiant_little_tailor,"The giant looked contemptuously at the tailor, and said: ""You ragamuffin!"
Grimms,the_valiant_little_tailor,"You miserable creature!"""
Grimms,the_valiant_little_tailor,"""Oh, indeed?"" answered the little tailor, and unbuttoned his coat, and showed the giant the girdle, ""there may you read what kind of a man I am!"""
Grimms,the_valiant_little_tailor,"The giant read: ""Seven at one stroke,"" and thought that they had been men whom the tailor had killed, and began to feel a little respect for the tiny fellow."
Grimms,the_valiant_little_tailor,"Nevertheless, he wished to try him first, and took a stone in his hand and squeezed it together so that water dropped out of it."
Grimms,the_valiant_little_tailor,"""Do that likewise,"" said the giant, ""if you have strength."""
Grimms,the_valiant_little_tailor,"""Is that all?"" said the tailor, ""that is child""s play with us!"" and put his hand into his pocket, brought out the soft cheese, and pressed it until the liquid ran out of it."
Grimms,the_valiant_little_tailor,"""Faith,"" said he, ""that was a little better, wasn""t it?"""
