author,story,text
Grimms,the_water_of_life,"Long before you or I were born, there reigned, in a country a great way off, a king who had three sons."
Grimms,the_water_of_life,This king once fell very ill--so ill that nobody thought he could live.
Grimms,the_water_of_life,"His sons were very much grieved at their father""s sickness; and as they were walking together very mournfully in the garden of the palace, a little old man met them and asked what was the matter."
Grimms,the_water_of_life,"They told him that their father was very ill, and that they were afraid nothing could save him."
Grimms,the_water_of_life,"""I know what would,"" said the little old man; ""it is the Water of Life."
Grimms,the_water_of_life,"If he could have a draught of it he would be well again; but it is very hard to get."""
Grimms,the_water_of_life,"Then the eldest son said, ""I will soon find it"": and he went to the sick king, and begged that he might go in search of the Water of Life, as it was the only thing that could save him."
Grimms,the_water_of_life,"""No,"" said the king."
Grimms,the_water_of_life,"""I had rather die than place you in such great danger as you must meet with in your journey."""
Grimms,the_water_of_life,"But he begged so hard that the king let him go; and the prince thought to himself, ""If I bring my father this water, he will make me sole heir to his kingdom."""
Grimms,the_water_of_life,"Then he set out: and when he had gone on his way some time he came to a deep valley, overhung with rocks and woods; and as he looked around, he saw standing above him on one of the rocks a little ugly dwarf, with a sugarloaf cap and a scarlet cloak; and the dwarf called to him and said, ""Prince, whither so fast?"""
Grimms,the_water_of_life,"""What is that to thee, you ugly imp?"" said the prince haughtily, and rode on."
Grimms,the_water_of_life,"But the dwarf was enraged at his behaviour, and laid a fairy spell of ill-luck upon him; so that as he rode on the mountain pass became narrower and narrower, and at last the way was so straitened that he could not go to step forward: and when he thought to have turned his horse round and go back the way he came, he heard a loud laugh ringing round him, and found that the path was closed behind him, so that he was shut in all round."
Grimms,the_water_of_life,"He next tried to get off his horse and make his way on foot, but again the laugh rang in his ears, and he found himself unable to move a step, and thus he was forced to abide spellbound."
Grimms,the_water_of_life,"Meantime the old king was lingering on in daily hope of his son""s return, till at last the second son said, ""Father, I will go in search of the Water of Life."""
Grimms,the_water_of_life,"For he thought to himself, ""My brother is surely dead, and the kingdom will fall to me if I find the water."""
Grimms,the_water_of_life,"The king was at first very unwilling to let him go, but at last yielded to his wish."
Grimms,the_water_of_life,"So he set out and followed the same road which his brother had done, and met with the same elf, who stopped him at the same spot in the mountains, saying, as before, ""Prince, prince, whither so fast?"""
Grimms,the_water_of_life,"""Mind your own affairs, busybody!"" said the prince scornfully, and rode on."
Grimms,the_water_of_life,"But the dwarf put the same spell upon him as he put on his elder brother, and he, too, was at last obliged to take up his abode in the heart of the mountains."
Grimms,the_water_of_life,"Thus it is with proud silly people, who think themselves above everyone else, and are too proud to ask or take advice."
Grimms,the_water_of_life,"When the second prince had thus been gone a long time, the youngest son said he would go and search for the Water of Life, and trusted he should soon be able to make his father well again."
