NovelId,SentenceId,Emotion,Text
0,0,Neutral,"In a certain mill lived an old miller who had neither wife nor child, and three apprentices served under him."
0,1,Neutral,"As they had been with him several years, he one day said to them, ""I am old, and want to sit in the chimney-corner, go out, and whichsoever of you brings me the best horse home, to him will I give the mill, and in return for it he shall take care of me till my death."""
0,2,Disgust,"The third of the boys was, however, the drudge, who was looked on as foolish by the others; they begrudged the mill to him, and afterwards he would not have it."
0,3,Neutral,"Then all three went out together, and when they came to the village, the two said to stupid Hans, ""Thou mayst just as well stay here, as long as thou livest thou wilt never get a horse."""
0,4,Neutral,"Hans, however, went with them, and when it was night they came to a cave in which they lay down to sleep."
0,5,Neutral,"The two sharp ones waited until Hans had fallen asleep, then they got up, and went away leaving him where he was."
0,6,Neutral,"And they thought they had done a very clever thing, but it was certain to turn out ill for them."
0,7,Neutral,"When the sun arose, and Hans woke up, he was lying in a deep cavern."
0,8,Surprise,"He looked around on every side and exclaimed, ""Oh, heavens, where am I?"""
0,9,Sadness,"Then he got up and clambered out of the cave, went into the forest, and thought, ""Here I am quite alone and deserted, how shall I obtain a horse now?"""
0,10,Happiness,"Whilst he was thus walking full of thought, he met a small tabby-cat which said quite kindly, ""Hans, where are you going?"""
0,11,Sadness,"""Alas, thou canst not help me."""
0,12,Neutral,"""I well know your desire,"" said the cat."
0,13,Neutral,"""You wish to have a beautiful horse."
0,14,Neutral,"Come with me, and be my faithful servant for seven years long, and then I will give you one more beautiful than any you have ever seen in your whole life."""
0,15,Surprise,"""Well, this is a wonderful cat!"" thought Hans, ""but I am determined to see if she is telling the truth."""
0,16,Neutral,"So she took him with her into her enchanted castle, where there were nothing but cats who were her servants."
0,17,Happiness,"They leapt nimbly upstairs and downstairs, and were merry and happy."
0,18,Neutral,"In the evening when they sat down to dinner, three of them had to make music."
0,19,Neutral,"One played the bassoon, the other the fiddle, and the third put the trumpet to his lips, and blew out his cheeks as much as he possibly could."
0,20,Neutral,"When they had dined, the table was carried away, and the cat said, ""Now, Hans, come and dance with me."""
0,21,Neutral,"""No,"" said he, ""I won""t dance with a pussy cat."
0,22,Neutral,"I have never done that yet."""
0,23,Neutral,"""Then take him to bed,"" said she to the cats."
0,24,Neutral,"So one of them lighted him to his bed-room, one pulled his shoes off, one his stockings, and at last one of them blew out the candle."
0,25,Neutral,"Next morning they returned and helped him out of bed, one put his stockings on for him, one tied his garters, one brought his shoes, one washed him, and one dried his face with her tail."
0,26,Happiness,"""That feels very soft!"" said Hans."
0,27,Neutral,"He, however, had to serve the cat, and chop some wood every day, and to do that, he had an axe of silver, and the wedge and saw were of silver and the mallet of copper."
0,28,Neutral,"So he chopped the wood small; stayed there in the house and had good meat and drink, but never saw anyone but the tabby-cat and her servants."
0,29,Neutral,"Once she said to him, ""Go and mow my meadow, and dry the grass,"" and gave him a scythe of silver, and a whetstone of gold, but bade him deliver them up again carefully."
0,30,Neutral,"So Hans went thither, and did what he was bidden, and when he had finished the work, he carried the scythe, whetstone, and hay to the house, and asked if it was not yet time for her to give him his reward."
0,31,Neutral,"""No,"" said the cat, ""you must first do something more for me of the same kind."
0,32,Neutral,"There is timber of silver, carpenter""s axe, square, and everything that is needful, all of silver, with these build me a small house."""
0,33,Neutral,"Then Hans built the small house, and said that he had now done everything, and still he had no horse."
0,34,Neutral,Nevertheless the seven years had gone by with him as if they were six months.
0,35,Neutral,The cat asked him if he would like to see her horses?
0,36,Happiness,"""Yes,"" said Hans."
0,37,Happiness,"Then she opened the door of the small house, and when she had opened it, there stood twelve horses, such horses, so bright and shining, that his heart rejoiced at the sight of them."
0,38,Neutral,"And now she gave him to eat and drink, and said, ""Go home, I will not give thee thy horse away with thee; but in three days"" time I will follow thee and bring it."""
0,39,Neutral,"So Hans set out, and she showed him the way to the mill."
0,40,Neutral,"She had, however, never once given him a new coat, and he had been obliged to keep on his dirty old smock-frock, which he had brought with him, and which during the seven years had everywhere become too small for him."
0,41,Neutral,"When he reached home, the two other apprentices were there again as well, and each of them certainly had brought a horse with him, but one of them was a blind one, and the other lame."
0,42,Neutral,They asked Hans where his horse was.
0,43,Neutral,"""It will follow me in three days"" time."""
0,44,Disgust,"Then they laughed and said, ""Indeed, stupid Hans, where wilt thou get a horse?"""
0,45,Anger,"""It will be a fine one!"""
0,46,Disgust,"Hans went into the parlour, but the miller said he should not sit down to table, for he was so ragged and torn, that they would all be ashamed of him if any one came in."
0,47,Neutral,"So they gave him a mouthful of food outside, and at night, when they went to rest, the two others would not let him have a bed, and at last he was forced to creep into the goose-house, and lie down on a little hard straw."
0,48,Happiness,"In the morning when he awoke, the three days had passed, and a coach came with six horses and they shone so bright that it was delightful to see them! and a servant brought a seventh as well, which was for the poor miller""s boy."
0,49,Surprise,"And a magnificent princess alighted from the coach and went into the mill, and this princess was the little tabby-cat whom poor Hans had served for seven years."
0,50,Neutral,"She asked the miller where the miller""s boy and drudge was?"
0,51,Neutral,"Then the miller said, ""We cannot have him here in the mill, for he is so ragged; he is lying in the goose-house."""
0,52,Neutral,"Then the King""s daughter said that they were to bring him immediately."
0,53,Neutral,"So they brought him out, and he had to hold his little smock-frock together to cover himself."
0,54,Neutral,"The servants unpacked splendid garments, and washed him and dressed him, and when that was done, no King could have looked more handsome."
0,55,Neutral,"Then the maiden desired to see the horses which the other apprentices had brought home with them, and one of them was blind and the other lame."
0,56,Surprise,"So she ordered the servant to bring the seventh horse, and when the miller saw it, he said that such a horse as that had never yet entered his yard."
0,57,Neutral,"""And that is for the third miller""s boy,"" said she."
0,58,Neutral,"""Then he must have the mill,"" said the miller, but the King""s daughter said that the horse was there, and that he was to keep his mill as well, and took her faithful Hans and set him in the coach, and drove away with him."
0,59,Happiness,"They first drove to the little house which he had built with the silver tools, and behold it was a great castle, and everything inside it was of silver and gold; and then she married him, and he was rich, so rich that he had enough for all the rest of his life."
0,60,Neutral,"After this, let no one ever say that anyone who is silly can never become a person of importance."
1,0,Happiness,There was once on a time a princess who was extremely proud.
1,1,Disgust,"If a wooer came she gave him some riddle to guess, and if he could not find it out, he was sent contemptuously away."
1,2,Neutral,"She let it be made known also that whosoever solved her riddle should marry her, let him be who he might."
1,3,Neutral,"At length, therefore, three tailors fell in with each other, the two eldest of whom thought they had done so many dexterous bits of work successfully that they could not fail to succeed in this also; the third was a little useless land-louper, who did not even know his trade, but thought he must have some luck in this venture, for where else was it to come from?"
1,4,Disgust,"Then the two others said to him, ""Just stay at home; thou canst not do much with thy little bit of understanding."""
1,5,Happiness,"The little tailor, however, did not let himself be discouraged, and said he had set his head to work about this for once, and he would manage well enough, and he went forth as if the whole world were his."
1,6,Neutral,"They all three announced themselves to the princess, and said she was to propound her riddle to them, and that the right persons were now come, who had understandings so fine that they could be threaded in a needle."
1,7,Neutral,"Then said the princess, ""I have two kinds of hair on my head, of what color is it?"""
1,8,Neutral,"""If that be all,"" said the first, ""it must be black and white, like the cloth which is called pepper and salt."""
1,9,Neutral,"The princess said, ""Wrongly guessed; let the second answer."""
1,10,Neutral,"Then said the second, ""If it be not black and white, then it is brown and red, like my father""s company coat."""
